,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-556580.5579931351,-0.0,0.0
1,10,-556580.6337141059,0.07751330178580247,0.038756650892901236
2,20,-556581.393250593,0.3761456163483672,0.17154970587289425
3,30,-556583.8856881191,1.0193477587279631,0.4354774030813132
4,40,-556589.7514203779,2.0161190180806443,0.8573835734627209
5,50,-556600.728965582,3.2323703932197536,1.4326354900447766
6,60,-556618.2707803436,4.517490665742662,2.1323300848453073
7,70,-556643.4312061906,5.774374881142285,2.921242988976883
8,80,-556676.9067447475,6.962392844166606,3.768847890390316
9,90,-556719.1298746915,8.075191912052103,4.652619216042512
10,100,-556770.3546733723,9.119211780460317,5.557201577957311
11,110,-556830.7182850237,10.102725858346096,6.472376978723331
12,120,-556900.279449119,11.03188917076914,7.3912538392483835
13,130,-556979.0438802954,11.909902606412656,8.308989065200148
14,140,-557066.9771887682,12.738266811135693,9.222000342767569
15,150,-557164.0153297406,13.517204380521424,10.127511922515986
16,160,-557270.0699764492,14.247872452577568,11.02333141600975
17,170,-557385.0326575339,14.931793114813635,11.907747815882612
18,180,-557508.7824452617,15.569310993090046,12.779399062531592
19,190,-557641.1836161856,16.16280942552256,13.637217013596091
20,200,-557782.0933829477,16.714236541301943,14.48041001727397
21,210,-557931.3615420489,17.225653266784523,15.308400532396625
22,220,-558088.8327937163,17.700466019671886,16.12081845261564
23,230,-558254.3502360394,18.140315167949286,16.91745644880866
24,240,-558427.7548699753,18.54745315429753,17.698216400420645
25,250,-558608.887304235,18.925376694096485,18.463129208350438
26,260,-558797.589368158,19.27567288983263,19.212322759344534
27,270,-558993.7049751412,19.60035205182794,19.94597825889796
28,280,-559197.0787477097,19.901898230903306,20.664338781176777
29,290,-559407.5602046427,20.181920760020148,21.367693972049167
30,300,-559624.9994104485,20.44228771419151,22.056362918320524
31,310,-559849.252566227,20.684270482693673,22.730684979406945
32,320,-560080.1764568061,20.910517804604012,23.39102908595378
33,330,-560317.6343090793,21.12122200456796,24.037774441871445
34,340,-560561.4916504195,21.317340866848802,24.671283263957594
35,350,-560811.6175331492,21.501625602599248,25.29193965086015
36,360,-561067.8860685822,21.673202068498384,25.900122426293095
37,370,-561330.1740436221,21.833230795769513,26.496182781091196
38,380,-561598.3618223765,21.98495283598894,27.080502135703867
39,390,-561872.3340468472,22.127145286876488,27.653459180745998
40,400,-562151.9796317876,22.258993369177915,28.215377947692467
