,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-639210.9938203783,-0.0,0.0
1,10,-639211.0581931036,0.08550183758488857,0.04275091879244428
2,20,-639211.8116406525,0.4265337391290814,0.1921352723671589
3,30,-639214.6070120577,1.10555823755858,0.48302841340919256
4,40,-639221.1601357092,2.0320677154115403,0.9212965840953984
5,50,-639232.8966075125,3.0539194670272996,1.4806969952245708
6,60,-639250.8293079201,4.074549239297631,2.12563471186877
7,70,-639275.6175587035,5.049794987388304,2.8258801237665465
8,80,-639307.6621417262,5.969678328908049,3.559684661279608
9,90,-639347.1944812511,6.841445187921636,4.312869845054229
10,100,-639394.343367177,7.676768713892668,5.076788568966731
11,110,-639449.177826856,8.485109018851652,5.846313778245531
12,120,-639511.7316674832,9.271716451761316,6.618322070653084
13,130,-639582.0161143477,10.03805762577977,7.390722728929541
14,140,-639660.0256892954,10.783075070218178,8.161911692318972
15,150,-639745.7407329957,11.504432867572172,8.930502611841074
16,160,-639839.1284970224,12.199465635325765,9.695217008530744
17,170,-639940.1438392905,12.865774316783067,10.454855436598882
18,180,-640048.7299688378,13.501519972749522,11.208302785028355
19,190,-640164.8193557424,14.105534460890341,11.954543281780207
20,200,-640288.3348183704,14.677314348809887,12.692674415787042
21,210,-640419.1907342173,15.216933732296454,13.421915220514348
22,220,-640557.2942966006,15.724925515364161,14.141607837325138
23,230,-640702.5467483727,16.20219325184007,14.851214100560174
24,240,-640854.8445484951,16.649928952543988,15.550309212836147
25,250,-641014.0804899227,17.069477964541857,16.23857229197165
26,260,-641180.1446819772,17.46228640526533,16.915775051363745
27,270,-641352.9253962159,17.829880244890255,17.58177121896297
28,280,-641532.3098714674,18.1737737572519,18.236485860697577
29,290,-641718.1849399089,18.495470494710034,18.879904957256805
30,300,-641910.4375948965,18.796445300773517,19.512066467925617
31,310,-642108.9554773878,19.078075590718072,20.13305145289633
32,320,-642313.6272453933,19.341693920083344,20.742976317022116
33,330,-642524.3428865966,19.588572779204696,21.341986841784095
34,340,-642740.9940132903,19.81987357824689,21.930252128136637
35,350,-642963.4740203862,20.036746296580496,22.507960090036796
36,360,-643191.6782795145,20.24016773651821,23.075312763630066
37,370,-643425.5042928006,20.43106731910666,23.632521708727293
38,380,-643664.8516210016,20.610440361715128,24.179807217798952
39,390,-643909.6222055599,20.779022126444033,24.71739494212816
40,400,-644159.7201628694,20.937534508877462,25.24551184305892
41,410,-644415.0519358848,21.086797462942208,25.764387091041137
42,420,-644675.5262392461,21.22741155021942,26.274250438022136
43,430,-644941.0541515393,21.359919655861432,26.775328877170978
44,440,-645211.5488980516,21.4849462073296,27.267847151952445
45,450,-645486.926059897,21.6029498338321,27.752027043876296
46,460,-645767.1033261365,21.71442961788269,28.228086228697794
47,470,-646052.0005903293,21.819862060091676,28.696238829716457
48,480,-646341.5398669326,21.919562122737972,29.156693793956947
49,490,-646635.6452161318,22.013936728643657,29.60965457350394
50,500,-646934.2427094976,22.103337831940806,30.055319959258487
51,510,-647237.2604025292,22.18804534246154,30.49388319387654
52,520,-647544.6282223281,22.268556383205578,30.92553378462908
53,530,-647856.2779774304,22.344983861348027,31.350456253624
54,540,-648172.143393915,22.417224981996696,31.76882488614647
55,550,-648492.1596910949,22.48599862951962,32.18080995348719
56,560,-648816.2639173404,22.551678125327413,32.586582391822596
57,570,-649144.3948583081,22.614023580224643,32.98630528869544
58,580,-649476.4927822839,22.673219854966696,33.38013270844531
59,590,-649812.4995157531,22.72971510409843,33.76821620457049
60,600,-650152.3583505757,22.783584559278225,34.15070411350317
61,610,-650496.0141495399,22.835028919970327,34.5277396863603
62,620,-650843.4129752403,22.884071443340332,34.89946101780952
63,630,-651194.5025727823,22.930512739549158,35.265998177407894
64,640,-651549.2315169651,22.97524775508805,35.62748049684014
65,650,-651907.5500517325,23.018193825104483,35.98403764935065
66,660,-652269.4095885368,23.058749845140753,36.33578817760135
67,670,-652634.7625730365,23.097761547038633,36.68284703125682
68,680,-653003.5626600147,23.13524235441582,37.02533046222088
69,690,-653375.7648027268,23.170882790372854,37.363347486112616
70,700,-653751.3246975834,23.205148651526493,37.697003495665555
71,710,-654130.1994282376,23.23779026788829,38.02640096779942
72,720,-654512.3468200959,23.26897144617999,38.35163745762402
73,730,-654897.7257665754,23.299218657566183,38.67281122654677
74,740,-655286.2961489673,23.32835058258476,38.99001890640503
75,750,-655678.0188000681,23.356113584741145,39.30335032072617
76,760,-656072.8553970726,23.38254818313311,39.61289029846084
77,770,-656470.7684274726,23.408074431796777,39.9187233356206
78,780,-656871.7212494848,23.432657103199745,40.22093315934908
79,790,-657275.6780935429,23.456217156199273,40.51959957036306
80,800,-657682.6038491294,23.478965202579047,40.81480017348804
81,810,-658092.464325262,23.500734397116876,41.10660996771475
82,820,-658505.2259313753,23.521671905333875,41.39510105811641
83,830,-658920.8558579179,23.541782226320297,41.68034385202627
84,840,-659339.3219999165,23.561404098768193,41.96240827021393
85,850,-659760.5928277913,23.58024455695716,42.24136204410606
86,860,-660184.6377846951,23.597610035480344,42.517264772212364
87,870,-660611.4263833386,23.615305809496327,42.79018032772583
88,880,-661040.9292020485,23.632263953867493,43.06017470306688
89,890,-661473.1175507524,23.647839770259452,43.32730196249467
90,900,-661907.9625575626,23.66388319199892,43.59162101264519
91,910,-662345.4369607595,23.67888667821535,43.85319080333575
92,920,-662785.5131944955,23.692724240722796,44.11205938194908
93,930,-663228.1646726031,23.707053150821594,44.3682814626096
94,940,-663673.3650158808,23.72137144022252,44.621916245274775
95,950,-664121.0889664472,23.733906687237187,44.873009051289415
96,960,-664571.311037879,23.746211211104082,45.121602533034455
97,970,-665024.0064841595,23.758299891187857,45.36774617978226
98,980,-665479.1513145484,23.769047924131016,45.61148229581303
99,990,-665936.7212389404,23.781243773305253,45.85286024027154
100,1000,-666396.6932434319,23.79301727865837,46.0919326184492
101,1010,-666859.044577064,23.802977829865995,46.32873422875272
102,1020,-667323.7523792267,23.81337935737094,46.56330300441477
103,1030,-667790.7948371004,23.823404984950614,46.795682853180914
104,1040,-668260.1500951617,23.832174877613,47.02590821402991
105,1050,-668731.796904898,23.84170184521615,47.25401789141324
106,1060,-669205.7140322035,23.85189814744487,47.48005875848757
107,1070,-669681.8815257795,23.859846682363575,47.70406232267851
108,1080,-670160.2786855274,23.867087672080686,47.9260527096034
109,1090,-670640.8857155142,23.87615181068525,48.14607211802213
110,1100,-671123.683000952,23.884697174915033,48.36416255552176
111,1110,-671608.6517958216,23.892363721219827,48.58035262086778
112,1120,-672095.7726608039,23.899840353708953,48.79467159673804
113,1130,-672585.0277369295,23.90576708187881,49.007145043053605
114,1140,-673076.3979779249,23.912516345316625,49.2178022311593
115,1150,-673569.8658964734,23.920645806079683,49.42668449666672
116,1160,-674065.4136516583,23.92772592791556,49.63382405420853
117,1170,-674563.0242806455,23.933284846058648,49.839239798966446
118,1180,-675062.6802653669,23.939341585635226,50.042956682109796
119,1190,-675564.3649844232,23.945641881067676,50.24500651086127
120,1200,-676068.0619101215,23.951198399998077,50.445415111538026
121,1210,-676573.7546434549,23.956791425597945,50.64420677742892
122,1220,-677081.427287676,23.962475432880716,50.84140864984802
123,1230,-677591.063902958,23.968056466124835,51.03704664022226
124,1240,-678102.6492145528,23.973112346592472,51.23114353965939
125,1250,-678616.1676523687,23.97913685417752,51.4237258626672
126,1260,-679131.6044034769,23.984055185504616,51.61481723224861
127,1270,-679648.9447255727,23.98607976520152,51.80442543931568
128,1280,-680168.1735781742,23.991177915036587,51.99257436294865
129,1290,-680689.276469569,23.998818141830267,52.1793085766476
130,1300,-681212.2399959699,24.002079304191284,52.36464294124744
131,1310,-681737.0497075627,24.00483921237737,52.54858015459031
132,1320,-682263.6916689362,24.00984365525646,52.731148055783706
