,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-543422.4007118691,-0.0,0.0
1,10,-543422.6347556382,0.13547899398545268,0.06773949699272634
2,20,-543424.1466574623,0.6454417332657613,0.296839427301893
3,30,-543428.5220029358,1.7866040584776783,0.7559672036979463
4,40,-543438.8014377209,3.5775152588146737,1.5009239541293935
5,50,-543458.2306376797,5.664697007232462,2.5145830622044736
6,60,-543489.2313705676,7.702199303166708,3.722902704858279
7,70,-543533.2568484815,9.520596317981834,5.044795240930397
8,80,-543591.0092987687,11.07882150525693,6.417264179150515
9,90,-543662.6864668146,12.396366625110385,7.798377557957428
10,100,-543748.1813344961,13.512194784096208,9.162674331890592
11,110,-543847.211047926,14.466382915637226,10.495846930897095
12,120,-543959.4021493599,15.293069969234061,11.790621039416873
13,130,-544084.3406578215,16.018330822754077,13.043921935163961
14,140,-544221.5998641212,16.66249809499714,14.255100799871434
15,150,-544370.7574394793,17.240506782371074,15.424873576962272
16,160,-544531.4047162967,17.762791858008114,16.554644381937393
17,170,-544703.1489058902,18.23768703695679,17.64613418741064
18,180,-544885.6165481173,18.67161661639113,18.70119276444311
19,190,-545078.4525770938,19.06953692313401,19.72167870059493
20,200,-545281.3208613076,19.435106807388358,20.70938628980948
21,210,-545493.9026418199,19.77146897772036,21.666013221368484
22,220,-545715.8953881126,20.08201411946794,22.593171894548867
23,230,-545947.0126474559,20.368902357137962,23.49238353151013
24,240,-546186.9826678622,20.634083998831912,24.36506250664097
25,250,-546435.5468311043,20.87956272276643,25.212530511071964
26,260,-546692.4600876098,21.106885195261547,26.03602340389771
27,270,-546957.4883151092,21.318015033056152,26.83670309843583
28,280,-547230.4096384271,21.514001485612283,27.615659752560898
29,290,-547511.0120436074,21.696147608826877,28.373909861015274
30,300,-547799.0934770809,21.865895512572013,29.11241296338849
31,310,-548094.4614929454,22.023662866317327,29.83206492407626
32,320,-548396.9318430849,22.17094045439734,30.53370623748779
33,330,-548706.3285717884,22.308994210010827,31.218142245875793
34,340,-549022.4838846568,22.437893646874024,31.886126333882572
35,350,-549345.2368557344,22.558071529725552,32.538353522811676
36,360,-549674.4334481662,22.670584966556657,33.175480923168664
37,370,-550009.9257928572,22.77589860313162,33.79813257237112
38,380,-550351.5725505274,22.875107357348234,34.4069032406289
39,390,-550699.2373230645,22.969225460777054,35.00236874482799
40,400,-551052.7907132647,23.05685592861849,35.585056693432854
41,410,-551412.1070332315,23.13883158961835,36.15544826558471
42,420,-551777.0657319307,23.216811371594638,36.71401975019544
43,430,-552147.5512132421,23.290297649957846,37.26122777629644
44,440,-552523.4519995219,23.35976081934062,37.79749701832334
45,450,-552904.6607864155,23.42548285485824,38.323231988647606
46,460,-553291.0744133126,23.487515666469633,38.838814214810554
47,470,-553682.5930110153,23.546262130263628,39.344605448463696
48,480,-554079.1207537698,23.601714552193982,39.840948792037665
49,490,-554480.564607641,23.65452136370004,40.32817265226622
50,500,-554886.8351896871,23.705102882959217,40.80659634807234
51,510,-555297.8460176247,23.753002600179716,41.2765199514135
52,520,-555713.5137079108,23.798131629626695,41.73822071467147
53,530,-556133.7572335694,23.84110581054403,42.19196499597018
54,540,-556558.4984812342,23.882461319613427,42.638014989630015
55,550,-556987.6617369183,23.922181632908295,43.07662326921853
56,560,-557421.1739666462,23.959711904777294,43.508023646849324
57,570,-557858.9641905456,23.994966730105645,43.9324318102983
58,580,-558300.9635319902,24.029032742651097,44.35006080858584
59,590,-558747.1052173169,24.062313795203394,44.76112555609288
60,600,-559197.3248440532,24.09368774935146,45.16582420085615
61,610,-559651.5596771697,24.123170075108646,45.56433583435573
62,620,-560109.7486146159,24.152359266171565,45.95684382746694
63,630,-560571.8326092028,24.18026441766697,46.34352777878084
64,640,-561037.754552447,24.20644887797539,46.724547521097705
65,650,-561507.4580900726,24.23209672627845,47.100061147005185
66,660,-561980.8895208269,24.256465143657945,47.470222990626645
67,670,-562457.9956304663,24.280157921274263,47.83517929856753
68,680,-562938.7253771726,24.302841604175143,48.19507187167183
69,690,-563423.0287875293,24.32433607060511,48.55003254126787
70,700,-563910.8570226972,24.345683559106064,48.900193585835225
71,710,-564402.1630089812,24.365841249475388,49.24568175687746
72,720,-564896.9004873985,24.38534884303803,49.58661488851067
73,730,-565395.0244649397,24.404395929738634,49.92311098558857
74,740,-565896.4913681237,24.42273921454897,50.255282890574016
75,750,-566401.2581926406,24.44055851367022,50.58323845553823
76,760,-566909.2837295054,24.457357421505677,50.90707917954278
77,770,-567420.5268848821,24.47386365741237,51.226904039370126
78,780,-567934.9483842668,24.489979076455572,51.54281227731262
79,790,-568452.5092725301,24.505348732162496,51.854896466548965
80,800,-568973.1720026572,24.520120367873233,52.16324436272262
81,810,-569496.899431688,24.534999645451784,52.46794573011721
82,820,-570023.6556812315,24.54936550079158,52.769087598266196
83,830,-570553.4056400536,24.562536652665585,53.06674593958887
84,840,-571086.1146600501,24.575962658179805,53.36099851987092
85,850,-571621.7492154806,24.58931891040999,53.65192706429807
86,860,-572160.2764782298,24.601682481635606,53.939603154396174
87,870,-572701.6642351008,24.613660183682743,54.224094009227706
88,880,-573245.8809394242,24.625715327751635,54.5054706634648
89,890,-573792.8958800929,24.63723172652845,54.78380091474828
90,900,-574342.6789075857,24.648454155132704,55.05914818535966
91,910,-574895.2004382204,24.659755326030233,55.3315772029091
92,920,-575450.4317442606,24.6705031542339,55.60114918553154
93,930,-576008.3444492385,24.680687530871563,55.867919875467486
94,940,-576568.9108866547,24.69073889494195,56.131945461439315
95,950,-577132.1038097322,24.70095081932966,56.39328418327786
96,960,-577697.896726451,24.7107693395576,56.651991111233656
97,970,-578266.263570571,24.71985257684109,56.90811495537636
98,980,-578837.1787201387,24.729101377387927,57.161705760454055
99,990,-579410.6170850496,24.738723570958527,57.41281769337074
100,1000,-579986.5542245927,24.747466917324346,57.66149807629554
101,1010,-580564.9660433953,24.75580465938809,57.90778889929497
102,1020,-581145.8287158137,24.764649472542878,58.15173772825946
103,1030,-581729.1192808141,24.772926067729713,58.39338999147002
104,1040,-582314.8148342788,24.780760127213,58.63278518397128
105,1050,-582902.8930720455,24.788872879420598,58.869965705620416
106,1060,-583493.3320143312,24.79687449798803,59.10497434656863
107,1070,-584086.1102434215,24.80445028760311,59.33784938191384
108,1080,-584681.206505515,24.8119258757215,59.568628055320005
109,1090,-585278.6001064938,24.81949039331812,59.797348955886264
110,1100,-585878.270598875,24.826795115251947,60.0240488979558
111,1110,-586480.1980394352,24.83371181758695,60.24876153340738
112,1120,-587084.3626177314,24.840735861519192,60.471521242392186
113,1130,-587690.7450577163,24.847895561729253,60.692363825169735
114,1140,-588299.326327967,24.854630721907597,60.91132180396234
115,1150,-588910.0877912404,24.861009523068542,61.12842468796879
116,1160,-589523.0109612629,24.867514575936696,61.34370359654857
117,1170,-590138.0778324248,24.874294914974598,61.557191564995435
118,1180,-590755.2705995849,24.88069572338693,61.768918647408995
119,1190,-591374.5719060587,24.88670111250565,61.978911295263956
120,1200,-591995.9643720505,24.892990699620157,62.18719806090667
121,1210,-592619.4312573775,24.89899458154387,62.39380726285017
122,1220,-593244.9558080826,24.90506643274575,62.59876561460842
123,1230,-593872.5216812852,24.91122832763949,62.80210071480833
124,1240,-594502.1128396664,24.916861082065964,63.00383708465233
125,1250,-595133.7133176572,24.922573493677103,63.20399859266763
126,1260,-595767.3075683735,24.92821724260002,63.402610383636784
127,1270,-596402.8801775472,24.93382866397742,63.59969656041066
128,1280,-597040.4160168401,24.93951081633577,63.795281204316424
129,1290,-597679.9002118196,24.944926683622366,63.98938693078235
130,1300,-598321.3180624369,24.950352724321053,64.18203558821551
131,1310,-598964.6551070791,24.955695017234376,64.37324922764965
132,1320,-599609.8971396411,24.960939710273692,64.56304898604431
133,1330,-600257.0300618858,24.966276755990304,64.75145618339157
134,1340,-600906.0401379697,24.97136106187827,64.9384910870649
135,1350,-601556.913671356,24.976484151717347,65.12417330430327
136,1360,-602209.6372739286,24.981654132506037,65.3085231178251
137,1370,-602864.1977205749,24.986721675741137,65.4915598493637
138,1380,-603520.5819552207,24.991791115701787,65.67330223204918
139,1390,-604178.7771629838,24.996637829402275,65.85376816327481
140,1400,-604838.7706339376,25.00145019585034,66.03297502024654
141,1410,-605500.5498824659,25.006307831138237,66.21094076426817
142,1420,-606164.102584139,25.01109734409798,66.38768285890256
143,1430,-606829.4165899851,25.01596468054692,66.56321851104586
144,1440,-607496.479913874,25.020848245080966,66.7375648643152
145,1450,-608165.2807701423,25.02537683916973,66.91073721250432
146,1460,-608835.8074792325,25.029852004978082,67.08275028664794
147,1470,-609508.048502531,25.034653031514612,67.25362083895743
148,1480,-610181.9925382911,25.03938861348433,67.42336524911661
149,1490,-610857.6283854045,25.04392784600474,67.5919978045451
150,1500,-611534.9449996777,25.048421248647657,67.75953256836947
151,1510,-612213.9314703842,25.052874354310912,67.925983843462
152,1520,-612894.5770400639,25.0573666440323,68.09136592923022
153,1530,-613576.8710783718,25.06191173778563,68.25569314974709
154,1540,-614260.8031243038,25.0663644980402,68.41897912241112
155,1550,-614946.362820147,25.070748662648615,68.58123680551216
156,1560,-615633.5399525692,25.075074317632247,68.74247901623602
157,1570,-616322.3244325448,25.079426479063333,68.90271862914233
158,1580,-617012.7062870698,25.08387307358879,69.06196875927708
159,1590,-617704.6757077398,25.088235083905655,69.22024192546523
160,1600,-618398.222969184,25.092505410779044,69.3775498258925
161,1610,-619093.3384886163,25.096743442243543,69.53390410232679
162,1620,-619790.012777651,25.101052410481728,69.68931668333535
163,1630,-620488.2364852548,25.105397556067096,69.84379948926944
164,1640,-621188.0003768365,25.109612307440955,69.99736360727985
165,1650,-621889.2953156495,25.113799736936926,70.15001972678438
166,1660,-622592.1122717068,25.118037612596055,70.30177889002661
167,1670,-623296.4423399197,25.12226693512443,70.45265199789283
168,1680,-624002.2767057609,25.126460184948996,70.60264949746488
