,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-497262.6722289957,-0.0,0.0
1,10,-497263.0633719016,0.26271819824032716,0.13135909912016358
2,20,-497266.02963823,1.1086549342755463,0.5398819318092136
3,30,-497274.3543856429,2.628608477444504,1.2551470782855176
4,40,-497291.5601461498,4.6774090552877166,2.2779246231038996
5,50,-497320.69351241685,7.06017386043095,3.5686181410579594
6,60,-497363.86474462243,9.383886832965073,5.05662609651481
7,70,-497423.51403007424,11.025650682111154,6.62616314322222
8,80,-497498.7285886482,12.292209533462302,8.181972716357269
9,90,-497589.3382659151,13.567108254255439,9.703964048546187
10,100,-497695.0534803413,14.679994302510746,11.191692000019248
11,110,-497815.4607606638,15.646400551030823,12.636891740191642
12,120,-497950.0983492444,16.491561767208623,14.035240172205523
13,130,-498098.4792574162,17.2339693604852,15.385233554575827
14,140,-498260.1150907049,17.890076328063156,16.68700982740993
15,150,-498434.5253522009,18.472663510066933,17.941696575176323
16,160,-498621.2463359598,18.99173478030133,19.150943737396304
17,170,-498819.83188301243,19.45487312040202,20.316637599880778
18,180,-499029.8569181655,19.869597671992967,21.440773019147308
19,190,-499250.914585872,20.242734103796856,22.525409816861064
20,200,-499482.62216186454,20.577695553161917,23.5725557347374
21,210,-499724.6135710553,20.879562375157548,24.584130561070197
22,220,-499976.5427966699,21.153628385462806,25.562027280061738
23,230,-500238.0831512389,21.40144516053112,26.50804036938716
24,240,-500508.92457399424,21.626567159627996,27.42384265971705
25,250,-500788.77263604954,21.832432795454217,28.311044798118385
26,260,-501077.350629918,22.019759982230635,29.171150376762675
27,270,-501374.3940133329,22.190546139401015,30.005543339116418
28,280,-501679.65323966055,22.347279932862158,30.815537948964636
29,290,-501992.89027378574,22.49160678929325,31.602382843147648
30,300,-502313.8805350215,22.62451731834151,32.36724445574001
31,310,-502642.40944015485,22.746508068330943,33.11119890677146
32,320,-502978.27385347354,22.85839056600821,33.835240421757774
33,330,-503321.27893951535,22.963480458002525,34.5403342964426
34,340,-503671.2401601331,23.061662503340603,35.22740791417091
35,350,-504027.98296064313,23.150764721591305,35.89727522011672
36,360,-504391.33783444366,23.233613193675414,36.55068950255955
37,370,-504761.1449985956,23.312429481152424,37.18841140552031
38,380,-505137.250634525,23.38614081437403,37.8111566154832
39,390,-505519.50966301415,23.453250554634835,38.41955169403809
40,400,-505907.7804249372,23.516975229547796,39.014196583825836
41,410,-506301.9289433862,23.577398600478773,39.595688025420536
42,420,-506701.827190579,23.632856346841436,40.164560804584475
43,430,-507107.35056385625,23.686179140806658,40.72132502020686
44,440,-507518.38143845584,23.736313730076716,41.266476545732445
45,450,-507934.805839341,23.783209021865428,41.80046526159495
46,460,-508356.51415336004,23.828158199269026,42.32372485917295
47,470,-508783.40174506744,23.86937997962956,42.8366561529816
48,480,-509215.3670058288,23.90747758329394,43.339621952058955
49,490,-509652.312016734,23.946165399652056,43.833006803412
50,500,-510094.1427562837,23.984240223580855,44.31719783217487
51,510,-510540.7701785227,24.016802019880597,44.79249907774284
52,520,-510992.1058989174,24.048112925834573,45.2591897761311
53,530,-511448.06504777796,24.08009948885592,45.71759238108207
54,540,-511908.56758995564,24.10867478353041,46.167991601194814
55,550,-512373.5335770248,24.13635399042679,46.61064147132566
56,560,-512842.8875586113,24.16373599548828,47.04581051405549
57,570,-513316.5558182647,24.18911827588454,47.47374340490642
58,580,-513794.4673386923,24.213915357744554,47.894669302576226
59,590,-514276.55287934735,24.237528845126675,48.30881273903506
60,600,-514762.74637074413,24.260104045970365,48.71638305957459
61,610,-515252.9821633758,24.281287537810524,49.117577540322245
62,620,-515747.1988054933,24.301485327424466,49.512584207735934
63,630,-516245.3336031668,24.322866134045807,49.90160254822986
64,640,-516747.32961787307,24.341920807026327,50.284812424646226
65,650,-517253.1281325667,24.360314129444305,50.662370712716076
66,660,-517762.6741307572,24.378025599190686,51.034439756596115
67,670,-518275.9136245078,24.393744863777734,51.40116464082894
68,680,-518792.7932046106,24.411487938463736,51.76270374778833
69,690,-519313.2625462183,24.428629683477528,52.11921903830735
70,700,-519837.2719772513,24.4435973821237,52.470835218142746
71,710,-520364.772992383,24.458174725262708,52.81767300938009
72,720,-520895.7185198246,24.472990828938837,53.159865001660364
73,730,-521430.06269191403,24.487459919010767,53.49753865507373
74,740,-521967.761168414,24.500794042972746,53.8308068889819
75,750,-522508.77017770207,24.514165496002427,54.15978056465101
76,760,-523053.0474894591,24.527498164260976,54.48457345412608
77,770,-523600.551885088,24.540213084963092,54.805290606647034
78,780,-524151.2430200643,24.552114242772056,55.122027987376356
79,790,-524705.0817551154,24.56359047669388,55.434879097597154
80,800,-525262.0293784863,24.574990940978694,55.74393855348899
81,810,-525822.0488861437,24.58656211188959,56.04930114879535
82,820,-526385.1032323788,24.598492656694958,56.35106085960288
