,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-569657.5001751124,-0.0,0.0
1,10,-569657.8675032492,0.17048104161804076,0.08524052080902038
2,20,-569660.027320102,0.682785199052887,0.3411773413812625
3,30,-569665.4214011875,1.6234165969421157,0.7824430739681701
4,40,-569676.2101690726,3.0005287236883307,1.4280785972528973
5,50,-569694.6208537518,4.607430758915143,2.263887763605453
6,60,-569722.3983052801,6.228514543385244,3.2436737181124045
7,70,-569760.6797523873,7.74430565593939,4.315881286437798
8,80,-569810.1098717769,9.11734387711622,5.438879968467518
9,90,-569870.9918261997,10.349697695215582,6.583697166077036
10,100,-569943.4081576592,11.456518612249056,7.731506301979243
11,110,-570027.3025564352,12.454673229061882,8.8704537430036
12,120,-570122.5325179906,13.359269289916849,9.993211473828705
13,130,-570228.9030075037,14.182802257602455,11.095340088765077
14,140,-570346.187775955,14.935412826319228,12.17424008422822
15,150,-570474.142850134,15.625486163597078,13.228497223954761
16,160,-570612.5156419945,16.259912958461783,14.257469042693266
17,170,-570761.0506558673,16.844505982706323,15.261017969195382
18,180,-570919.4932904303,17.38432505970121,16.2393425340706
19,190,-571087.5925933246,17.883797203039293,17.19286669458088
20,200,-571265.102772332,18.346904694335535,18.12216555412451
21,210,-571451.7846301567,18.77707385049433,19.02791135839943
22,220,-571647.4060636224,19.17793600956793,19.910846727351593
23,230,-571851.7425219421,19.55142125994318,20.771739806342516
24,240,-572064.5783294757,19.89873685024213,21.611327721011186
25,250,-572285.702885484,20.225417372494103,22.430393086174448
26,260,-572514.915156746,20.53388116182181,23.229783763659363
27,270,-572752.0239168218,20.822283693627124,24.01026393987268
28,280,-572996.8425704192,21.093334366043564,24.77252847115888
29,290,-573249.1927758539,21.349890625587452,25.517296718776926
30,300,-573508.903318901,21.59258292254524,26.245274663329475
31,310,-573775.8097598868,21.82265830854591,26.957129405187153
32,320,-574049.7541779461,22.04113133205101,27.653500442065706
33,330,-574330.585012705,22.248907355076554,28.334997776024103
34,340,-574618.1564511564,22.44707397138119,29.002206461910102
35,350,-574912.3286380747,22.63626414199824,29.65568569292955
36,360,-575212.9670466859,22.8170898458571,30.295964920594997
37,370,-575519.9422796067,22.990419328806468,30.92355028851307
38,380,-575833.1299642663,23.156625122245195,31.538924066613255
39,390,-576152.4104285212,23.31612026090149,32.14254112116178
40,400,-576477.6682767123,23.46967090747782,32.73483662623475
41,410,-576808.7925469341,23.61750637632789,33.31622588302125
42,420,-577145.6762600658,23.7599839985836,33.88710120582836
43,430,-577488.2161349824,23.89753771434492,34.44783650370809
44,440,-577836.3127996083,24.030271159496593,34.99878611239983
45,450,-578189.869990672,24.15871130765293,35.54028750121651
46,460,-578548.795040205,24.283107752830354,36.07266445025743
47,470,-578912.9982564128,24.403456498330343,36.5962225130017
48,480,-579282.3930266737,24.52013009609658,37.11125177417998
49,490,-579656.8954213011,24.633363475243165,37.61803064780252
50,500,-580036.4244548891,24.743149352871008,38.11682299311943
51,510,-580420.9014543325,24.849757474454236,38.6078795599271
52,520,-580810.2504025869,24.953415096271783,39.09144131682406
53,530,-581204.3974932262,25.054136767558408,39.56773778126808
54,540,-581603.2712849741,25.15213266236242,40.036987679338196
55,550,-582006.802314586,25.24731700323173,40.499398860248036
56,560,-582414.9233767408,25.339882449433247,40.955168874355145
57,570,-582827.568821039,25.430216554290382,41.40448989983415
58,580,-583244.6753845428,25.51795856267563,41.84754437627416
59,590,-583666.1810934951,25.603409665788142,42.284504825691684
60,600,-584092.025984457,25.68665939115462,42.715538368633126
61,610,-584522.1516097924,25.767658311859122,43.14080417759105
62,620,-584956.5010239653,25.846750659477998,43.560456029199116
63,630,-585395.0189512122,25.923466535378292,43.97463936467538
64,640,-585837.6513864797,25.998244030959995,44.38349244406709
65,650,-586284.345636464,26.07151505263737,44.787153841348484
66,660,-586735.0506515135,26.142710691131605,45.18575479570718
67,670,-587189.7163309789,26.211788257470563,45.57941599440674
68,680,-587648.2939836328,26.279022838315047,45.968254463642374
69,690,-588110.7358543043,26.344824754368116,46.3523870999532
70,700,-588576.9955644805,26.408813153713556,46.73192600682815
71,710,-589047.0277398061,26.470759701935606,47.106974187215386
72,720,-589520.7878957018,26.531614843569795,47.4776353132358
73,730,-589998.2327293654,26.59084555654242,47.844011717692766
74,740,-590479.3200129473,26.64779660787894,48.20619347663013
75,750,-590964.008045257,26.70345153019298,48.56426916661439
76,760,-591452.2563445754,26.758117007801832,48.91833242028805
77,770,-591944.0252019647,26.811133714587996,49.26847093463438
78,780,-592439.2758956813,26.862051630264503,49.614761844163866
79,790,-592937.9702203423,26.91177779708798,49.957282190395915
80,800,-593440.0708578797,26.960770221660084,50.296114711857804
81,810,-593945.541455326,27.007757734196026,50.63133407965797
82,820,-594454.3462051889,27.05320796121366,50.96300721870211
83,830,-594966.449854623,27.097859903279282,51.291205923730736
84,840,-595481.8182393084,27.140729049768012,51.61599800225958
85,850,-596000.4174635118,27.18241084065818,51.937446495245965
86,860,-596522.2144301183,27.223299490677647,52.2556180266416
87,870,-597047.1767951492,27.262341983628183,52.570573150023115
88,880,-597575.2726206913,27.30007601857676,52.882367344653176
89,890,-598106.470536894,27.337084925087275,53.191060541733165
90,900,-598640.7399367273,27.372740765043808,53.49671045255381
91,910,-599178.0506089423,27.40722709294926,53.799370394433204
92,920,-599718.3729153256,27.440343864471586,54.09909185789583
93,930,-600261.6778137786,27.47221877010035,54.3959242624216
94,940,-600807.9364782127,27.503449986042888,54.689919310070394
95,950,-601357.1210266881,27.5333005847785,54.981126365145606
96,960,-601909.2036368386,27.5624840866775,55.26959307810466
97,970,-602464.1572082649,27.590594909817515,55.55536724411358
98,980,-603021.9551638339,27.616820152808074,55.83848894914117
99,990,-603582.570954753,27.642687005811744,56.11900062311033
100,1000,-604145.9788623202,27.667552558123276,56.39694791623333
101,1010,-604712.1534636676,27.691169314938964,56.67237067563256
102,1020,-605281.0695818297,27.71445172601365,56.94531082776084
103,1030,-605852.7027723109,27.73632610544155,57.21580834301567
104,1040,-606427.0287137808,27.757040714495815,57.4838980138782
105,1050,-607004.0234697331,27.77738965365309,57.7496186090706
106,1060,-607583.6636306221,27.79625027352005,58.01300628121826
107,1070,-608165.9260298804,27.814275844490975,58.27409392091067
108,1080,-608750.78769851,27.83224809000967,58.53292017293715
109,1090,-609338.2264501565,27.84891911971798,58.78952050876541
110,1100,-609928.2200064312,27.864615975326394,59.043925189519356
111,1110,-610520.7466572656,27.879707534981,59.29616680303734
112,1120,-611115.7849019798,27.89344467231996,59.54627537778579
113,1130,-611713.3136058287,27.906921391157084,59.794281637416866
114,1140,-612313.3117420543,27.920375995756977,60.04022137993016
115,1150,-612915.7591106364,27.931710441160167,60.28412138869462
116,1160,-613520.6352052852,27.942648255836602,60.52600605738262
117,1170,-614127.9199929889,27.953927236565505,60.765909734267915
118,1180,-614737.5940644663,27.963353959610686,61.00385974973906
119,1190,-615349.637773542,27.972145245314206,61.23987855974264
120,1200,-615964.0320266846,27.98103790904861,61.47399623973615
121,1210,-616580.7579558581,27.988798115653097,61.70624008825107
122,1220,-617199.7970015393,27.995504495652945,61.93663195297413
123,1230,-617821.1306334191,28.00219160791312,62.16519767432328
124,1240,-618444.7408303269,28.008644726092285,62.391965805082876
125,1250,-619070.6097147551,28.013942381948986,62.616959658183625
126,1260,-619698.7197058004,28.01853799856044,62.840200102308884
127,1270,-620329.0532576533,28.022443196477433,63.06170935642004
128,1280,-620961.5933552417,28.025999308004884,63.281510495730615
129,1290,-621596.3227669125,28.029444579389835,63.49962831358716
130,1300,-622233.2251294667,28.031931848003847,63.71608469413913
131,1310,-622872.2835768166,28.033808710132426,63.93089908651746
132,1320,-623513.4821134912,28.035356234153173,64.14409288759343
133,1330,-624156.8043283115,28.03668829953493,64.35568850261625
134,1340,-624802.2346600108,28.037079897877806,64.56570555621728
135,1350,-625449.757166513,28.03737920129826,64.77416367117547
136,1360,-626099.3564841119,28.03703782877477,64.98108316132421
137,1370,-626751.0173763297,28.035712389312874,65.1864806244921
138,1380,-627404.7244958096,28.034914065659013,65.3903765183015
