,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-645787.392154792,-0.0,0.0
1,10,-645787.5247188874,0.09776297687203622,0.04888148843601811
2,20,-645788.4761942698,0.4963995858910494,0.22186287334479857
3,30,-645791.7003661531,1.3443803617410595,0.5700261634410708
4,40,-645799.4882254655,2.533452119538561,1.1107710720069008
5,50,-645813.8010849088,3.785077876818831,1.805960374631104
6,60,-645835.8347778566,4.936744997638744,2.5958635787828825
7,70,-645866.182426679,5.965433234054943,3.4333613691138454
8,80,-645905.0929635653,6.9054246020969,4.291052780605969
9,90,-645952.651958358,7.795093321491734,5.155702558319899
10,100,-646008.8782722844,8.659127659280784,6.021719681366813
11,110,-646073.7663492437,9.507885384964176,6.886852672738314
12,120,-646147.3000916407,10.342185304930897,7.749953668851231
13,130,-646229.454868802,11.157953064105815,8.61003009748383
14,140,-646320.1958620134,11.949342336226257,9.465944364704772
15,150,-646419.4755516344,12.710766708172748,10.316398814604325
16,160,-646527.2326104896,13.437848537135864,11.160023804995582
17,170,-646643.3916123554,14.127598918019796,11.995474187016955
18,180,-646767.8639803086,14.778303134604357,12.821500222658507
19,190,-646900.5490822952,15.389451323277886,13.636994204203075
20,200,-647041.3360237601,15.961553635133896,14.441018606220315
21,210,-647190.105397126,16.495700127084298,15.232812212029241
22,220,-647346.7311744819,16.9933260320453,16.011778932233575
23,230,-647511.0820931514,17.456445711167174,16.777478837750095
24,240,-647683.0232816256,17.88709942731076,17.5296146927285
25,250,-647862.4178251962,18.287182035492133,18.268006238173985
26,260,-648049.1272211481,18.65899543223205,18.99257671411906
27,270,-648243.0130484977,19.004569250723588,19.703340016960283
28,280,-648443.9373074895,19.325731519516538,20.40037883312907
29,290,-648651.7631892078,19.624345080889167,21.083831958948576
30,300,-648866.3555817158,19.902107024478006,21.753884519946585
31,310,-649087.5813920983,20.16098203364238,22.410763433262762
32,320,-649315.3099986415,20.402368997689337,23.054727578426537
33,330,-649549.4137653549,20.627192723113694,23.686047817092913
34,340,-649789.7673768143,20.837092072638928,24.305008864768023
35,350,-650036.2487964577,21.03334961889776,24.911913112492766
36,360,-650288.7389809549,21.216984540468573,25.507069876459717
37,370,-650547.1219414106,21.389018556097316,26.09079100859817
38,380,-650811.2850123626,21.54980937101644,26.66338192319963
39,390,-651081.1183496674,21.700760799509577,27.225146928547474
40,400,-651356.5150536346,21.843893462093575,27.77641047886864
41,410,-651637.3719484878,21.97678645454289,28.31746873805387
42,420,-651923.5889883687,22.099986938049536,28.848573411558757
43,430,-652215.066314581,22.218706365756194,29.37002554491919
44,440,-652511.7105297105,22.331211298285005,29.882146360437037
45,450,-652813.4292447353,22.436063008804954,30.385199714177
46,460,-653120.1331722325,22.534987704746907,30.87943482169358
47,470,-653431.7353420085,22.62894110018384,31.36511375618284
48,480,-653748.151456237,22.71802248624155,31.842493239707256
49,490,-654069.3001125585,22.80154203863926,32.311808103584916
50,500,-654395.1014256466,22.880931042600494,32.77328621032357
51,510,-654725.4783868135,22.95664823963307,33.22716069956951
52,520,-655060.3561398903,23.028133262472693,33.67365023668245
53,530,-655399.6618753741,23.09615421753268,34.112962842310665
54,540,-655743.3248027974,23.161162720690328,34.545306300022645
55,550,-656091.2764237216,23.222358815488366,34.970873863267485
56,560,-656443.4498825347,23.28050582469453,35.389847875284616
57,570,-656799.7799602984,23.33672165395397,35.80241761911748
58,580,-657160.2038950039,23.389836163743084,36.20876222245424
59,590,-657524.66014365,23.440339145102357,36.60904568301484
60,600,-657893.0888289653,23.489155436865943,37.00343558689637
61,610,-658265.4320823542,23.53535055693338,37.39209125835332
62,620,-658641.6331998847,23.57919802748374,37.77515879063867
63,630,-659021.637037817,23.621550385814178,38.15278623555059
64,640,-659405.3899566282,23.662161620892675,38.52511949532345
65,650,-659792.8398030486,23.700788572852662,38.89229389123939
66,660,-660183.9355643848,23.73811920743901,39.254441885912094
67,670,-660578.6276689405,23.773604863585202,39.61169108400063
68,680,-660976.867911055,23.807430957653366,39.96416068506369
69,690,-661378.6087317658,23.840725853084443,40.31197420745156
70,700,-661783.8046288767,23.87190241608192,40.655246679131224
71,710,-662192.4105052305,23.901644852256915,40.99408171043905
72,720,-662604.3824337934,23.931296826526676,41.328592714355906
73,730,-663019.677994105,23.959270042533223,41.65888686498365
74,740,-663438.2554036137,23.98615848844633,41.98506009275152
75,750,-663860.0738501261,24.01201018728898,42.30720879910223
76,760,-664285.0938645088,24.036423944542022,42.62542323507368
77,770,-664713.2761115804,24.06059454340144,42.93979523003509
78,780,-665144.5830748484,24.083976225438583,43.25041731992387
79,790,-665578.9773831872,24.1062886906204,43.55737323031644
80,800,-666016.4230422267,24.12725684489118,43.860740033006
81,810,-666456.8843705866,24.147950705909228,44.160596812397124
82,820,-666900.3266380274,24.168845344654983,44.45702924470679
83,830,-667346.7162719149,24.188298432715296,44.75011289406684
84,840,-667796.0199144841,24.20654428100697,45.039912108329005
85,850,-668248.205184536,24.224180865188707,45.32649386299017
86,860,-668703.2401167889,24.241657478711446,45.60992891361238
87,870,-669161.093711682,24.25885534425318,45.89028749154967
88,880,-669621.7355086186,24.275697051547468,46.16763629730849
89,890,-670085.135735538,24.291385739951764,46.442034853405495
90,900,-670551.2653081991,24.306332162028603,46.713538491296646
91,910,-671020.095236131,24.32148831703797,46.9822082211671
92,920,-671491.5979220738,24.33530794114327,47.248099880735396
93,930,-671965.7455008194,24.349146322577276,47.511266377942235
94,940,-672442.5111046185,24.363600055460253,47.77176938408957
95,950,-672921.8685166143,24.376434149787976,48.02966002324684
96,960,-673403.7917765486,24.388830774184044,48.28498220537003
97,970,-673888.2552941565,24.401564747165164,48.537788627235564
98,980,-674375.2344613012,24.41337168192279,48.788127907604206
99,990,-674864.7045726253,24.42481209191596,49.03604356321738
100,1000,-675356.6417875567,24.436380628321785,49.28158310318685
101,1010,-675851.0224620404,24.44716529321726,49.52479057708696
102,1020,-676347.8236660635,24.45742421523908,49.76570548223389
103,1030,-676847.0223971162,24.468241602755807,50.00437268848036
104,1040,-677348.5966913213,24.478651192155667,50.24083638337761
105,1050,-677852.5245619406,24.48821348464124,50.475132746819874
106,1060,-678358.7845824223,24.497517013584428,50.7072976127587
107,1070,-678867.3555699972,24.50678396369614,50.937369620367825
108,1080,-679378.2168195662,24.51601543306606,51.16538737389055
109,1090,-679891.3479926197,24.524632767448434,51.391385760786946
110,1100,-680406.729062426,24.53331708881919,51.61539915391041
111,1110,-680924.340280478,24.541925699388642,51.83746344644897
112,1120,-681444.1625115,24.549663871573046,52.05760937502346
113,1130,-681966.1765055252,24.557624366992968,52.275868143457046
114,1140,-682490.3636976709,24.5651693043067,52.492272168811176
115,1150,-683016.7056949502,24.57313508282823,52.706853857195526
116,1160,-683545.1842414924,24.58068354626893,52.919644797129145
117,1170,-684075.7820617952,24.58674543181293,53.13066758098575
118,1180,-684608.4808830885,24.594208718323912,53.339951891466626
119,1190,-685143.2641535742,24.601474077772497,53.54753217841498
120,1200,-685680.1145445892,24.607532377936963,53.753431101464955
121,1210,-686219.0156484046,24.614227787125856,53.95767417144379
122,1220,-686759.9507168825,24.621014440414555,54.1602916534015
123,1230,-687302.9040780406,24.626601520305936,54.361305586549854
124,1240,-687847.8593529267,24.632612963789143,54.5607387750846
125,1250,-688394.8011585776,24.638576963843306,54.75861813521332
126,1260,-688943.7139931528,24.64380188277009,54.954965307682855
127,1270,-689494.5825837429,24.64978036393586,55.14980455168259
128,1280,-690047.3920625481,24.655632209032774,55.343161994384715
129,1290,-690602.1277192591,24.66109978455088,55.535058715780906
130,1300,-691158.7750170087,24.66632548219049,55.72551485648437
131,1310,-691717.3197074217,24.671585373583273,55.9145516954959
132,1320,-692277.7476100791,24.67637022928102,56.10218915123696
133,1330,-692840.0450040953,24.68059815079323,56.28844445416471
134,1340,-693404.1978910979,24.6850051432326,56.473336885885516
135,1350,-693970.1930370549,24.689732196871965,56.656888566612906
136,1360,-694538.0168303683,24.695664665172615,56.83912490399234
137,1370,-695107.6565462209,24.70024079034037,57.02006465298909
138,1380,-695679.0992004226,24.703899825958167,57.1997184006148
139,1390,-696252.3318045228,24.708792784268834,57.37810583362588
140,1400,-696827.3421211512,24.712234942009776,57.555244365145334
141,1410,-697404.1175067914,24.716113776719126,57.731148140615545
142,1420,-697982.6456804345,24.72116952357464,57.9058403057119
143,1430,-698562.9148725427,24.724774241424264,58.07933693685918
144,1440,-699144.9129494429,24.728192693134872,58.25164897662907
145,1450,-699728.6282590609,24.732426559334165,58.42279498632851
146,1460,-700314.049160866,24.736117137997333,58.59279194576811
147,1470,-700901.1643839403,24.739510417552083,58.76165267031028
148,1480,-701489.962390683,24.743355585180794,58.92939308244531
149,1490,-702080.4323483891,24.746560995172953,59.096027650953324
150,1500,-702672.5630139015,24.74953340468336,59.26156824662611
151,1510,-703266.3436849171,24.753296061777146,59.426031247804346
152,1520,-703861.7635126945,24.757316041691553,59.58943434391112
153,1530,-704458.8121859648,24.760397821161423,59.75178921627084
154,1540,-705057.4790946564,24.763020933861625,59.91310496763617
155,1550,-705657.7539936324,24.765442224408396,60.07339290955715
156,1560,-706259.6266301076,24.76931005893297,60.232670247153145
157,1570,-706863.0868831644,24.772637772144158,60.3909528123113
158,1580,-707468.1252707022,24.77435224555072,60.54824641205632
159,1590,-708074.7312727657,24.77869034504088,60.70456667082471
160,1600,-708682.895899207,24.78228605352342,60.85993172463204
161,1610,-709292.6092951582,24.78318802606093,61.01434279099048
162,1620,-709903.8620992252,24.78525163584866,61.16780690366576
163,1630,-710516.644631346,24.788699134776834,61.320343548301025
164,1640,-711130.9481144621,24.7913932141728,61.47196601859905
165,1650,-711746.7630838859,24.79441786473023,61.62268413408601
166,1660,-712364.0808109707,24.79773734658992,61.77251071363571
167,1670,-712982.892304393,24.799493690559757,61.921452674704774
168,1680,-713603.1888658762,24.801075623184204,62.06951538088324
169,1690,-714224.9615233889,24.803550890868184,62.216711392611614
170,1700,-714848.2019387871,24.806938876601876,62.36305626420217
171,1710,-715472.9014053175,24.809408169283415,62.5085599782833
172,1720,-716099.0519384926,24.809614088013646,62.65322307861934
173,1730,-716726.6446575781,24.812438694041216,62.797056300366236
174,1740,-717355.6716158929,24.8162920451432,62.94007973496482
175,1750,-717986.1248898836,24.817945686081533,63.082299335248535
176,1760,-718617.9961880163,24.819830905878916,63.22371863474982
177,1770,-719251.2777954887,24.821100046142615,63.364345619830424
178,1780,-719885.9616308,24.823443135660035,63.50419049450866
179,1790,-720522.0399892399,24.826294753447037,63.64326645941038
180,1800,-721159.5053754121,24.827012854569546,63.78157757605514
181,1810,-721798.349958355,24.8295575922703,63.91913143875136
182,1820,-722438.5662339918,24.832057101355943,64.05594131394318
183,1830,-723080.147122518,24.83244767812456,64.19200946873462
184,1840,-723723.0846875388,24.835282959788515,64.32734486839036
185,1850,-724367.3721440971,24.837151848463428,64.46195948777458
186,1860,-725013.0021156423,24.838669735228706,64.59585754277069
187,1870,-725659.9673606704,24.84183701123402,64.72905018443271
188,1880,-726308.2611931512,24.84222727881172,64.86154196192801
189,1890,-726957.8763391713,24.842874194469992,64.99333360473247
190,1900,-727608.8058509323,24.845498846495673,65.12443838583714
191,1910,-728261.0430688245,24.847694686916114,65.25486759870837
192,1920,-728914.5811400494,24.8494657952333,65.38462607038673
193,1930,-729569.4135041712,24.85017351963588,65.51371690876985
194,1940,-730225.5334012072,24.851149464026093,65.64214495093329
195,1950,-730882.9342345479,24.85354274572483,65.76992133790336
196,1960,-731541.6096107081,24.85556425444139,65.8970554222542
197,1970,-732201.5531275391,24.856439725022042,66.02354988439329
