,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-599006.4559725979,-0.0,0.0
1,10,-599006.5670140573,0.06116053767618723,0.030580268838093616
2,20,-599007.2339686811,0.32868393668322826,0.14333152184699427
3,30,-599009.2355184831,1.0487789327889914,0.40029899481596654
4,40,-599014.5856434979,2.3487787822727113,0.8686928313982207
5,50,-599025.8877420127,4.033629656885751,1.5656531448708848
6,60,-599045.4251061374,5.81171474175062,2.4533256723720114
7,70,-599074.8090027975,7.486945910021313,3.4724170849003713
8,80,-599115.009333722,8.977859111642465,4.568315130093833
9,90,-599166.5128116395,10.2747413416364,5.700250287995731
10,100,-599229.4828568647,11.39985559962224,6.841062031401087
11,110,-599303.8821375554,12.38400245151715,7.973964013723887
12,120,-599389.5558024059,13.255803315842059,9.089198354225662
13,130,-599486.2841996587,14.038187199365357,10.181453769284415
14,140,-599593.814759,14.748255723045448,11.248107464863278
15,150,-599711.8806839138,15.398322622349951,12.288108304288471
16,160,-599840.2115890884,15.997169714048496,13.301297278597485
17,170,-599978.5393618286,16.551149494186387,14.288007346696395
18,180,-600126.601343462,17.06500287859819,15.248833718970127
19,190,-600284.1419209061,17.542432034935327,16.184504524996736
20,200,-600450.9133264547,17.986457000893985,17.095808898306856
21,210,-600626.6759158467,18.39966653039449,17.98355762167193
22,220,-600811.1982234492,18.78437131889513,18.848562449989547
23,230,-601004.2568946547,19.142659291261225,19.69162474716577
24,240,-601205.6365228416,19.47645793017,20.513529054578978
25,250,-601415.1294548388,19.787566450613657,21.315039923803127
26,260,-601632.535585451,20.07766078611022,22.09690011408675
27,270,-601857.6621213439,20.34830933525228,22.85982951860351
28,280,-602090.3233569622,20.600970575772216,23.604524536416285
29,290,-602330.3404313086,20.837002508324783,24.33165767492028
30,300,-602577.5410864387,21.057674891024405,25.041877587040652
31,310,-602831.7594343883,21.264155485009564,25.735809084982613
32,320,-603092.8357157699,21.457521648798092,26.414053110503303
33,330,-603360.6160574486,21.63877780970065,27.077187156109723
34,340,-603634.9522471621,21.808846211177297,27.725765752588632
35,350,-603915.7015020964,21.968571493358517,28.360320814843
36,360,-604202.7262446851,22.118735008745027,28.981362203361645
37,370,-604495.8938855937,22.260056485247333,29.589378430385846
38,380,-604795.0766144401,22.393194082047557,30.184837295064067
39,390,-605100.1511950211,22.51875146668457,30.768186527497896
40,400,-605410.9987674393,22.63728613371491,31.3398545460499
41,410,-605727.5046597989,22.749309799785348,31.900251230035792
42,420,-606049.5582065722,22.855289762903674,32.449768620241954
43,430,-606377.0525731619,22.955658624062107,32.988781666204154
44,440,-606709.8845883365,23.050816305761785,33.5176490236583
45,450,-607047.9545875705,23.14111841336132,34.03671365596819
46,460,-607391.1662576514,23.226906111440556,34.54630356467096
47,470,-607739.4264850132,23.308497126074474,35.046732670831254
48,480,-608092.6452366285,23.386163565376876,35.538301276687704
49,490,-608450.7354012866,23.460170755008654,36.02129664466047
50,500,-608813.6126852434,23.530759237619314,36.495993734536746
51,510,-609181.19547736,23.59816136207941,36.96265585007058
52,520,-609553.4047412483,23.662585254560653,37.421535231445155
53,530,-609930.1639152861,23.724199946710836,37.87287329670653
54,540,-610311.3987859107,23.78320229880636,38.31690133985103
55,550,-610697.0374097757,23.839767571946062,38.75384133569605
56,560,-611087.010017461,23.894019344239496,39.18390595387173
57,570,-611481.2489170448,23.94611524750358,39.6072990548244
58,580,-611879.6884056858,23.99618741344299,40.02421638194501
59,590,-612282.2647157158,24.04433448252688,40.43484561300575
60,600,-612688.9158886785,24.09070668794456,40.839367048534044
61,610,-613099.5817581037,24.135401865345063,41.23795410043095
62,620,-613514.2038427965,24.178487650561102,41.6307730668952
63,630,-613932.725293518,24.22006949095521,42.0179836442665
64,640,-614355.0908212052,24.260244951769664,42.399739581689936
65,650,-614781.2466508314,24.29909491816943,42.77618886013079
66,660,-615211.1404527087,24.33668760392461,43.147473820370216
67,670,-615644.7212973252,24.373096210640696,43.51373144354584
68,680,-616081.939591851,24.408376645622827,43.87509357892559
69,690,-616522.7470460343,24.442575892049256,44.231687051773775
70,700,-616967.0965996083,24.475772553327207,44.58363411374303
71,710,-617414.9424039562,24.508044741785856,44.931052924931286
72,720,-617866.2397631104,24.539415311906538,45.27405739564274
