,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-616423.9359478358,-0.0,0.0
1,10,-616424.1394125937,0.05156455104588531,0.025782275522942655
2,20,-616424.9356245996,0.21876188786700365,0.10625502301263623
3,30,-616426.6089241513,0.6643208327324829,0.2716656337681343
4,40,-616430.3105391207,1.5819186950218864,0.5801256094346172
5,50,-616437.936046812,2.9286040798906465,1.0707258543014175
6,60,-616451.504640592,4.498669541015989,1.7384753907084813
7,70,-616472.6920021118,6.090677985973889,2.548412946696044
8,80,-616502.6898723368,7.584475197154097,3.4574910740877387
9,90,-616542.2518316172,8.932967077614737,4.427796722666244
10,100,-616591.7974800674,10.132157443556933,5.430680543600465
11,110,-616651.5137370231,11.197131076036023,6.4462489192344945
12,120,-616721.4337175721,12.14822834251682,7.461385603628878
13,130,-616801.4924827055,13.004615828237728,8.467739316422376
14,140,-616891.564049552,13.78213122595334,9.46013582063315
15,150,-616991.4854309363,14.493082470304222,10.435457541998767
16,160,-617101.0718993202,15.146771123493096,11.391896888618065
17,170,-617220.126599088,15.750261377924465,12.328476467930885
18,180,-617348.4466768972,16.308996492979343,13.244747129995083
19,190,-617485.8272057759,16.82728552187036,14.140598113562735
20,200,-617632.0636689031,17.3086907552206,15.016138685650365
21,210,-617786.9536767204,17.75624985652104,15.87162380825757
22,220,-617950.2980424194,18.172623126656987,16.70740582395374
23,230,-618121.901575963,18.560183730293637,17.523902240929598
24,240,-618301.5735488932,18.921104735531827,18.32157417792623
25,250,-618489.1280556062,19.257396104512736,19.100911782006733
26,260,-618684.3842299263,19.570906423870465,19.86242328917142
27,270,-618887.1663690165,19.863341355187004,20.60662652897154
28,280,-619097.3039977653,20.136306074319883,21.334043077881507
29,290,-619314.6318548049,20.391290967873626,22.04519395427051
30,300,-619538.989917139,20.629625893256183,22.740595034696163
31,310,-619770.2232591697,20.852582772646574,23.420754113121077
32,320,-620008.1820043705,21.061349310725916,24.086169676305143
33,330,-620252.7212219508,21.256993526479356,24.737328918777347
34,340,-620503.7007782403,21.440505304065276,25.374706126858655
35,350,-620760.9852374913,21.612785966601198,25.99876176068501
36,360,-621024.4436759973,21.774685359222374,26.609942031466925
37,370,-621293.9495798508,21.926984136248965,27.208678813447477
38,380,-621569.3806685979,22.070392739429344,27.79538931434945
39,390,-621850.6187699251,22.205556627485187,28.37047584224492
40,400,-622137.5496535557,22.333059021853856,28.934325703447392
41,410,-622430.0628898737,22.453469567559672,29.48731174082495
42,420,-622728.0516975354,22.567306642513767,30.029792952840214
43,430,-623031.4128337908,22.675010168654293,30.562114274188932
