,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-650766.4939135843,-0.0,0.0
1,10,-650766.5690771367,0.0322991655790247,0.01614958278951235
2,20,-650766.9806070384,0.15714678089716472,0.07158586080331589
3,30,-650768.0113708647,0.5220393933093873,0.19787912157917162
4,40,-650770.6102361104,1.2990247171721423,0.44726377677725393
5,50,-650776.4141898368,2.4733293846802553,0.8569748048917972
6,60,-650787.2301123542,3.8736098826513627,1.4271085669141028
7,70,-650804.6036438864,5.321254767177743,2.129999016695365
8,80,-650829.6740544823,6.705047459597701,2.9291541091472024
9,90,-650863.2002680341,7.977112123704864,3.79139247113344
10,100,-650905.6432339083,9.128200863604432,4.690975410075043
11,110,-650957.2507238428,10.167111429737998,5.609526881879719
12,120,-651018.1252167888,11.108494315773713,6.534522240328078
13,130,-651088.2724939414,11.96734537436278,7.457658684550552
14,140,-651167.6355140553,12.756637040094946,8.37353537895251
15,150,-651256.1168651918,13.486586741011703,9.278682450322957
16,160,-651353.593345722,14.164828768232837,10.170886240697293
17,170,-651459.9254677517,14.79727806139854,11.048751200333937
18,180,-651574.9632493092,15.388643614895404,11.91142758359929
19,190,-651698.5511951619,15.942578775520083,12.758431452959485
20,200,-651830.5301387074,16.461844136705626,13.589519103101338
21,210,-651970.74024631,16.94868054612307,14.404605219521908
22,220,-652119.0207163789,17.405659210972946,15.203728396410588
23,230,-652275.2124984984,17.834989620279504,15.987028725954588
24,240,-652439.1579471614,18.23796083845663,16.754703409080683
25,250,-652610.7021239394,18.616218929819304,17.506985305144916
26,260,-652789.6917793412,18.97206165024545,18.244157023169098
27,270,-652975.9776996681,19.306556041163276,18.966533178173993
28,280,-653169.4133986753,19.620763426169297,19.6744327692184
29,290,-653369.855580643,19.917210061420317,20.368203718158473
30,300,-653577.1646800467,20.19662653832345,21.048214333936627
31,310,-653791.2054754958,20.459401342604586,21.714815120477574
32,320,-654011.8447968026,20.70751545485109,22.368360393695184
33,330,-654238.9545978874,20.942230118482254,23.009221839623933
34,340,-654472.4093078771,21.164291939680734,23.63776794391888
35,350,-654712.0882416347,21.374324777789298,24.25435502809269
36,360,-654957.8729859394,21.57350053464757,24.859334476788355
37,370,-655209.649685128,21.762657363255805,25.45305639302678
38,380,-655467.3072201513,21.942251504742348,26.03586019298382
39,390,-655730.7383257708,22.113022311715774,26.608074314620172
40,400,-655999.8385612103,22.275835999404094,27.17002255066036
41,410,-656274.5069892975,22.431569379314926,27.7220262247909
42,420,-656554.6457382687,22.58009660911624,28.264392622846934
43,430,-656840.1601107551,22.72267237995402,28.797420417462124
44,440,-657130.9577692406,22.859807315969405,29.321408075840736
45,450,-657426.9506018686,22.989575697662026,29.83661834349623
46,460,-657728.051443227,23.11433954619573,30.343300894624555
47,470,-658034.1762713799,23.236428564297967,30.841739764335216
48,480,-658345.2445429057,23.35374505533835,31.332203990551353
49,490,-658661.1776247758,23.465911570697894,31.814920245463146
50,500,-658981.8990967972,23.575087857752752,32.29011920129269
51,510,-659307.3348243518,23.681291322241268,32.75803960263729
52,520,-659637.4137209749,23.783456828224118,33.218896210291135
53,530,-659972.0655857492,23.883353217979273,33.67289794817771
54,540,-660311.2233119436,23.980585511878445,34.12025505962084
55,550,-660654.8215193866,24.07514711676045,34.56116249185289
56,560,-661002.7962995877,24.16916888190903,34.995823616372945
57,570,-661355.0866509271,24.25980007867046,35.424425030952264
58,580,-661711.6329792903,24.346630210400285,35.847115037993355
59,590,-662072.3762035754,24.433631649124436,36.26406445617904
60,600,-662437.2604384484,24.520099116373046,36.67546329047473
61,610,-662806.2309302231,24.60541610378123,37.08148118833343
62,620,-663179.2346303507,24.689739434420886,37.4822757287795
63,630,-663556.2203559553,24.772013217694028,37.8779898101755
64,640,-663937.1376864043,24.852416588366168,38.268752594277615
65,650,-664321.9380440479,24.932464642406558,38.6547002884312
66,660,-664710.5735028256,25.014819463714954,39.03599468604662
