,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-569604.6145901507,-0.0,0.0
1,10,-569604.7097135352,0.08669403240201062,0.04334701620100531
2,20,-569605.3919123758,0.5316787347313948,0.21961371608485933
3,30,-569608.3677216002,1.623100436339155,0.6230501391575672
4,40,-569616.8028092956,3.286602387065068,1.30439217693056
5,50,-569633.6670688165,5.167825758588151,2.2320000511725087
6,60,-569661.079730086,6.992778381396783,3.331514158814389
7,70,-569700.3090221015,8.630696954685847,4.530724044503586
8,80,-569751.9751734191,10.050547018577344,5.775361587070802
9,90,-569816.2692436989,11.271505418451854,7.0297155212014335
10,100,-569893.1233518451,12.32904322387185,8.272362427864573
11,110,-569982.3250449339,13.257902418859885,9.49144651718816
12,120,-570083.5877031665,14.08603573426372,10.680996600912477
13,130,-570196.5914004194,14.833937970842818,11.838450832308446
14,140,-570321.0055069355,15.515978507330864,12.963128997657623
15,150,-570456.5006419689,16.142118433097483,14.055341701641737
16,160,-570602.7546778683,16.71938069062307,15.115892962660292
17,170,-570759.4555326734,17.252921932764014,16.145812489617676
18,180,-570926.3023005277,17.746744000702165,17.1462164811237
19,190,-571103.0055338079,18.204144650982926,18.11823803043808
20,200,-571289.2871320775,18.627982006873935,19.062994018793688
21,210,-571484.8800499971,19.02082188202183,19.98157028044225
22,220,-571689.5279276411,19.385026390099696,20.875015773512132
23,230,-571902.9847031045,19.722793241683384,21.744340929924512
24,240,-572125.0142257321,20.03616889652328,22.59051749008795
25,250,-572355.3898661974,20.32706608959418,23.41447899722407
26,260,-572593.8941386506,20.597270933148675,24.217121683114968
27,270,-572840.3183350336,20.84843933946684,24.999305257204107
28,280,-573094.4621606971,21.082105591299488,25.76185363846744
29,290,-573356.133380669,21.299688446547965,26.50555581743975
30,300,-573625.1474764454,21.502492435101885,27.231166699057216
31,310,-573901.3273069204,21.691718283601244,27.939407996904635
32,320,-574184.5027821072,21.868464633449946,28.630969180731334
33,330,-574474.5105470861,22.03373700452208,29.306508440697506
34,340,-574771.1936685608,22.188462489272897,29.966653859725916
35,350,-575074.4013472573,22.333480632994934,30.61200450201431
36,360,-575383.9886285312,22.469556923490018,31.24313140483573
37,370,-575699.8161252948,22.597400447531243,31.860578860646637
38,380,-576021.749762861,22.717650302650913,32.4648655883153
39,390,-576349.6605254377,22.830889033258455,33.05648574522056
40,400,-576683.424213299,22.937657974660368,33.63591017545841
41,410,-577022.921222025,23.038443530042365,34.20358752855682
42,420,-577368.0363217115,23.133692676841747,34.7599452602677
43,430,-577718.6584488854,23.22381431198158,35.305390716028334
44,440,-578074.6805183877,23.30918581850122,35.840312180067116
45,450,-578435.9992239431,23.390155335204295,36.365079906476595
46,460,-578802.5148839898,23.46702609352664,36.88004689189401
47,470,-579174.1312481876,23.540084578175414,37.38554969415854
48,480,-579550.7553592385,23.609611857030472,37.88190958268533
49,490,-579932.2973869668,23.675848307056143,38.369433328376914
50,500,-580318.6705110347,23.739004567469202,38.84841366289912
51,510,-580709.7907488537,23.79930752748318,39.3191302529609
52,520,-581105.5768664848,23.85693055840686,39.7818503604096
53,530,-581505.9502342916,23.912058131661766,40.236829377543486
54,540,-581910.8347069799,23.964859703084144,40.684311680718395
55,550,-582320.1565560553,24.01544941905005,41.124530797266935
56,560,-582733.8442954032,24.064014437654947,41.55771033647761
57,570,-583151.8286592147,24.110668225350633,41.98406469793845
58,580,-583574.0424655677,24.155501885100925,42.4037988728509
59,590,-584000.4205295497,24.198665586617384,42.817109395242014
60,600,-584430.8996025495,24.24023165035777,43.22418476283639
61,610,-584865.4182748587,24.280312901025216,43.62520565146116
62,620,-585303.9168939649,24.31900854873225,44.02034564634961
63,630,-585746.3375368242,24.35635035893656,44.409771050961005
64,640,-586192.6238683149,24.39248660281305,44.79364172047354
65,650,-586642.7211482238,24.427452883013615,45.1721115057735
66,660,-587096.5761467917,24.461256637237966,45.545327539771094
67,670,-587554.1370383208,24.494088713391296,45.91343179686955
68,680,-588015.353429291,24.52595701143136,46.27656142288761
69,690,-588480.176264963,24.556795117340467,46.634847132794675
70,700,-588948.5577453265,24.586800818419047,46.98841492934589
71,710,-589420.4513148617,24.616072057327205,47.33738755531377
72,720,-589895.8116618297,24.644489995110572,47.6818824670685
73,730,-590374.5945743701,24.67215024838234,48.02201208916958
74,740,-590856.7569616635,24.699133870372425,48.35788545930263
75,750,-591342.256820316,24.725424933640117,48.68960766519157
76,760,-591831.0531446704,24.751110713882426,49.017280086112436
77,770,-592323.1059595598,24.776189009626865,49.34100068502739
78,780,-592818.3762280531,24.800710321491355,49.660863941562994
79,790,-593316.8258463411,24.824755150565817,49.97696155736484
80,800,-593818.4176244212,24.84825841919502,50.28938187596941
81,810,-594323.1152294012,24.871247572681693,50.598209710673835
82,820,-594830.8831499988,24.893808413308754,50.90352744497359
83,830,-595341.686710028,24.915926865904535,51.20541490466422
84,840,-595855.4919967537,24.937582543096326,51.503948840967496
85,850,-596372.2658662528,24.95889036031434,51.799203834414946
86,860,-596891.9758828148,24.97998883348191,52.09125332975236
87,870,-597414.5903826472,25.000621513687594,52.38016755580757
88,880,-597940.0783683334,25.020732137048867,52.666012539423534
89,890,-598468.4094376686,25.040684384218437,52.94885379236075
90,900,-598999.5539139142,25.060465345100837,53.22875660199206
91,910,-599533.4827328627,25.079842124291204,53.50578273981809
92,920,-600070.1674440929,25.098845143290106,53.77999083725443
93,930,-600609.580134485,25.117734801067854,54.05143918928951
94,940,-601151.6935156382,25.136475724721095,54.32018543235171
95,950,-601696.4808629035,25.154747493026797,54.58628349831996
96,960,-602243.9159598324,25.17278577480465,54.84978516542178
97,970,-602793.9730639507,25.19093575174643,55.1107436089529
98,980,-603346.627064766,25.20862861908418,55.36920924537844
99,990,-603901.8532797408,25.226002874600606,55.62522875243885
100,1000,-604459.6274058707,25.243687940237436,55.878851247062265
101,1010,-605019.9258199247,25.260961889778407,56.13012395354453
102,1020,-605582.7252221515,25.277850673586435,56.379089253039275
103,1030,-606148.0027014511,25.29486062838674,56.625790871327624
104,1040,-606715.7359210494,25.311639391141796,56.87027203089819
105,1050,-607285.9028298234,25.328186515558926,57.112573016872915
106,1060,-607858.4818658669,25.344767290656605,57.35273421795864
107,1070,-608433.4517911541,25.361284377658436,57.59079568172747
108,1080,-609010.791873813,25.37743310026103,57.82679447259434
