,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-689597.0331906314,-0.0,0.0
1,10,-689597.0856262596,0.02965793073817622,0.01482896536908811
2,20,-689597.3716797238,0.18574796093744225,0.07609492097253678
3,30,-689598.3768147454,0.6355708567192777,0.22846038732677695
4,40,-689601.425128035,1.4472115711541846,0.5152903098409296
5,50,-689608.1422813208,2.501773123425665,0.9463690685777691
6,60,-689619.9506920577,3.6496270263043695,1.5006819664456996
7,70,-689637.9219328836,4.796913590782788,2.1474542370269774
8,80,-689662.8071029225,5.901360996533185,2.8589259843662145
9,90,-689695.1125192508,6.949900884254021,3.6138666513303175
10,100,-689735.1703187699,7.942307065648493,4.397087609293521
11,110,-689783.1915539926,8.882527571613899,5.197954215831123
12,120,-689839.3027628799,9.774865916243288,6.008991548929771
13,130,-689903.5706889947,10.622548839831143,6.824837199535978
14,140,-689976.0180933774,11.427715871017433,7.641529479977908
15,150,-690056.6345896579,12.191700972151008,8.456052222062135
16,160,-690145.3840406492,12.915363902319214,9.266047376414644
17,170,-690242.2096929135,13.599510776597894,10.069638109438529
18,180,-690347.0383976768,14.24497893399094,10.865317579792464
19,190,-690459.7836450551,14.852776785535395,11.651873986057764
20,200,-690580.3482634466,15.424128375889268,12.42833974244277
21,210,-690708.6266009558,15.960426864199691,13.193953115273327
22,220,-690844.5063859682,16.463254402618617,13.94812815149344
23,230,-690987.8703699312,16.93428332811453,14.690429618369674
24,240,-691138.5976983127,17.375218310672807,15.420549927264801
25,250,-691296.5650664337,17.787846793144112,16.13829057793337
26,260,-691461.6477078417,18.173924213787522,16.84354605636909
27,270,-691633.7203178053,18.535146545045446,17.536288053479804
28,280,-691812.6576007765,18.873204870906193,18.21655302356958
29,290,-691998.3350455399,19.189661476691274,18.884430771478222
30,300,-692190.6292149555,19.48603428178469,19.540054241864713
31,310,-692389.418271863,19.76378699861813,20.183592237936686
32,320,-692594.5822081768,20.024224364850625,20.815241501679704
33,330,-692806.0031588295,20.26855612443179,21.435219342599158
34,340,-693023.5654818543,20.498014536057635,22.043760068053963
35,350,-693247.1559926135,20.713712345692315,22.641111634657136
36,360,-693476.6640667506,20.916532217629694,23.227529202935692
37,370,-693711.9816405069,21.107452237690435,23.803272435897085
38,380,-693953.0032429998,21.2874037939182,24.368605695287986
39,390,-694199.6261556842,21.457104434954857,24.923794196128437
40,400,-694451.7502127163,21.617316430550986,25.469101734009747
41,410,-694709.2779574615,21.768686664290726,26.004789977980547
42,420,-694972.1144988633,21.91180801246669,26.53111662386073
43,430,-695240.167502326,22.04734755028617,27.048335987550676
44,440,-695513.3471735937,22.17580843889153,27.556698317118574
45,450,-695791.5662077023,22.297600224454087,28.05644725389284
46,460,-696074.7396741776,22.413204264460397,28.547820152981153
47,470,-696362.785002167,22.523114845971577,29.031049543208795
48,480,-696655.6219176002,22.627667553909106,29.50636201830639
49,490,-696953.1724050113,22.727145224929007,29.973976533811946
50,500,-697255.360550651,22.821941357251507,30.4341055925368
51,510,-697562.1125794677,22.91239036654004,30.886956284212648
52,520,-697873.3567367876,22.998730590962786,31.3327292026137
53,530,-698189.0232561724,23.08121921900318,31.77161819403409
54,540,-698509.044254148,23.160111210885244,32.203811019331624
55,550,-698833.353720967,23.235609809314948,32.629489309954806
56,560,-699161.8874094425,23.30793446341991,33.04882868411224
57,570,-699494.5828110774,23.377298281525267,33.46199926183472
58,580,-699831.3790893536,23.443861213926034,33.86916553369229
59,590,-700172.2170227888,23.507783458248014,34.270486289419935
60,600,-700517.0389494123,23.569235964969266,34.66611509301147
61,610,-700865.788714811,23.628356709083718,35.05620044771204
62,620,-701218.4116334476,23.685261590557595,35.44088567682193
63,630,-701574.8544112325,23.74005084989767,35.820308952922645
64,640,-701935.0651314124,23.792976616322903,36.19460468472098
65,650,-702298.9931558127,23.84414734094767,36.56390383254329
66,660,-702666.5892397623,23.893407938786737,36.92833101675351
67,670,-703037.8052218335,23.941008210825238,37.28800592333573
68,680,-703412.5942014084,23.98713422737778,37.64304615068104
69,690,-703790.9104270847,24.03177375816449,37.99356542574969
70,700,-704172.7092420119,24.075009835592986,38.339673069820854
