,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-539495.9487852871,-0.0,0.0
1,10,-539496.2472144584,0.24003101905109364,0.12001550952554682
2,20,-539498.8137255744,1.014397605735576,0.4936304204849876
3,30,-539506.4453135631,2.3239518563583266,1.134555131311936
4,40,-539521.9666179764,3.980654919228982,2.019462305608613
5,50,-539547.6294374192,5.732304405828472,3.090274611095083
6,60,-539584.9260595707,7.397620040026959,4.279973388346844
7,70,-539634.671996522,8.89750054789183,5.531977478436602
8,80,-539697.2029680986,10.224389523477292,6.806537577074778
9,90,-539772.5574158984,11.399535356444545,8.078869442094584
10,100,-539860.6018242438,12.44830805974198,9.334592364884157
11,110,-539961.107436859,13.39156199845019,10.565715131437173
12,120,-540073.793912628,14.244647325016558,11.76794946687878
13,130,-540198.354046905,15.01886412175082,12.93912505882181
14,140,-540334.4681587622,15.722911697835654,14.078306239526137
15,150,-540481.8125465562,16.363976960521537,15.185304698847176
16,160,-540640.0650097474,16.94826592192986,16.260403907591538
17,170,-540808.9083181022,17.481346126590502,17.304194456669215
18,180,-540988.0325255374,17.968321308743914,18.31747173204058
19,190,-541177.1366687696,18.413808479128065,19.30116567574005
20,200,-541375.9296442358,18.822062110702973,20.2562911358531
21,210,-541584.1309320247,19.196953723797915,21.18391301537777
22,220,-541801.4708871555,19.54194151450065,22.085118376555332
23,230,-542027.6908214203,19.860217450032376,22.960997268585203
24,240,-542262.5429328289,20.15458580525592,23.812628330470762
25,250,-542505.7902194246,20.427515028131893,24.641065835309565
26,260,-542757.2059548444,20.681318960495982,25.447333808189434
27,270,-543016.573641474,20.91796687274183,26.23242123740929
28,280,-543283.6863906452,21.139228745666323,26.9972772219131
29,290,-543558.3466440756,21.34669834280794,27.742809972666148
30,300,-543840.3657246542,21.54176400974393,28.469885895980408
31,310,-544129.5633685293,21.725718589778968,29.17933011210698
32,320,-544425.7674106761,21.8996324857697,29.87192668566131
33,330,-544728.8132782602,22.06446901368619,30.548418579822467
34,340,-545038.5436373053,22.22113634413689,31.209510133219013
35,350,-545354.8079989167,22.370424436696375,31.85586904199736
36,360,-545677.4623772805,22.5130165305803,32.48812731909711
37,370,-546006.3689189295,22.649523606855603,33.106882747579945
38,380,-546341.3955800674,22.780514315917443,33.7127010003358
39,390,-546682.4158104091,22.906454375095144,34.306117101744164
40,400,-547029.308271608,23.027792181353988,34.88763699599949
41,410,-547381.9565012478,23.14500755172351,35.457740587921585
42,420,-547740.2487553299,23.258360638772167,36.016882023276416
43,430,-548104.077687259,23.36821099682414,36.56549065266009
44,440,-548473.3400587077,23.474860019423005,37.10397380929208
45,450,-548847.9367439648,23.578290675432072,37.632714589744864
