,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-557657.9988963872,-0.0,0.0
1,10,-557658.277405277,0.16614376864745284,0.08307188432372642
2,20,-557660.2010132782,0.6791476839978714,0.3359306896469207
3,30,-557665.4801738026,1.5539767916867275,0.7647137425941765
4,40,-557675.9860838492,2.726331521512475,1.3645013147310237
5,50,-557693.402632884,4.058534729570966,2.1111462278771795
6,60,-557719.0344696353,5.4277493711910205,2.969312148433528
7,70,-557753.793369802,6.7589167949277895,3.9044043670990503
8,80,-557798.2678512294,8.016772551205941,4.888232422615693
9,90,-557852.8064884052,9.18876679567038,5.899767751269975
10,100,-557917.5850955795,10.272880185046231,6.923898804726196
11,110,-557992.6585705448,11.271405144294844,7.949879411446455
12,120,-558077.9938606698,12.188300952385184,8.970061881930452
13,130,-558173.4975804818,13.027628690600977,9.978970396892691
14,140,-558279.0302956013,13.794170140498313,10.97268197242811
15,150,-558394.4216017745,14.49295243385131,11.948429320479045
16,160,-558519.47864522,15.129094778466978,12.904311946767848
17,170,-558653.9934962242,15.70828861107293,13.83910464715591
18,180,-558797.7497317849,16.235263396287337,14.752092674502638
19,190,-558950.5260697587,16.71470994430711,15.642933001296479
20,200,-559112.0991814526,17.15145422070055,16.511580144822073
21,210,-559282.2475063339,17.549564033903895,17.358213263051585
22,220,-559460.7515395618,17.913409934384966,18.183182978817786
23,230,-559647.396683926,18.246173176993008,18.986961870502274
24,240,-559841.9737339152,18.550551492813966,19.770087631899514
25,250,-560044.2783366085,18.830353021257906,20.53316451509163
26,260,-560254.1135140901,19.087753156566787,21.276843751604613
27,270,-560471.2885541251,19.324692005157715,22.001780594454615
28,280,-560695.6190683519,19.543729403230827,22.70864042913163
29,290,-560926.9279449827,19.74635657053149,23.39809002067632
30,300,-561165.044236047,19.934403344319414,24.07078450004483
31,310,-561409.8036897306,20.10939283897754,24.727369601573447
32,320,-561661.0486082011,20.272298018541164,25.36846930390311
33,330,-561918.6270381417,20.424721157475105,25.994689432525774
34,340,-562182.3933528784,20.567270192399167,26.60661476037931
35,350,-562452.2076243195,20.70083750794586,27.204800866263398
36,360,-562727.9348860173,20.826897486532133,27.789789581467634
37,370,-563009.4463105063,20.94571546805087,28.362102255586073
38,380,-563296.6174163636,21.057925489771865,28.92223043158447
39,390,-563589.3290134154,21.164103960534003,29.470643064715844
40,400,-563887.4661840674,21.26492489175874,30.007789292023517
41,410,-564190.9184896173,21.361103668110445,30.53410211741575
42,420,-564499.579876663,21.452701348427173,31.049992683427988
43,430,-564813.3480669588,21.540227338927767,31.555849744949953
44,440,-565132.1247134,21.624137486342853,32.05204633977701
45,450,-565455.8150650808,21.70481623031092,32.53893979963032
46,460,-565784.3278569428,21.7825388294644,33.01687115081877
47,470,-566117.5752331852,21.8573400282388,33.48616277114343
48,480,-566455.4723385981,21.929626184049994,33.94712127114472
49,490,-566797.937392803,21.999762981684658,34.4000422545927
50,500,-567144.8915087401,22.067875660577663,34.845208388562604
51,510,-567496.25854261,22.13420083108078,35.28288911410054
52,520,-567851.9649794106,22.198892018606273,35.713341967827
53,530,-568211.9398499315,22.262090422204384,36.13681257358548
54,540,-568576.1145208647,22.323869919026038,36.55353479379991
55,550,-568944.4227349302,22.384500022380962,36.96373274779907
56,560,-569316.8002622587,22.444278004486193,37.36762354187377
57,570,-569693.1852563088,22.503098660468822,37.76541448348435
58,580,-570073.5176307989,22.560968142008683,38.15730119044165
59,590,-570457.7394258701,22.61822824823595,38.54347219552292
60,600,-570845.7942877128,22.67500950250529,38.92411050845257
61,610,-571237.6279874642,22.73140184876992,39.29939188694697
62,620,-571633.1876176284,22.787468488997547,39.66948476008983
63,630,-572032.4223863361,22.843297518850797,40.03455067931354
64,640,-572435.2825401175,22.898825760744558,40.39474376762373
65,650,-572841.7204661724,22.95376438013054,40.750208262188245
66,660,-573251.6892287071,23.00900884644943,41.10108635357611
67,670,-573665.1439394734,23.065224212716522,41.44752556555614
68,680,-574082.040771143,23.12089622343187,41.78966069433518
69,690,-574502.3376958865,23.17576470626794,42.12760760817182
70,700,-574925.9928407692,23.232139091560384,42.461491782784286
71,710,-575352.9666782162,23.289589986635942,42.79144683052728
72,720,-575783.2204184477,23.345983352442374,43.11758291200822
73,730,-576216.7165563131,23.401012297050325,43.439988702544355
74,740,-576653.4179868776,23.46020812802022,43.758784528472454
75,750,-577093.2889069015,23.52177104155988,44.07411125520011
76,760,-577536.2967488902,23.57878440858336,44.38604664377926
77,770,-577982.4062020454,23.63680996869516,44.694656004432176
78,780,-578431.5853974336,23.69797879990074,45.00005190396186
79,790,-578883.8023595107,23.760789854903123,45.30234677039115
80,800,-579339.026855618,23.823692418401947,45.60162959392328
81,810,-579797.2292966493,23.885459457017944,45.897968779297656
82,820,-580258.3801600116,23.95047206548619,46.19144935087097
83,830,-580722.4515224088,24.017648714449024,46.482173445494844
84,840,-581189.4166215103,24.082194221648507,46.77020447048126
85,850,-581659.248518633,24.148366625304334,47.0556000801007
86,860,-582131.9207945431,24.21817890497629,47.338452661270274
87,870,-582607.4094520926,24.288925668073105,47.618847553824885
88,880,-583085.6892368341,24.361945070209913,47.89685922309727
89,890,-583566.7377076985,24.4359312655377,48.17255987826939
90,900,-584050.5312905206,24.509840184822487,48.4460061698017
91,910,-584537.0484043226,24.583619944305845,48.71724678346509
92,920,-585026.2666065114,24.66082600699731,48.98634784662281
93,930,-585518.1650877354,24.745210227195837,49.25341283958406
94,940,-586012.7240207662,24.82573506881024,49.51850338652731
95,950,-586509.9248723212,24.904746787506156,49.781632783479296
96,960,-587009.7455776035,24.99317285427844,50.042883173433076
97,970,-587512.1708660807,25.080017305101432,50.3023343884328
98,980,-588017.1809564633,25.16641662560869,50.56001291297435
99,990,-588524.7591350175,25.26382356468821,50.81600806630741
100,1000,-589034.8883421092,25.355313043110073,51.07037970003149
101,1010,-589547.555009435,25.4434362584434,51.32311387048686
102,1020,-590062.7378529722,25.54774517752805,51.57430552071456
103,1030,-590580.4274922718,25.651328358755563,51.824060577152714
104,1040,-591100.6060874343,25.75423458451405,52.07240002410545
105,1050,-591623.2616560245,25.85565280208524,52.31934061580833
106,1060,-592148.3797967366,25.954168890946086,52.56488809696603
107,1070,-592675.9455922733,26.072371925346822,52.80914693559317
108,1080,-593205.9475320355,26.196477857139115,53.05226043934236
109,1090,-593738.3762096156,26.310618289615377,53.2942313390071
110,1100,-594273.2176665408,26.435495812300438,53.53508359319385
111,1110,-594810.4620997248,26.551355786502324,53.77484563953622
112,1120,-595350.1007086141,26.659292001416986,54.01346103771212
