,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-597310.698624907,-0.0,0.0
1,10,-597310.9521310232,0.13984735916310456,0.06992367958155228
2,20,-597312.6302938651,0.5654427798697725,0.28120805413054767
3,30,-597317.0530376221,1.3114922382199439,0.6411507888013148
4,40,-597325.8708184207,2.3484635559027085,1.1532907729924773
5,50,-597340.6405073974,3.5481795162631906,1.8016666691066348
6,60,-597362.5959785352,4.792369296611287,2.5558487287838947
7,70,-597392.6134133027,6.0093460852425755,3.384451842923591
8,80,-597431.2702672939,7.168302885140291,4.261709779333614
9,90,-597478.9254396951,8.261453819047896,5.1686983662686545
10,100,-597535.7860704783,9.289848637854448,6.092160454775149
11,110,-597601.9550386167,10.256193899881325,7.022843518480659
12,120,-597677.461268214,11.162838773801923,7.954152432535194
13,130,-597762.2798880832,12.011337951142918,8.88124525135936
14,140,-597856.3459285292,12.802719074155902,9.80045975487592
15,150,-597959.5627004764,13.538422828933108,10.708980482774496
16,160,-598071.809786199,14.220398799935353,11.604648706236912
17,170,-598192.9479737467,14.850900479842686,12.485827359318499
18,180,-598322.8246408687,15.432583831564992,13.351301434112246
19,190,-598461.2765422637,15.96847037275729,14.20020722286863
20,200,-598608.1341262752,16.461672449775513,15.031971938659261
21,210,-598763.2229431444,16.91525895365922,15.846258010705059
22,220,-598926.3669565812,17.33216669696848,16.642915150983026
23,230,-599097.3888848892,17.71560910535046,17.421949967532417
24,240,-599276.1128172454,18.068362008430995,18.183496113114234
25,250,-599462.3645815998,18.392893513737363,18.92777819189796
26,260,-599655.9726145903,18.69212911399084,19.65510008359561
27,270,-599856.7689079324,18.96816613874688,20.365826440921232
28,280,-600064.589533649,19.222580817865634,21.060349148571554
29,290,-600279.2742211373,19.457574083763724,21.73908493555646
30,300,-600500.6672824476,19.67511364739039,22.402478911583604
31,310,-600728.6175675611,19.87685591870687,23.050991922675166
32,320,-600962.9785161093,20.064053341373835,23.685087206435856
33,330,-601203.608470009,20.23738982389334,24.30521515843866
34,340,-601450.3698164477,20.398813249857643,24.911824824774524
35,350,-601703.1295419405,20.549577791898628,25.50537276959367
36,360,-601961.7597206095,20.68952962558251,26.086292744753884
37,370,-602226.1358456342,20.82035571137095,26.655003481148743
38,380,-602496.137991022,20.943146928655874,27.211927362155983
39,390,-602771.6506419887,21.057566822867347,27.757463890322832
40,400,-603052.561679254,21.16507040732543,28.291996075835776
41,410,-603338.762942777,21.266333469521516,28.81590498604346
42,420,-603630.1504378935,21.360985176963702,29.329547958742477
43,430,-603926.6228859746,21.450212810008058,29.83326648051152
44,440,-604228.0829919395,21.534629228024293,30.327399255470663
45,450,-604534.436515507,21.61425600857181,30.81226935133891
46,460,-604845.5924816474,21.689404565835122,31.28818214888888
47,470,-605161.4628170471,21.760360533342546,31.755429743506827
48,480,-605481.9623231516,21.82796242358168,32.214297549249025
49,490,-605807.0085743603,21.89223799828895,32.66506234148401
50,500,-606136.5221333422,21.952789036295073,33.10798041550297
51,510,-606470.4255463659,22.01046207813488,33.5432971497692
52,520,-606808.6441747618,22.06577186094364,33.97125687695079
53,530,-607151.1056258838,22.11895370784623,34.39209713483142
54,540,-607497.7398868437,22.168891641689697,34.80603402463457
55,550,-607848.4792553699,22.216377039061665,35.21326860382687
56,560,-608203.2570001417,22.263000676129053,35.614012459569494
57,570,-608562.0102499753,22.30726782400747,36.00846703925053
58,580,-608924.6762567797,22.34964174021156,36.39681415252707
59,590,-609291.195467615,22.39050637147148,36.779233531869245
60,600,-609661.5090594455,22.42944307916332,37.15589561152446
61,610,-610035.5606895745,22.467232205628534,37.52696527821389
62,620,-610413.294824164,22.50415224972526,37.892608018031744
63,630,-610794.6585228163,22.538994515958027,38.252974025676664
64,640,-611179.5993967856,22.572930164262743,38.60820595144178
65,650,-611568.0668287666,22.606496895052075,38.95845309831202
66,660,-611960.0120507599,22.638545418041755,39.30385336022882
67,670,-612355.3868251139,22.6694512426826,39.644532501457434
68,680,-612754.1450352905,22.699814975913473,39.98061791496584
69,690,-613156.2408222031,22.72935416666723,40.31223378417635
70,700,-613561.6308521599,22.757294894690855,40.639491355542845
71,710,-613970.2712564904,22.785881518689038,40.96250741629046
72,720,-614382.1208375406,22.81404478226338,41.281402237190925
73,730,-614797.1388071262,22.839530888662505,41.596268246807455
74,740,-615215.2852922447,22.865597748762177,41.90720067196672
75,750,-615636.5211692079,22.892149024555586,42.21431228088332
76,760,-616060.8095295158,22.916342933825163,42.51769202175201
77,770,-616488.112677436,22.94055208041391,42.81742205968913
78,780,-616918.3949999099,22.965762589790337,43.11360311044555
79,790,-617351.621355576,22.989708686465747,43.40632402266056
80,800,-617787.7577844526,23.012866146629847,43.695658921434365
81,810,-618226.7703925446,23.035492201007028,43.98168373115331
82,820,-618668.6270020687,23.057871487643453,44.2644749048195
83,830,-619113.2949812174,23.081188883774853,44.54411498871195
84,840,-619560.7439618738,23.103850071772527,44.82068121233459
85,850,-620010.9430344125,23.124841183424056,45.094232606978025
86,860,-620463.8627550465,23.145662876206977,45.36482889194738
87,870,-620919.4733658115,23.16796393967828,45.63254591741132
88,880,-621377.7469728127,23.189431584533054,45.897453269458495
89,890,-621838.6556346541,23.21021727483888,46.159605882533654
90,900,-622302.1718412992,23.23160563016433,46.41906483732892
91,910,-622768.2694618225,23.252013996685726,46.67588763171516
92,920,-623236.9218678435,23.27259455710889,46.930127442536474
93,930,-623708.1039544839,23.292651828867648,47.18183824560256
94,940,-624181.7904137605,23.312531663331768,47.431070384506896
95,950,-624657.9567920179,23.333518719882704,47.677881205765885
96,960,-625136.5791859172,23.35393714187694,47.92232428830903
97,970,-625617.634269013,23.373261022436644,48.16444010450941
98,980,-626101.0987652163,23.392263217863814,48.40426911315298
99,990,-626586.9502041616,23.41293974207954,48.641864565291314
100,1000,-627075.1662070533,23.43429575732472,48.87728321449248
101,1010,-627565.7259129434,23.452414502736136,49.110555755173834
102,1020,-628058.6073671933,23.470625802251526,49.34170890433451
103,1030,-628553.7897066767,23.49115119035974,49.570795706116755
104,1040,-629051.2526943146,23.51185497620631,49.79786818494176
105,1050,-629550.9762775714,23.53184103082473,50.022962335111515
106,1060,-630052.9410425805,23.550975352577872,50.24610822735267
107,1070,-630557.127359335,23.568760820434317,50.46733213008993
108,1080,-631063.5165513569,23.587229893309996,50.68666666484205
109,1090,-631572.0891928071,23.60824614465842,50.904161510322595
110,1100,-632082.8280712048,23.627597182290785,51.119854386418595
111,1110,-632595.7146028461,23.646695873339116,51.33376920350711
112,1120,-633110.7314445736,23.667914590984424,51.545946184580686
113,1130,-633627.8613447313,23.68611541541484,51.75641233799834
114,1140,-634147.087644582,23.70273579595402,51.96517752594664
115,1150,-634668.3925522503,23.724012313221383,52.172284773095456
116,1160,-635191.7605939925,23.744294440490194,52.37777874944441
117,1170,-635717.1755901391,23.761155474028783,52.58166824563232
118,1180,-636244.6212311412,23.781575800955594,52.78398103408109
119,1190,-636774.0820999849,23.802294781472217,52.984760065007144
120,1200,-637305.5434194087,23.820113603258335,53.184020180293004
121,1210,-637838.9893811857,23.83834417058379,53.38177620806381
122,1220,-638374.4056455441,23.85832435153442,53.57806178032187
123,1230,-638911.7771067405,23.87895996483849,53.77291074110252
124,1240,-639451.0902731061,23.89716593724434,53.966339224118556
125,1250,-639992.330347731,23.915079892322222,54.158359083757375
126,1260,-640535.4836638737,23.93442990419016,54.34899729977187
127,1270,-641080.536414287,23.95529123050228,54.538287366415894
128,1280,-641627.475286357,23.974400657787555,54.72624953918421
129,1290,-642176.287454459,23.990905503908014,54.9128875475828
130,1300,-642726.9589090458,24.01176101402971,55.09822848038893
131,1310,-643279.4775350973,24.032966017164476,55.28231028529408
132,1320,-643833.8307658928,24.04988243370308,55.46513720274379
133,1330,-644390.0059259698,24.068399138050154,55.6467179457919
134,1340,-644947.9904659014,24.08940421648478,55.82708648594708
135,1350,-645507.7729331244,24.108081603786268,56.006261513700885
136,1360,-646069.3410328404,24.125423689558716,56.184247115449395
137,1370,-646632.6830755691,24.144797714939536,56.36106322576234
138,1380,-647197.7873126293,24.164876628946804,56.53673682628141
139,1390,-647764.6427939889,24.18354432165205,56.711281893735574
140,1400,-648333.2379044845,24.202479886589572,56.884710488526615
141,1410,-648903.5618057387,24.221373569226426,57.05703931232856
142,1420,-649475.603490593,24.23962892955751,57.22828151405411
143,1430,-650049.3521291394,24.258817983523375,57.398453362044535
144,1440,-650624.7971411888,24.279041973128813,57.56757663301833
145,1450,-651201.928135892,24.297789457530392,57.735664342979724
146,1460,-651780.7349701104,24.31550284926759,57.9027220938995
147,1470,-652361.2069811157,24.33488157526881,58.06876606996957
148,1480,-652943.3345806345,24.351638883270894,58.23380682628922
149,1490,-653527.1075628225,24.369192060988382,58.39785168885574
150,1500,-654112.5157151811,24.390618215839236,58.56092956186039
151,1510,-654699.5502095121,24.408876420339006,58.72305571668694
152,1520,-655288.2010145853,24.42701313074213,58.884231827671464
153,1530,-655878.4587837303,24.445808455255314,59.044472107474576
154,1540,-656470.3144753397,24.46247935378902,59.20378400466579
155,1550,-657063.7584189825,24.48200516749024,59.36218184914905
156,1560,-657658.7818268354,24.502109421451816,59.5196884613586
157,1570,-658255.3759910521,24.51845086136018,59.67630510176241
158,1580,-658853.5317704903,24.535533431679227,59.8320334333126
159,1590,-659453.2403021947,24.555596384898283,59.986896383007114
160,1600,-660054.4932415964,24.572767043951558,60.140905136575746
161,1610,-660657.2821218618,24.588898705362226,60.29405807304574
162,1620,-661261.5979044634,24.60797376518638,60.44637164881569
163,1630,-661867.4329846855,24.625848674506415,60.59786159823998
164,1640,-662474.7786102354,24.644251109531382,60.74853592327126
165,1650,-663083.6270005582,24.66174686231499,60.89840340144001
166,1660,-663693.970108961,24.677111511124295,61.04746461681934
167,1670,-664305.7996217308,24.695875922150908,61.195733014219144
168,1680,-664919.1078996169,24.715015700552613,61.34322935683594
169,1690,-665533.887422765,24.730426806633957,61.48995289439772
170,1700,-666150.1302178206,24.746885313739888,61.635904794417726
171,1710,-666767.8285792564,24.763886804989063,61.78109877696843
172,1720,-667386.9753325687,24.780532257247373,61.92554423369438
173,1730,-668007.5624578075,24.799923587922486,62.069256744408634
174,1740,-668629.5833617953,24.816075989784316,62.21224338733155
175,1750,-669253.0304227372,24.830730825051184,62.35449889573501
176,1760,-669877.896236077,24.848001961084208,62.49603475561162
177,1770,-670504.1739832842,24.86483838298907,62.63686532672291
178,1780,-671131.8563835316,24.881970466201892,62.77699815863889
179,1790,-671760.936716347,24.897905541731816,62.916438556289364
180,1800,-672391.4079850236,24.912582722841634,63.05518739714753
181,1810,-673023.2632271845,24.928728985943856,63.19325290804845
182,1820,-673656.4957160095,24.94566178373656,63.330648838142224
183,1830,-674291.0988494002,24.9605238178655,63.46737902851746
184,1840,-674927.0660100249,24.97628664355699,63.60344752516539
185,1850,-675564.3903238164,24.992632808498456,63.73886552554468
186,1860,-676203.0659315714,25.006839149189446,63.87363586766878
187,1870,-676843.0856107319,25.023381992109087,64.00776599203527
188,1880,-677484.4436679888,25.038774984573877,64.14126591717795
189,1890,-678127.1334927258,25.052608081018462,64.27413514479413
190,1900,-678771.148803339,25.069005333061796,64.40638295241516
191,1910,-679416.4835139961,25.08411640331215,64.53801924526779
192,1920,-680063.1316240225,25.096868690103292,64.66904090033495
193,1930,-680711.0867533614,25.11018562523268,64.79944962358131
194,1940,-681360.3429590164,25.126157667890595,64.9292600562665
195,1950,-682010.8941762759,25.142605061643657,65.05848641269259
196,1960,-682662.7349450759,25.155273786174973,65.18712624760083
197,1970,-683315.859056639,25.167815708671696,65.31517556924663
