,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-510575.4099185354,-0.0,0.0
1,10,-510575.57103584165,0.21782749124831752,0.10891374562415876
2,20,-510577.3623657395,1.1152488993422593,0.49663971608388235
3,30,-510584.6063701041,2.8266076807980425,1.2465532210524541
4,40,-510601.6197909304,4.943130844889675,2.3355458567966707
5,50,-510631.32980677724,7.018516773408918,3.655288889748772
6,60,-510675.30852457025,8.866525037572137,5.096017653554009
7,70,-510734.2013776376,10.458024302145349,6.581896475885879
8,80,-510808.10742512724,11.826513568568046,8.068055309788907
9,90,-510896.8330873674,13.016820904909402,9.530369124763821
10,100,-511000.03889352706,14.065794062757044,10.956815544841085
11,110,-511117.31733445235,14.99959064358845,12.341904822687503
12,120,-511248.2335381779,15.836183943907967,13.683545395058902
13,130,-511392.345547514,16.58844016707589,14.981403322224653
14,140,-511549.2154626418,17.266224910938767,16.236071141403954
15,150,-511718.41511493584,17.877611522359082,17.448642415158975
16,160,-511899.5294582798,18.42966971676796,18.62048997788661
17,170,-512092.158313084,18.9287048686354,19.753143770319003
18,180,-512295.9176282097,19.380250581807935,20.848210678041507
19,190,-512510.4396403348,19.789363112830316,21.90732368547615
20,200,-512735.3730216547,20.160747212008552,22.9321150792719
21,210,-512970.3827846653,20.49850667521386,23.9241934423153
22,220,-513215.1499095238,20.80618950045902,24.885121068250736
23,230,-513469.3707036152,21.087083565015938,25.81640387155203
24,240,-513732.7562328482,21.344186890753917,26.71948929188511
25,250,-514005.03181137383,21.5800496804877,27.595760845718907
26,260,-514285.9362009906,21.796872942781192,28.446532472843685
27,270,-514575.22099862125,21.996673884664798,29.273048919037684
28,280,-514872.64981981413,22.181263932102603,30.07648873050421
29,290,-515177.997850883,22.352152496912467,30.857964668893693
30,300,-515491.0509585407,22.510733378614542,31.618525498139206
31,310,-515811.6052583129,22.658281800096972,32.359160545848866
32,320,-516139.46640843875,22.795883413869888,33.080802382256664
33,330,-516474.4491583881,22.924431688823187,33.78432793467146
34,340,-516816.37671260413,23.04475889668104,34.47056132193102
35,350,-517165.0802483891,23.15769468507632,35.14027904490431
36,360,-517520.39849782444,23.26391257005162,35.79421315149739
37,370,-517882.1772751731,23.36398052507435,36.433052514858716
38,380,-518250.26907478925,23.458430199161995,37.05744553666591
39,390,-518624.53265928145,23.547753302677357,37.66800336502929
40,400,-519004.8327361742,23.632379455666523,38.26530238133637
41,410,-519391.03958523873,23.712698491576855,38.84988637442948
42,420,-519783.0287770149,23.78904166033614,39.42226850123552
43,430,-520180.6808511878,23.86176569521922,39.982933769949156
44,440,-520583.8810480082,23.931116189737835,40.53234066391014
45,450,-520992.51910848124,23.997273174747438,41.070921534674554
46,460,-521406.48887917405,24.06055883218641,41.599085716676186
47,470,-521825.68827526335,24.121194396796703,42.11722198109927
48,480,-522250.01893541135,24.179332976625403,42.62569848396888
49,490,-522679.38611812785,24.235142396920093,43.12486390720588
50,500,-523113.69843579584,24.28878766222624,43.615049155225286
51,510,-523552.8677507041,24.34042817806767,44.09656868065213
52,520,-523996.8089663101,24.390063270693645,44.569720168598
53,530,-524445.4399151847,24.437948939834314,45.03478669585093
54,540,-524898.6810839557,24.484353358461483,45.49204035950389
55,550,-525356.4558147143,24.52897406062414,45.9417380083236
56,560,-525818.6897596446,24.571991202794095,46.38412146019837
57,570,-526285.3109681061,24.614003759439058,46.81942655247404
58,580,-526756.2498576212,24.654448771616444,47.247877217632784
59,590,-527231.4391065923,24.693337913949094,47.66968114465418
60,600,-527710.8130237161,24.73172260564752,48.085044408576515
61,610,-528194.3084911219,24.76857022526383,48.494163164377106
62,620,-528681.8640048815,24.803942171181376,48.89721602350038
63,630,-529173.419561045,24.838787893511427,49.294381052453545
64,640,-529668.9175293831,24.872854038328114,49.68583346187806
65,650,-530168.3012899482,24.906054776729434,50.07173767079657
66,660,-530671.5165876587,24.937591220164904,50.452243853147955
67,670,-531178.5098217909,24.968323891702944,50.82749577406648
68,680,-531689.2293375828,24.998945052234873,51.197642321820595
69,690,-532203.6248156584,25.02846646654075,51.5628237932964
70,700,-532721.6473493024,25.05735264372202,51.9231705826416
71,710,-533243.2490654486,25.08526644337689,52.278808478893176
72,720,-533768.383848247,25.11184750150403,52.62985311470402
73,730,-534297.005859714,25.138680355137275,52.97642368673405
74,740,-534829.0713735813,25.16498598369071,53.31864011797152
75,750,-535364.537273352,25.19014074918227,53.65660807871173
76,760,-535903.3615940419,25.21493469430139,53.990430078624925
