,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-647151.987384315,-0.0,0.0
1,10,-647152.03507382,0.03505612951994408,0.01752806475997204
2,20,-647152.3699560084,0.21864873258164153,0.08971831266535446
3,30,-647153.5326980109,0.7756534236366861,0.2736560664168792
4,40,-647157.1255023534,1.8444971262943,0.6334937778097811
5,50,-647165.3723678503,3.287706992356106,1.1928266178321794
6,60,-647180.3260199614,4.859530689421808,1.9265582078529406
7,70,-647203.5136936285,6.381035317742498,2.7873073356196985
8,80,-647235.9234088322,7.768739071208985,3.728641764551867
9,90,-647278.1180783652,9.00338515418116,4.714376020623604
10,100,-647330.364493059,10.096986530086722,5.719413411249116
11,110,-647392.7375082317,11.071917826274877,6.727531729856856
12,120,-647465.1935234062,11.950532819435466,7.728739589436737
13,130,-647547.6184574664,12.751252513751384,8.717111245903652
14,140,-647639.8576631515,13.48790562292561,9.689254949998576
15,150,-647741.7340298203,14.170387081292578,10.643312101146147
16,160,-647853.0586761051,14.805666329246009,11.578335409978173
17,170,-647973.6373010577,15.398690790025285,12.493915153061973
18,180,-648103.2738548819,15.953114219137943,13.389959884999556
19,190,-648241.7727859187,16.47178892295051,14.266570076193606
20,200,-648388.94039859,16.957082291948602,15.123965263043651
21,210,-648544.5857211438,17.411088715281206,15.962442051658584
22,220,-648708.5211068821,17.835727931617296,16.782349235966105
23,230,-648880.5626348741,18.232814323378268,17.5840722177265
24,240,-649060.5304114135,18.604086129739898,18.368022874198505
25,250,-649248.248790906,18.95120678353126,19.134632137572044
26,260,-649443.5465261611,19.275776279967967,19.88434427862667
27,270,-649646.2568777916,19.579321985694666,20.617612320782793
28,280,-649856.2176813395,19.86329162250039,21.334893993670995
29,290,-650073.2713676189,20.12906317128803,22.03664844308514
30,300,-650297.2649674071,20.37793037452502,22.723333429291962
31,310,-650528.0500825101,20.61110573941256,23.395402791546076
32,320,-650765.4828273074,20.82972826110199,24.053304484971157
33,330,-651009.4237725489,21.034850637253836,24.697478847191086
34,340,-651259.7378475341,21.22745713508923,25.328357192612017
35,350,-651516.2942512389,21.408463023384694,25.946360865941095
36,360,-651778.9663467433,21.578706863278057,26.55190031397942
37,370,-652047.6315448128,21.738969490633448,27.145374433950927
38,380,-652322.1711869116,21.889974186842988,27.72717026807513
39,390,-652602.4704270252,22.03238272818565,28.297662689450952
40,400,-652888.4181051714,22.166808998328662,28.857214247163213
41,410,-653179.9066248563,22.2938199408527,29.406175212579548
