,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-581178.1394148889,-0.0,0.0
1,10,-581178.453007694,0.23148473312030546,0.11574236656015273
2,20,-581181.0370267108,0.9345954275224357,0.4651335900009144
3,30,-581188.3395826289,2.057754383646534,1.0417415108226125
4,40,-581202.6265470831,3.4422193493810482,1.8149779934363326
5,50,-581225.6628826791,4.9081776948441975,2.736073181593383
6,60,-581258.6382609493,6.3297154116618914,3.7543672353829605
7,70,-581302.2516042881,7.64760274667642,4.828100858736434
8,80,-581356.8480775598,8.848175946460106,5.927369194438506
9,90,-581422.540913021,9.938843782595356,7.032538179014226
10,100,-581499.2987739027,10.933096738619499,8.131351003867165
11,110,-581587.0028607876,11.843763692333596,9.216358735904212
12,120,-581685.4818572,12.68105991000775,10.283089127260608
13,130,-581794.5330401626,13.452712788659856,11.328878653844002
14,140,-581913.9351401974,14.164586415525994,12.352168770445859
15,150,-582043.4561819644,14.821414310703398,13.352094000404758
16,160,-582182.8586700963,15.427270618872711,14.328243350934645
17,170,-582331.9030952613,15.985857882231356,15.280517848428282
18,180,-582490.3503765423,16.500645711523266,16.20904140884668
19,190,-582657.9637918106,16.97491420572916,17.114100947183037
20,200,-582834.5101845695,17.41185541235609,17.99610560106376
21,210,-583019.7611498456,17.814460645982763,18.855555811277014
22,220,-583213.4937034214,18.185579481639426,19.69301826076408
23,230,-583415.4908138729,18.527923484035984,20.509107830651924
24,240,-583625.54191224,18.84392294911666,21.304470504063644
25,250,-583843.4429535246,19.135898085369263,22.07977019387763
26,260,-584068.996659307,19.40599227892819,22.83568031479517
27,270,-584302.012530113,19.656116005798705,23.57287462226086
28,280,-584542.3067791109,19.888089801894957,24.292021231264513
29,290,-584789.7022785618,20.10350083625235,24.9937777753963
30,300,-585044.0284557746,20.303794259234564,25.678786429767204
31,310,-585305.1209936813,20.490373999541,26.34767290397285
32,320,-585572.8218581174,20.66439164048063,27.001043926573765
33,330,-585846.9789010582,20.826945712108873,27.639484829473076
34,340,-586127.4457500107,20.97905197240758,28.263560083172344
35,350,-586414.0815911165,21.121586772875148,28.873812507253025
36,360,-586706.7508795186,21.25541155115934,29.4707635104729
37,370,-587005.3232374866,21.381228101765778,30.054913074683284
38,380,-587309.6731329722,21.499673261703006,30.626739027225998
39,390,-587619.6797250479,21.611367657440148,31.186698281001014
40,400,-587935.2266214382,21.716902580461408,31.7352283793778
41,410,-588256.2017178988,21.81680549841834,32.27274826527282
42,420,-588582.4970124846,21.91145804443525,32.79965755991725
43,430,-588914.0083990409,22.001238034130044,33.316336600156504
44,440,-589250.6354588114,22.08661785543657,33.82314924320235
45,450,-589592.2813481217,22.16793933699968,34.3204439740919
46,460,-589938.8526486432,22.24545917859647,34.80855288050225
47,470,-590290.2591321687,22.319519322737918,35.287793044757564
48,480,-590646.4137160216,22.390356078185107,35.75846761549474
49,490,-591007.2322518096,22.458194506881444,36.220865741379384
50,500,-591372.6334134651,22.523280584864658,36.67526379729825
51,510,-591742.538591456,22.58579244503926,37.12192594084336
52,520,-592116.8717353765,22.64594411385471,37.56110474117304
53,530,-592495.5592781182,22.70393813805418,37.99304229944828
54,540,-592878.5300142986,22.759880097932182,38.41797002562671
55,550,-593265.7150124317,22.81394380489667,38.83610914529854
56,560,-593657.0474636636,22.86627584225502,39.24767181159696
57,570,-594052.4627058761,22.91696465157143,39.65286099447549
58,580,-594451.8979672017,22.966180653712904,40.051871316171315
59,590,-594855.2924797777,23.013963780991617,40.444889223515936
60,600,-595262.5872160181,23.06040278059676,40.83209283805191
61,610,-595673.7249409885,23.105661083516402,41.21365352584254
62,620,-596088.6500666883,23.14987688025576,41.58973674594746
63,630,-596507.3086553687,23.19308943028732,41.96050143976901
64,640,-596929.6483217974,23.235220719128847,42.32609873997281
65,650,-597355.6181408159,23.276446650634167,42.68667349146126
66,660,-597785.1685898559,23.31695046881787,43.04236664523924
67,670,-598218.2515934326,23.356643415489724,43.39331351846777
68,680,-598654.820343047,23.395615800493445,43.739643414306926
69,690,-599094.829310775,23.434014059099816,44.081481697155695
70,700,-599538.2342231796,23.471776551217722,44.41894894003054
71,710,-599984.9919638039,23.508966124674767,44.752160586294494
72,720,-600435.0605470558,23.545673890085997,45.08122831000074
73,730,-600888.3991047903,23.58187719843409,45.40625964107603
74,740,-601344.9678008709,23.617692305490863,45.72735834997875
75,750,-601804.7278223238,23.653192923738864,46.04462530486781
76,760,-602267.6413748511,23.68825489983439,46.358157039928486
77,770,-602733.6715760833,23.722961293035933,46.66804602536577
78,780,-603202.7824514102,23.757459813152728,46.97438263762597
79,790,-603674.9389460989,23.79176496831334,47.27725483762333
80,800,-604150.106840694,23.82577613578178,47.57674672941066
81,810,-604628.2527793896,23.859512650853254,47.87293877254851
82,820,-605109.3441180456,23.893227633647562,48.165910127238014
83,830,-605593.3490880635,23.92674582465546,48.455737562678394
84,840,-606080.2366283893,23.9600993149447,48.74249422449792
85,850,-606569.9763585805,23.993436286735292,49.02625172378756
86,860,-607062.5387098354,24.02654235326918,49.307078784026075
87,870,-607557.8946579384,24.059693757671692,49.58504208580997
88,880,-608056.0159272597,24.092924751341343,49.86020780577091
