,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-676075.9339340079,-0.0,0.0
1,10,-676076.0006601518,0.03699536357598845,0.018497681787994224
2,20,-676076.3093126185,0.25532445447170177,0.1008264771939139
3,30,-676077.6139269827,0.8945759665308286,0.3137535852336441
4,40,-676081.7911803185,2.0439793939236552,0.7183470038959059
5,50,-676091.1548733674,3.523247059492861,1.326169134085649
6,60,-676107.7128419577,5.083873129379936,2.1021499341499297
7,70,-676132.881796228,6.561565036250976,2.9944892451399943
8,80,-676167.5269911261,7.890242837858384,3.956312639381213
9,90,-676212.1033764386,9.063003675287472,4.95295302093
10,100,-676266.7923544839,10.098448956734503,5.961375672949362
11,110,-676331.6049729838,11.02175561491167,6.9672870123729815
12,120,-676406.4515136685,11.856158715498168,7.962282517105633
13,130,-676491.185680856,12.62010011735838,8.941677596303636
14,140,-676585.6312019048,13.327085198019631,9.903033390856583
15,150,-676689.5974660123,13.986517843528423,10.845217980808233
16,160,-676802.8882764212,14.60476484782994,11.767834143753863
17,170,-676925.3066320848,15.186173005989986,12.670885192483547
18,180,-677056.6572630572,15.73376033952227,13.55458623803861
19,190,-677196.747969936,16.249730608167006,14.419259626047278
20,200,-677345.3901615588,16.73586805153171,15.265280817024177
21,210,-677502.3992669623,17.193699216833902,16.093051309189466
22,220,-677667.5947961634,17.624635301483803,16.902984993282004
23,230,-677840.8004672588,18.030047909126743,17.69550244973943
24,240,-678021.8442222252,18.41127518112772,18.47102824592148
25,250,-678210.5582726146,18.76964346913157,19.229989348244274
26,260,-678406.7791069223,19.106458617246226,19.97281411411241
27,270,-678610.347507521,19.422999357670786,20.699931183888115
28,280,-678821.1085433383,19.720519426628016,21.41176848979667
29,290,-679038.9115562907,20.000226455030468,22.108752113019
30,300,-679263.6101503636,20.26326335532941,22.791304659545133
31,310,-679495.0621243087,20.51073958025373,23.45984409579396
32,320,-679733.1294418628,20.743701989669376,24.11478281970922
33,330,-679977.6781627528,20.96311482634922,24.756526115212186
34,340,-680228.5783608491,21.169907649140793,25.38547123843746
35,350,-680485.70403735,21.36499891939455,26.00200768002542
36,360,-680748.9330535402,21.549149740207902,26.606515696694263
37,370,-681018.1470535694,21.723058762794206,27.19936429123191
38,380,-681293.2312459426,21.88750319756803,27.780912602503673
39,390,-681574.0744576405,22.043135937282944,28.35151037251781
40,400,-681860.5689153952,22.1905707413098,28.91149681367242
41,410,-682152.6102062627,22.330311181067373,29.46119981600059
42,420,-682450.097155589,22.462836287595564,30.00093540177186
43,430,-682752.9316243298,22.58875394444041,30.531010049067845
44,440,-683061.0185731996,22.70843843098261,31.051720415370074
45,450,-683374.2658367638,22.82236795262728,31.56335271822609
46,460,-683692.5840257475,22.930835193372413,32.066182792990006
47,470,-684015.886598489,23.034077281429166,32.56047437694797
48,480,-684344.0893349852,23.132764967624098,33.04648405402841
49,490,-684677.110830241,23.226946765597642,33.52446001664794
50,500,-685014.8719483627,23.316839944745738,33.99463807696885
51,510,-685357.2958348629,23.402957069204458,34.45724723199674
52,520,-685704.3080336959,23.48541412814535,34.91250927727088
53,530,-686055.8360999312,23.564349949505413,35.360635755167465
54,540,-686411.8098222046,23.64001489731006,35.80182997019729
