,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-704606.4425118194,-0.0,0.0
1,10,-704606.49386174,0.037647981883492325,0.018823990941746162
2,20,-704606.8552658659,0.22030873469775544,0.09272516555793119
3,30,-704608.1024808565,0.7275642660650192,0.2690630602432066
4,40,-704611.6741946064,1.6463786870357584,0.5961211071335129
5,50,-704619.4119568538,2.849839554866776,1.0869023984996602
6,60,-704632.9569102172,4.148647073179018,1.7176069434179226
7,70,-704653.5201492901,5.41415040907741,2.4500525620693225
8,80,-704681.8972729825,6.590265803365035,3.2486692039994525
9,90,-704718.566344064,7.6670159049157505,4.086506144760643
10,100,-704763.7889647647,8.655027002998397,4.945202822961438
11,110,-704817.6881650819,9.570063096858213,5.8129570411503675
12,120,-704880.3007645588,10.426027244806752,6.682377711056325
13,130,-704951.610215543,11.23285900202754,7.548828551462794
14,140,-705031.5659885023,11.9968434029608,8.4093202829652
15,150,-705120.0949090872,12.721655270084744,9.261834151597578
16,160,-705217.1079078829,13.40929019660689,10.104929645911032
17,170,-705322.504016685,14.060856055511977,10.937524554422996
18,180,-705436.173052755,14.67714783634293,11.758777695300521
19,190,-705557.9974914722,15.258962116017935,12.568027880942099
20,200,-705687.8540817078,15.807171724620266,13.364758808689656
21,210,-705825.61509703,16.322838404661173,14.148577111439952
22,220,-705971.1494541098,16.80724159778328,14.919198884660725
23,230,-706124.3238233585,17.261727675772246,15.676436597720018
24,240,-706285.0034475988,17.687763656582675,16.420186623372135
25,250,-706453.052945645,18.086951463119494,17.15042072881333
26,260,-706628.337047182,18.4608630277042,17.86717635476234
27,270,-706810.7211902724,18.8110123132443,18.570545031323853
28,280,-707000.0719745002,19.138947651954368,19.260664033555074
29,290,-707196.2576012898,19.446187106883723,19.937710043961122
30,300,-707399.1482556069,19.734132179582957,20.60189133500389
31,310,-707608.6163393512,20.004105189436814,21.253440395891083
32,320,-707824.536712953,20.2573826371692,21.892608857490995
33,330,-708046.7868260441,20.49519473095422,22.51966371469607
34,340,-708275.2468985956,20.71863375414397,23.134882758697493
35,350,-708509.799973017,20.928699314041285,23.73854996797163
36,360,-708750.3319474783,21.12639168313474,24.33095349345385
37,370,-708996.7316334916,21.3126116219064,24.912383865324955
38,380,-709248.8907648979,21.488158215396066,25.48313105437264
39,390,-709506.7039551791,21.65380173509766,26.043482821017093
40,400,-709770.0686962284,21.81026234768801,26.593723943120857
41,410,-710038.8853042872,21.95818021610618,27.13413490802923
42,420,-710313.0568899066,22.098142765124734,27.664990721747746
43,430,-710592.4892682403,22.230713307511117,28.1865605162704
44,440,-710877.0909338373,22.356422693620033,28.699107440518855
45,450,-711166.7729655027,22.47572587050674,29.202887985850975
46,460,-711461.4489983986,22.58903186489472,29.698151228354252
47,470,-711761.0350857611,22.696757493074983,30.185139050355062
48,480,-712065.4496993641,22.799304504040663,30.664086672553093
49,490,-712374.6135953753,22.89702964699245,31.135222587466707
50,500,-712688.4498207497,22.990180837514274,31.598767555505038
51,510,-713006.8835577626,23.07905944965032,32.05493465260224
52,520,-713329.8420868053,23.163978040206786,32.50393049940322
53,530,-713657.2547432476,23.24512933958027,32.945954730497036
54,540,-713989.0527975071,23.322805493976844,33.38120030623395
55,550,-714325.1694225739,23.397255511925206,33.80985453179164
56,560,-714665.5396604268,23.468603747640856,34.23209795951698
57,570,-715010.100287727,23.5370446645947,34.648104368482024
58,580,-715358.7898117376,23.602756019640864,35.05804170720949
59,590,-715711.5483772061,23.665895237634,35.462072176078806
60,600,-716068.3177258206,23.72663204977293,35.86035254404415
