,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-616836.6920934,-0.0,0.0
1,10,-616836.7189862116,0.07878545566054526,0.03939272783027263
2,20,-616837.2236460409,0.480173237156123,0.19882876494957602
3,30,-616839.924190061,1.4114722061727663,0.5541174419340678
4,40,-616847.3586634248,2.8041045304387806,1.1398758759343763
5,50,-616861.9490233262,4.414477965212427,1.9318367387604667
6,60,-616885.5347261132,6.021775642340073,2.875099172143382
7,70,-616919.289680313,7.505079066855251,3.912990885209001
8,80,-616963.8559597505,8.831069610523992,5.001009812070698
9,90,-617019.5165033961,10.01067815235292,6.109100448970276
10,100,-617086.3325414404,11.068108641367868,7.218654667280498
11,110,-617164.2352293786,12.026564935277568,8.318722141861508
12,120,-617253.0815576958,12.903905702778136,9.403046921989882
13,130,-617352.686918762,13.712645789168887,10.46811911303521
14,140,-617462.8435929604,14.46130902492442,11.51200388878351
15,150,-617583.3313644199,15.155808228417301,12.53367281871615
16,160,-617713.9236540105,15.80049729296006,13.53263196673506
17,170,-617854.3912986869,16.398880455872863,14.508717520548087
18,180,-618004.504958293,16.954023111762957,15.461982620393972
19,190,-618164.0368340265,17.468755966945892,16.392631811225144
20,200,-618332.7618694906,17.945782370283254,17.300980474875537
21,210,-618510.4586977175,18.387716988357706,18.187427819569706
22,220,-618696.9103454287,18.797079456923537,19.05243695630051
23,230,-618891.9047842436,19.17628955138499,19.896519167406943
24,240,-619095.2353294704,19.52765565700828,20.720221186740673
25,250,-619306.7009395546,19.85335798643062,21.52411450599029
26,260,-619526.1064062737,20.15544209886577,22.30878632146632
27,270,-619753.262467644,20.43581840619737,23.07483205880999
28,280,-619987.9858555368,20.69625614156245,23.82284914293414
29,290,-620230.099282261,20.938389550196007,24.55343186184473
30,300,-620479.4313850021,21.163723502657366,25.26716730327171
31,310,-620735.8166341886,21.37363822615589,25.96463212873787
32,320,-620999.095212471,21.569398487173032,26.64639008052181
33,330,-621269.11287415,21.7521591154975,27.312990100300517
34,340,-621545.7207880488,21.922975345479802,27.9649649649742
35,350,-621828.7753675848,22.082809959363686,28.602830374936453
36,360,-622118.1380993272,22.2325382853043,29.227084342604208
37,370,-622413.6753581159,22.37296367090312,29.838206943470865
38,380,-622715.2582309226,22.50481579776975,30.436660287714037
39,390,-623022.7623363994,22.628754169491003,31.022888517995305
40,400,-623336.0676423052,22.745390519034032,31.597318132425425
41,410,-623655.0582933183,22.855279093203688,32.16035842968412
42,420,-623979.6224442067,22.95892082809587,32.71240183150366
43,430,-624309.6520834988,23.056780459557164,33.25382441591937
44,440,-624645.0428849922,23.149280098639522,33.78498651540721
45,450,-624985.6940415486,23.23680782693561,34.30623327016073
46,460,-625331.5081258673,23.319711879821163,34.81789515292184
47,470,-625682.3909398891,23.398322305831243,35.32028860445279
48,480,-626038.2513770728,23.472940630652147,35.81371672509122
49,490,-626399.0013040218,23.54382900132034,36.29846967640188
50,500,-626764.5554121371,23.611244939238496,36.77482527886896
51,510,-627134.8311204005,23.67541966564022,37.24304968576762
52,520,-627509.7484431528,23.736563150980473,37.703397827417945
53,530,-627889.2298933796,23.79487722180198,38.156113985352576
54,540,-628273.2003689,23.850544915802388,38.60143233799318
55,550,-628661.587064262,23.903720824935668,39.039577269797164
56,560,-629054.3193649552,23.954566523991446,39.47076388100105
57,570,-629451.3287593807,24.00323442076628,39.89519862715243
58,580,-629852.5487656704,24.04985055758152,40.313079612964074
