,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-559000.3903767634,-0.0,0.0
1,10,-559000.736533199,0.2775329060765216,0.1387664530382608
2,20,-559003.7392082721,1.1483821428730152,0.5646284417947753
3,30,-559012.5301623131,2.5566408151789806,1.2778307800428592
4,40,-559030.0556826382,4.242259319638833,2.2342199975275436
5,50,-559058.4123356297,5.9309360664483375,3.3575960191272314
6,60,-559098.7947502007,7.479211784934159,4.573957274516578
7,70,-559151.7419974778,8.855797054382858,5.82978185571701
8,80,-559217.3952296628,10.078915571095422,7.092271011366392
9,90,-559295.6762139224,11.176239084321423,8.343105405911047
10,100,-559386.3902869803,12.17044405531488,9.572529780027981
11,110,-559489.2826040752,13.07709717828257,10.775465490897478
12,120,-559604.0671205191,13.906481018126936,11.949315708089854
13,130,-559730.4420748762,14.665850617247624,13.092823594764923
14,140,-559868.098890785,15.36087394212955,14.20549741314171
15,150,-560016.7272398841,15.99646877097257,15.287315679631137
16,160,-560176.0188723141,16.57711628866383,16.338566189350967
17,170,-560345.6696549479,17.10715173911303,17.35975259511033
18,180,-560525.3816445649,17.59084524025673,18.35153870685608
19,190,-560714.8641917509,18.03219813434118,19.314704826714294
20,200,-560913.8351840163,18.435068081191268,20.25011305859516
21,210,-561122.0212509419,18.80287283211365,21.1586772090086
22,220,-561339.15885963,19.138780380785473,22.041336938773746
23,230,-561564.9933060036,19.446319470752464,22.899055295606374
24,240,-561799.2803177543,19.727830191445562,23.7327978333793
25,250,-562041.7850471014,19.98543556386725,24.54350300697843
26,260,-562292.2814928642,20.22210306247577,25.332098315611077
27,270,-562550.5534851014,20.43983594052839,26.099500393346535
28,280,-562816.3935957627,20.640261557220967,26.846591972962777
29,290,-563089.6031615318,20.825162649023696,27.574222600630307
30,300,-563369.9917866,20.99506417941301,28.2831948653853
31,310,-563657.3772002368,21.151966660629864,28.974273354299655
32,320,-563951.5833963432,21.29825158473102,29.648219287901885
33,330,-564252.444099149,21.433223947312207,30.305750286296824
34,340,-564559.7978205673,21.55826442455292,30.947529404041415
35,350,-564873.4906634518,21.6750517308246,31.574206300557123
36,360,-565193.3749088203,21.783442731841895,32.186397712431784
37,370,-565519.3087154471,21.884640099806816,32.78468390787893
38,380,-565851.1558223309,21.97912419279458,33.36962129014282
39,390,-566188.7858378205,22.06664299500405,33.94172597210272
40,400,-566532.0726560444,22.14874038589187,34.5014909063495
41,410,-566880.8954145478,22.226586499498808,35.04940609409387
42,420,-567235.1382301438,22.29921863845663,35.58592891556764
43,430,-567594.6894659087,22.366023143264496,36.111465840670284
44,440,-567959.4411553275,22.430490957771056,36.626427819921815
45,450,-568329.2891201936,22.49217301365567,37.13123279610882
46,460,-568704.1354359273,22.546621526283012,37.62621780270565
47,470,-569083.8818171573,22.59847939183237,38.11169913104968
48,480,-569468.4354743761,22.65062282639542,38.588052474056894
49,490,-569857.7072625395,22.69993190140511,39.05562842000945
50,500,-570251.6110318468,22.74490775569582,39.51470945574401
51,510,-570650.063264576,22.784888295977762,39.965539791104675
52,520,-571052.9825155222,22.823411968513355,40.40837693322101
53,530,-571460.2897672368,22.864426297755525,40.843534952418125
54,540,-571871.9104699425,22.90362679768598,41.2713077057997
55,550,-572287.7724406883,22.935584756647742,41.69188364026632
56,560,-572707.8040738426,22.964632800244686,42.10543032052374
57,570,-573131.9355394174,22.996166257804685,42.51219244145905
58,580,-573560.1009868857,23.028193078574176,42.912432103956235
59,590,-573992.2362986783,23.057550418685423,43.30635397945589
60,600,-574428.2794123968,23.083823453576855,43.69412214455224
61,610,-574868.1692955112,23.10768972178035,44.07589463280019
62,620,-575311.8470535437,23.133942532649918,44.45186597828433
63,630,-575759.2548757682,23.15793939992163,44.82222320080764
64,640,-576210.3398189051,23.17699334770441,45.18708663117722
65,650,-576665.0439096125,23.198450999465283,45.54660651477897
66,660,-577123.3182051089,23.219558975310065,45.900961887664735
67,670,-577585.1089133025,23.23983921193299,46.25029927338764
68,680,-578050.3690512977,23.258444969193075,46.594748887012244
69,690,-578519.0484478654,23.27643337302424,46.934436671777796
70,700,-578991.1013357036,23.292612501914896,47.269482282413804
71,710,-579466.4815669924,23.307193847867893,47.59999325394164
72,720,-579945.1436843964,23.32673057746132,47.92611960645009
73,730,-580427.0454995547,23.34425503326342,48.24800294877787
74,740,-580912.1453278544,23.355482277751435,48.565702419227456
75,750,-581400.400804738,23.367864309693687,48.87929549397959
76,760,-581891.7715563275,23.38036945357453,49.18889947613352
77,770,-582386.2189708865,23.392690275571713,49.49461828242784
78,780,-582883.7032424076,23.409670655062655,49.79658086001145
79,790,-583384.1891839314,23.422995410070815,50.094889657782915
80,800,-583887.6398877981,23.43146372004412,50.38958311242604
81,810,-584394.0191414878,23.442384258864504,50.68073583634832
82,820,-584903.2922650486,23.45398821313301,50.96845403527114
83,830,-585415.4255850979,23.462801067082733,51.252808333624856
84,840,-585930.3856121592,23.47032670840848,51.53385483437305
85,850,-586448.1394027162,23.48212210946082,51.81168929007399
86,860,-586968.6553053213,23.49498141532525,52.08641814928851
87,870,-587491.903630739,23.50166710164346,52.358083930755676
