,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-645035.6616183694,-0.0,0.0
1,10,-645035.8566608584,0.06764523107558489,0.03382261553779244
2,20,-645036.761455525,0.30038194114458744,0.14274071636173175
3,30,-645038.9525550794,0.8373653945076514,0.3573971007324872
4,40,-645043.8689315034,1.7490523338667117,0.7155895415504347
5,50,-645053.2133212271,2.905504088412272,1.2247714921250008
6,60,-645068.4669308205,4.14376091226004,1.8606353103212314
7,70,-645090.7181200822,5.356871102040168,2.588582369821961
8,80,-645120.690002886,6.50085469353944,3.3775194383139024
9,90,-645158.8336109489,7.5696883489756175,4.204361098269874
10,100,-645205.4173484192,8.572068014240362,5.053502740591648
11,110,-645260.5921611444,9.518492181377951,5.914764876820846
12,120,-645324.4329660094,10.416467341140377,6.781443084885542
13,130,-645396.9634101812,11.270016681950075,7.64892473750806
14,140,-645478.1701414033,12.080721435951995,8.513841254581349
15,150,-645568.0116336241,12.848852734357923,9.373590682724899
16,160,-645666.4236637572,13.574319243431091,10.226083250227383
17,170,-645773.3234643586,14.257248329950384,11.069611559818439
18,180,-645888.6129842196,14.898125649505532,11.90277921664965
19,190,-646012.1817617518,15.497891795562461,12.724455298024985
20,200,-646143.9092505698,16.057928024325516,13.533742756411083
21,210,-646283.6671997672,16.57992200949812,14.329951004864414
22,220,-646431.3213729686,17.065868349274385,15.112571697011298
23,230,-646586.7334416102,17.517846744952823,15.88125509663805
24,240,-646749.7623469116,17.93796518377495,16.635785459958424
25,250,-646920.2655038793,18.32845527955218,17.376062173544778
26,260,-647098.0999294942,18.69139013259556,18.102081089378043
27,270,-647283.1230945956,19.028698983520716,18.81391421412991
28,280,-647475.1934968962,19.342429137486043,19.511698048951803
29,290,-647674.1713504727,19.634431452304145,20.195623249476196
30,300,-647879.9191059232,19.906269012833935,20.865919079902234
31,310,-648092.3015807668,20.15957786721409,21.522844711845394
32,320,-648311.1864069672,20.39585413346066,22.166684414409975
33,330,-648536.4441695992,20.61641092913338,22.797739497807925
34,340,-648767.9485256781,20.82250005110983,23.416322596416283
35,350,-649005.5763474366,21.015258575818773,24.02275381211657
36,360,-649249.2077032727,21.19572265294846,24.61735682861763
37,370,-649498.7259636464,21.364828198542792,25.20045576003904
38,380,-649754.017683815,21.523452266142677,25.772372973905295
39,390,-650014.9726914222,21.672414872335487,26.333427765918895
40,400,-650281.4839299006,21.812486874056063,26.883935324566846
41,410,-650553.4475370158,21.94430640040082,27.42420490318036
42,420,-650830.7626628602,22.068391824164458,27.954537346155846
43,430,-651113.3314620244,22.18534066065916,28.475225373893043
44,440,-651401.0589118429,22.295803643844494,28.986555856386254
45,450,-651693.8529132289,22.40019238412789,29.48880828792025
46,460,-651991.624073229,22.498811254347707,29.98225161065347
47,470,-652294.2856465527,22.59214185974559,30.467145841574524
48,480,-652601.7534183146,22.680654392950203,30.943744592845903
49,490,-652913.9457346507,22.764513815171085,31.4122923667368
50,500,-653230.7833087277,22.84401020195226,31.873023426053987
51,510,-653552.1890993326,22.91969743530506,32.32616644410591
52,520,-653878.0884073023,22.991647065698672,32.771942889616184
53,530,-654208.408697297,23.059906099000326,33.21056270304689
54,540,-654543.0793882351,23.124915559496692,33.642228575513585
55,550,-654882.0319979776,23.187025730090642,34.06713930702827
56,560,-655225.1999362491,23.24629256823104,34.485486633674014
57,570,-655572.5185900984,23.30270422989569,34.89745250354609
58,580,-655923.9249789546,23.35669166737918,35.30321298000927
