,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-708645.9624766721,-0.0,0.0
1,10,-708646.0222574216,0.05444193119183183,0.027220965595915914
2,20,-708646.5792809374,0.26664307116298,0.12110269898257683
3,30,-708648.3194961683,0.7582242413278437,0.3141341736612958
4,40,-708652.528946626,1.574207954911981,0.6372808749132673
5,50,-708660.726391466,2.605090723343892,1.0945659416116542
6,60,-708674.2206918637,3.708935497957282,1.6641529721091501
7,70,-708693.9740125504,4.798461845784914,2.3159782049711795
8,80,-708720.6386737544,5.840532324183732,3.023758749931585
9,90,-708754.6414156108,6.8318637699441735,3.7683400074121893
10,100,-708796.259317266,7.779394996992779,4.536857744480949
11,110,-708845.6726576487,8.690258905693192,5.320839262771187
12,120,-708902.9975407657,9.568572850862981,6.114541566664411
13,130,-708968.3048411618,10.415462555794514,6.91382681580144
14,140,-709041.6310071015,11.23010955923237,7.715496870887001
15,150,-709122.9846017697,12.010832408530401,8.516933292572503
16,160,-709212.3505007494,12.755908175976941,9.31591650335613
17,170,-709309.6932488004,13.464000153349476,10.110538638365687
18,180,-709414.9597648373,14.1343761546712,10.899160202727945
19,190,-709528.0818961918,14.766949515097087,11.680385697187742
20,200,-709648.9787537133,15.362191741587594,12.45304442533525
21,210,-709777.5588583519,15.921065902733247,13.216172216559064
22,220,-709913.7221260725,16.444897713192038,13.968992889543008
23,230,-710057.3616603267,16.93525174754321,14.71089821152855
24,240,-710208.3653124557,17.393864898662997,15.44142804360308
25,250,-710366.6170740364,17.822567338007513,16.160251575752042
26,260,-710531.99827367,18.22320839667811,16.867149237832926
27,270,-710704.3885954869,18.597623829662897,17.561995994443713
28,280,-710883.6669401099,18.947598144516824,18.24474640260014
29,290,-711069.7121522406,19.27484708960401,18.91542131928727
30,300,-711262.4036038992,19.58100741475935,19.574096392687352
31,310,-711461.6217049799,19.867617283665503,20.220891956325794
32,320,-711667.2482775748,20.136116294469673,20.855964213486004
33,330,-711879.166892924,20.387840821937388,21.479497709707356
34,340,-712097.2630966185,20.62404638362351,22.091699188586787
35,350,-712321.4246151977,20.845897978215362,22.69279253089189
36,360,-712551.5414996429,21.05445547197018,23.283014066104077
37,370,-712787.5062208751,21.25070222123759,23.862608710408676
38,380,-713029.2137420806,21.43555188024181,24.43182709731336
39,390,-713276.5615586835,21.609846003080047,24.990923140311494
40,400,-713529.4497233396,21.774349613464423,25.540151818211598
41,410,-713787.7808411105,21.929766002789243,26.079767359145627
42,420,-714051.4600542121,22.07674830130418,26.610021962069734
43,430,-714320.3950171988,22.215898751860355,27.131164798319517
44,440,-714594.4958596573,22.347770203556912,27.643441136542243
45,450,-714873.6751456143,22.47286178113427,28.147091534908398
46,460,-715157.847819833,22.591642630571716,28.64235133208422
47,470,-715446.9311511687,22.70454595055782,29.129450387903493
48,480,-715740.8446866439,22.811963984929008,29.608612735624774
49,490,-716039.5101745533,22.914259396627347,30.080056333902757
50,500,-716342.8515234423,23.011770765151596,30.543993014989248
51,510,-716650.7947158127,23.104827251139795,31.000628636867624
52,520,-716963.2677768528,23.193702228227593,31.4501629186736
53,530,-717280.2006902102,23.278610000392693,31.8927888145583
54,540,-717601.5253396697,23.359854674746863,32.32869329355599
55,550,-717927.1754268722,23.43771386529257,32.75805837029621
56,560,-718257.0864985419,23.51229978366743,33.18105974441278
57,570,-718591.1957736181,23.58383122551887,33.59786670498579
58,580,-718929.4421572596,23.65255827238434,34.00864378190745
59,590,-719271.7661773643,23.7185036870826,34.413549414859155
60,600,-719618.1099251306,23.781930840632413,34.81273644039902
61,610,-719968.4169225933,23.84307320554217,35.20635422367923
62,620,-720322.6323135621,23.901907532336146,35.59454656876333
63,630,-720680.7024699242,23.958652310661318,35.97745192178409
64,640,-721042.5752874983,24.01328090280299,36.35520371304883
65,650,-721408.1998599921,24.066024533312888,36.727930735742845
66,660,-721777.5265619988,24.11714291466628,37.095759629525126
67,670,-722150.5071113113,24.16645036468981,37.45881190217915
68,680,-722527.0942867505,24.214116778958168,37.81720352300763
69,690,-722907.2420941915,24.26033827266656,38.17104805202398
70,700,-723290.9056096076,24.305110797897317,38.52045553899516
71,710,-723678.0410412877,24.34829580871156,38.86553034515819
72,720,-724068.6055672063,24.39033299717116,39.206374529530876
73,730,-724462.5573381353,24.43139440942609,39.54309015988402
74,740,-724859.8557098034,24.47094220037683,39.8757726818134
75,750,-725260.4607004127,24.509374336848744,40.204512714782325
76,760,-725664.3333887251,24.546816224930804,40.52940075570078
77,770,-726071.4357290032,24.583325327790277,40.85052495035489
78,780,-726481.7304446072,24.61926595690322,41.167972740418925
79,790,-726895.1813162054,24.653727123280987,41.48182479545068
80,800,-727311.7527650826,24.68661125865765,41.792152363432976
81,810,-727731.4098032169,24.71982933893171,42.09903522292879
82,820,-728154.1183911874,24.75265830621356,42.402557605388566
83,830,-728579.8456133588,24.78314411387243,42.70278449759789
84,840,-729008.5584847586,24.813036079436827,42.99977718980662
85,850,-729440.2251074109,24.84388169166044,43.29361431367578
86,860,-729874.8143097962,24.87369808468508,43.58436931796313
87,870,-730312.2958399062,24.90139603112766,43.87209531315456
88,880,-730752.6392967337,24.92928870660259,44.1568504704308
89,890,-731195.815490117,24.957115994734593,44.438702673088116
90,900,-731641.7957785378,24.98332572315121,44.717707443929974
91,910,-732090.5518216736,25.00928899229905,44.993917373729346
92,920,-732542.0559606632,25.035627609759104,45.26739424304251
93,930,-732996.2812472929,25.061149116200845,45.538194797413595
94,940,-733453.2011982712,25.085371537704553,45.8063649855816
95,950,-733912.7896617793,25.1092219655113,46.0719516127283
96,960,-734375.0210620655,25.133575358055396,46.33500945086999
97,970,-734839.8703802512,25.157988819357637,46.59559384393215
98,980,-735307.3132489256,25.18047444190597,46.85374600704818
99,990,-735777.3255271022,25.2014994120982,47.10949811548635
100,1000,-736249.8831804559,25.22452319128199,47.36290103150387
101,1010,-736724.9630979581,25.247824889648545,47.61401287958725
102,1020,-737202.5429212627,25.268305526697077,47.86286635449215
103,1030,-737682.5998073842,25.288790195027612,48.10949171472166
104,1040,-738165.1118014917,25.310210706596337,48.353936537493425
105,1050,-738650.0574062064,25.331013577437336,48.59624411699187
106,1060,-739137.4153781463,25.351222914114047,48.83644923133106
107,1070,-739627.1649149628,25.371115342213383,49.07458708524064
108,1080,-740119.2854540139,25.39077471845077,49.31069358194509
109,1090,-740613.7569528192,25.40999110960677,49.54480305714678
110,1100,-741110.5595205178,25.42901294492193,49.7769490718696
111,1110,-741609.6737580552,25.447915497361258,50.007165744334635
112,1120,-742111.08050082,25.466636827774266,50.23548633730388
113,1130,-742614.7609832903,25.484574919217266,50.461940286122264
114,1140,-743120.6967085606,25.50258262285505,50.68655732451589
115,1150,-743628.8692969923,25.521874163648963,50.909375427349005
116,1160,-744139.2611909057,25.538840710662853,51.13042130758549
117,1170,-744651.8547843165,25.55566772836909,51.349714772794684
118,1180,-745166.6321700476,25.574550058971923,51.56729376558214
119,1190,-745683.5772520606,25.59021247997589,51.783182404296525
120,1200,-746202.6724881926,25.606215875129976,51.99739687161928
121,1210,-746723.9014718989,25.623540985755714,52.20997183853324
122,1220,-747247.2482116292,25.639928517700433,52.4209359135537
123,1230,-747772.6962837985,25.65736191560881,52.63031580697571
124,1240,-748300.2304690061,25.673081825475762,52.83813451737661
125,1250,-748829.8349532317,25.68848587179673,53.04440895209555
126,1260,-749361.4943656815,25.705437072214778,53.24916859825026
127,1270,-749895.1939381439,25.719948945232318,53.45243394243444
128,1280,-750430.9187185704,25.734750264138256,53.65421995217039
129,1290,-750968.6536943774,25.75149721839989,53.85455832511216
130,1300,-751508.3851809168,25.765937057963942,54.053470087749886
131,1310,-752050.0984109887,25.781489446802883,54.250972477141474
132,1320,-752593.7796238963,25.797335894498787,54.44709229003638
133,1330,-753139.4153381181,25.809902708474056,54.641839180885285
134,1340,-753686.9914413894,25.824420249503063,54.835228667366025
135,1350,-754236.4946420019,25.839323045220226,55.027289640880184
136,1360,-754787.9120410465,25.853540244815036,55.21804061765579
137,1370,-755341.2300416029,25.869951439899257,55.40750627913512
138,1380,-755896.4366231286,25.882579312909897,55.595699621581296
139,1390,-756453.5187116972,25.894649532841864,55.78262330420111
140,1400,-757012.463402113,25.912949153396664,55.968315772518686
141,1410,-757573.2590794988,25.925605758235506,56.15279679168742
142,1420,-758135.8938808554,25.93500717307947,56.33605201167228
143,1430,-758700.3542290758,25.951416432511483,56.51811167776031
144,1440,-759266.6299954213,25.965690334467013,56.69900954305049
145,1450,-759834.7085161165,25.97669182304495,56.878742989434976
146,1460,-760404.5788017467,25.991339571029055,57.05732922571187
147,1470,-760976.2287871083,26.00662847762578,57.234798582590884
148,1480,-761549.6485230231,26.016889714426256,57.41115140026668
149,1490,-762124.8256916995,26.028609746959727,57.58639062596049
150,1500,-762701.7498361142,26.043127301236172,57.760545378307874
151,1510,-763280.4101425315,26.055126828653634,57.93363105704484
152,1520,-763860.7959831523,26.06787244859152,58.10565589186735
153,1530,-764442.8966137154,26.080036518577362,58.27663434980204
154,1540,-765026.7020966243,26.09413814963773,58.4465844550723
155,1550,-765612.2013951003,26.10694224614395,58.61552162556036
156,1560,-766199.3859083169,26.11664014889426,58.78344474825426
157,1570,-766788.2434519036,26.127931270795166,58.95036190041865
158,1580,-767378.7662944067,26.142952678212563,59.11630273552437
159,1590,-767970.9423064828,26.159982333736505,59.28129769381921
160,1600,-768564.765149529,26.162952887825668,59.445321016982774
161,1610,-769160.2222886932,26.1774548523681,59.608376688398124
162,1620,-769757.3047428732,26.195181130460696,59.77052245651575
163,1630,-770356.0059863948,26.19442805500014,59.93172278729616
164,1640,-770956.3122821755,26.211482744140085,60.09198685074661
165,1650,-771558.2177646008,26.229952321941035,60.251384611899255
166,1660,-772161.7128660496,26.232176699809973,60.409881896326254
167,1670,-772766.7883191272,26.24255387890711,60.567464997342896
168,1680,-773373.4344563574,26.259666005428645,60.72418928581173
169,1690,-773981.6445153012,26.270774906603037,60.880067239799246
170,1700,-774591.408348095,26.282361769815665,61.03509248994232
171,1710,-775202.7186463644,26.295755614171746,61.189281728281635
172,1720,-775815.566324955,26.29839143498151,61.34261871490307
173,1730,-776429.9438313724,26.31221105855038,61.49511437998444
174,1740,-777045.8402067998,26.337931481381617,61.646844943908214
175,1750,-777663.2527646021,26.325826112443007,61.79774530109716
176,1760,-778282.1687855369,26.33035909053882,61.947764103639926
177,1770,-778902.5790295146,26.37607879404095,62.097074957305445
178,1780,-779524.4815367946,26.38148537192648,62.24568895045231
179,1790,-780147.8659901997,26.35724521361408,62.39341783642303
180,1800,-780772.7227117313,26.373774159292225,62.54030191018101
181,1810,-781399.0428380835,26.423878976080125,62.686556534774724
182,1820,-782026.8247253702,26.423021018027406,62.83214139267511
183,1830,-782656.0592172326,26.394443279414684,62.97684807500191
184,1840,-783286.7339963756,26.417151887272354,63.12074977907032
185,1850,-783918.8448736013,26.46038563639701,63.26405007366847
186,1860,-784552.3861264869,26.464069140359193,63.40670460024994
187,1870,-785187.351694432,26.452457248509745,63.548573066374225
188,1880,-785823.7294542629,26.460314514301984,63.68967473859084
189,1890,-786461.516794888,26.47887465721274,63.830097848446165
190,1900,-787100.7026361908,26.49718224041795,63.969877208350226
191,1910,-787741.2858899804,26.49468904467703,64.10896446002297
192,1920,-788383.2541722746,26.51026743091643,64.24735943951528
193,1930,-789026.6036110508,26.526274466084125,64.3851175125892
194,1940,-789671.3286807399,26.51912591484752,64.52218669356226
195,1950,-790317.4190055856,26.535590959799897,64.6585749330494
196,1960,-790964.8710502185,26.55845720563056,64.79436607621028
197,1970,-791613.677598266,26.555318712667493,64.92951652862394
