,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-474025.8330915808,-0.0,0.0
1,10,-474026.0173441024,0.1062336253482499,0.05311681267412495
2,20,-474027.157982833,0.528910958985216,0.2384613650945539
3,30,-474030.6351941595,1.488320102709986,0.6187424552925223
4,40,-474039.0610932649,2.979715373081853,1.2392602273794182
5,50,-474055.0973122528,4.731430625572102,2.08486771157186
6,60,-474080.76135742763,6.515447914056131,3.1009647669670812
7,70,-474117.41087535064,8.222974555673135,4.231274085210316
8,80,-474165.8979410174,9.811208474636079,5.431829940280295
9,90,-474226.7128644809,11.265996989044652,6.670919191558641
10,100,-474300.09056698036,12.586018654517833,7.926108845898125
11,110,-474386.08595134027,13.77622915389802,9.181602012892109
12,120,-474484.6272675614,14.84486444368958,10.426330265647266
13,130,-474595.5544169411,15.801805823392348,11.652628046572499
14,140,-474718.6468496214,16.657521251129214,12.85530128226528
15,150,-474853.6438235369,17.422430187223657,14.03096042842735
16,160,-475000.25934954174,18.10648170046042,15.177535654474195
17,170,-475158.1930439654,18.7189080758675,16.293919327492038
18,180,-475327.13805371325,19.268093334278092,17.37970026221155
19,190,-475506.7867539841,19.761519008027985,18.43496505094808
20,200,-475696.83474307205,20.205889390315868,19.46015225960145
21,210,-475896.9836619145,20.607113324243983,20.45594504969849
22,220,-476106.9432112115,20.97029846866501,21.42318829750729
23,230,-476326.432214272,21.29999175260017,22.36282928894652
24,240,-476555.1794947485,21.60012112684778,23.27587511139209
25,250,-476792.92423054704,21.874056468550407,24.163358764239092
26,260,-477039.41598016355,22.12484729346761,25.026317726176785
27,270,-477294.4147371718,22.355105865400393,25.86577900069533
28,280,-477557.69069218397,22.56711138059037,26.682746574443446
29,290,-477829.0239191527,22.762821002677104,27.478193137320343
30,300,-478108.2041347481,22.94394235132497,28.253054607589732
31,310,-478395.03009562,23.11208395832947,29.008229194493474
32,320,-478689.3095004473,23.26856993925753,29.74457614750936
33,330,-478990.85831590457,23.41460937476222,30.462914361518777
34,340,-479299.5005785706,23.551159724991937,31.164021754418354
35,350,-479615.0678808858,23.679146858798063,31.84863586516367
36,360,-479937.39890342916,23.79951516797882,32.51745821349541
37,370,-480266.33932799136,23.912825130939048,33.17115332082612
38,380,-480601.74113402993,24.019784712610996,33.810349405229495
39,390,-480943.4624779412,24.121060185776095,34.43564356543574
40,400,-481291.3673485387,24.217009509506084,35.04760054566068
41,410,-481645.3251767995,24.308153817482584,35.64675406474271
42,420,-482005.210572557,24.394984912648304,36.233611452011246
43,430,-482370.90314767486,24.477744548076497,36.808652875672124
44,440,-482742.2871155397,24.556785288138812,37.37233219055197
45,450,-483119.2511134787,24.63252312570697,37.92508127022302
46,460,-483501.6880087844,24.70510935643688,38.467309768972335
47,470,-483889.4946553942,24.774696049239786,38.99940416259342
48,480,-484282.57160581724,24.84168027013061,39.521732261675794
49,490,-484680.82304501126,24.90627606120099,40.03464543858354
50,500,-485084.1566030752,24.96853822798588,40.53847649495729
51,510,-485492.4830885558,25.028674025190412,41.033541034346854
52,520,-485905.7164309156,25.08684314099959,41.5201398370431
53,530,-486323.7734646691,25.14319463142743,41.99855943198272
54,540,-486746.57383040286,25.197825689971758,42.46907258216888
55,550,-487174.0398367307,25.250832695630496,42.93193880750768
56,560,-487606.0962859568,25.30238586621138,43.387405991533164
57,570,-488042.6704507527,25.352489810233237,43.835710412546185
58,580,-488483.6918742723,25.40125861658008,44.277077041423766
59,590,-488929.0922856942,25.44881430442025,44.71172132664215
60,600,-489378.80557197856,25.495327868673527,45.139850310048494
61,610,-489832.7675540624,25.540749336466295,45.56166178001804
62,620,-490290.9161549306,25.584885418968042,45.977341905536015
63,630,-490753.1908547824,25.628084124556246,46.387069119708755
64,640,-491219.5331155723,25.67059272313486,46.79101811841028
65,650,-491689.88595494657,25.71218714124557,47.18935567899243
66,660,-492164.19419666595,25.75260422657603,47.58223722049006
67,670,-492642.40393950534,25.79256695558283,47.969814550007136
68,680,-493124.4629166848,25.831855039403308,48.3522365035431
