,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-586004.1095756551,-0.0,0.0
1,10,-586004.2280518054,0.047559343930333856,0.023779671965166928
2,20,-586004.9007084301,0.16898389729321936,0.08980531825363869
3,30,-586006.3673778633,0.4029219952208223,0.19920495844708058
4,40,-586009.071519151,0.8761478098342196,0.3758771005464951
5,50,-586013.8789971907,1.6703429150220475,0.6524298682779772
6,60,-586022.0038079702,2.7583096023823597,1.0493232933120453
7,70,-586034.7533598384,4.039496770509868,1.5677179104517565
8,80,-586053.324827472,5.406925761606544,2.1941862541600132
9,90,-586078.7105611747,6.780145991608151,2.908793891571986
10,100,-586111.6804757818,8.108823804126587,3.6909098590898797
11,110,-586152.8017446959,9.36561322634225,4.522060741402675
12,120,-586202.4714193081,10.53812279457925,5.386858883283276
13,130,-586260.9497035856,11.622877979054465,6.272981101482583
14,140,-586328.3894388163,12.621415953373068,7.170779725385364
15,150,-586404.8603639493,13.537931306360397,8.072808957741653
16,160,-586490.3686467628,14.377866865275436,8.973381674160192
17,170,-586584.8721744634,15.147125981305738,9.868193719032572
18,180,-586688.2925218724,15.851634535304035,10.754020605901317
19,190,-586800.524281404,16.497128004385736,11.628478734921377
20,200,-586921.442251505,17.08901920972858,12.489839162648426
21,210,-587050.9071841433,17.632265837589514,13.33688049616758
22,220,-587188.770019557,18.131430616590652,14.1687743180024
23,230,-587334.8753551447,18.590717208347616,14.984998312829704
24,240,-587489.0640250937,19.01390401935204,15.785267339501297
25,250,-587651.1752082476,19.404417244368233,16.56947868479183
26,260,-587821.0478706626,19.765347798826415,17.337669871964316
27,270,-587998.5221289415,20.09939677735673,18.08998376568197
28,280,-588183.4399436144,20.409167217393396,18.826644231710816
29,290,-588375.64593375,20.696927715031812,19.547937227600777
30,300,-588574.9879697339,20.964521464426102,20.2541894999682
31,310,-588781.3172250619,21.213869265271942,20.9457573727399
32,320,-588994.4886911393,21.446692368760694,21.623021122699722
33,330,-589214.3612509097,21.664396607223875,22.286374124404393
34,340,-589440.7977780056,21.868251540401264,22.936214492264845
35,350,-589673.665151433,22.059436290306607,23.57294123082975
36,360,-589912.8342196253,22.239071088458864,24.196952022316694
37,370,-590158.179836288,22.4081527866947,24.808640885152276
