,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-597195.6135613899,-0.0,0.0
1,10,-597195.7789159031,0.09288344045053236,0.04644172022526618
2,20,-597196.9243849425,0.3600076321803499,0.18288534849561985
3,30,-597199.8249625475,0.8145630899642128,0.4086477715347428
4,40,-597205.4353611388,1.464023649401497,0.7274112427039654
5,50,-597214.7318503915,2.259922515135259,1.1364064503926783
6,60,-597228.5865738291,3.141877594700781,1.624221834797936
7,70,-597247.7181183565,4.059347237483599,2.1759983417956392
8,80,-597272.6836371507,4.980364156886935,2.777224475707044
9,90,-597303.9006562501,5.890187922451878,3.415729897870915
10,100,-597341.6825212567,6.783408667019102,4.0821329935803075
11,110,-597386.2618071323,7.658754761083402,4.769428643344145
12,120,-597437.8150400309,8.515256739291367,5.472356223894167
13,130,-597496.4729753275,9.350381304978507,6.186788638222788
14,140,-597562.331747936,10.16093492216314,6.909309221348668
15,150,-597635.4545475381,10.944090674514884,7.637002776766895
16,160,-597715.8796984758,11.697232168074699,8.367344304503058
17,170,-597803.6203615473,12.417977668240207,9.098117447056575
18,180,-597898.6707294359,13.10487300460227,9.8273763344856
19,190,-598001.0049465407,13.757813057876776,10.553448296662829
20,200,-598110.5837004061,14.376683041045906,11.274913084738365
21,210,-598227.353348498,14.961675398773506,11.990560527401978
22,220,-598351.2500374585,15.513587748364076,12.69937243377499
23,230,-598482.2001797863,16.03388532893151,13.400516698052526
24,240,-598620.1228976897,16.525552216591322,14.093361760440168
25,250,-598764.932029038,16.989560597357922,14.777435310232978
26,260,-598916.5383449486,17.425888345757276,15.452339759598544
27,270,-599074.8471752454,17.837402470971547,16.11777526499791
28,280,-599239.7628512009,18.226533049787385,16.773571337439353
29,290,-599411.1881028913,18.59469875280047,17.419643396258472
30,300,-599589.02526181,18.94311661622485,18.055960260887517
31,310,-599773.1768908859,19.272492252418328,18.682525520390485
32,320,-599963.5451612409,19.58506359122697,19.299388788235955
33,330,-600160.0334108191,19.88305393157641,19.90666379975155
34,340,-600362.5463901607,20.165781174506968,20.504477798161677
35,350,-600570.9906021846,20.435295332106787,21.0929661941278
36,360,-600785.2720675211,20.693639835238017,21.672310648964775
37,370,-601005.3024167867,20.939535968081312,22.24268901561445
38,380,-601230.9906780318,21.175587072013837,22.80428186357021
39,390,-601462.2515675705,21.402016989488054,23.35729284245317
40,400,-601698.9993801973,21.619349430315182,23.901919543530674
41,410,-601941.1515050102,21.829684380692168,24.438377074588786
42,420,-602188.627431793,22.03179652282274,24.966876029706324
43,430,-602441.3486955042,22.22649868685988,25.487606980794222
44,440,-602699.2381467439,22.415077882434723,26.000771434062333
45,450,-602962.2216987303,22.59792398639547,26.50657627247419
46,460,-603230.2262052242,22.775664068164737,27.00522588272579
47,470,-603503.1817454997,22.947934991581114,27.496914416679644
48,480,-603781.0191889812,23.115370203740895,27.98182649096416
49,490,-604063.6719497088,23.278597738593817,28.46014830887143
50,500,-604351.0749812413,23.437695169413963,28.932061972183874
51,510,-604643.1650908474,23.592981603226544,29.397742665086117
52,520,-604939.8809296369,23.744333216617797,29.857357302607852
53,530,-605241.1625312826,23.892832670407387,30.31107228071778
54,540,-605546.9517497376,24.037986465211706,30.759050311266037
55,550,-605857.1922982616,24.179560933538536,31.201438450322893
56,560,-606171.8284857385,24.31902417135433,31.638386785014884
57,570,-606490.8072004649,24.455626297698572,32.070043967101086
58,580,-606814.0759532903,24.589463874255266,32.496545141647225
59,590,-607141.5839456841,24.721286626634537,32.91802570753353
60,600,-607473.2816717899,24.85043986811057,33.334615135473726
61,610,-607809.1208852265,24.977252617734354,33.74643371320854
62,620,-608149.0543502016,25.102014654717685,34.153600894096606
