,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-602409.2051864308,-0.0,0.0
1,10,-602409.4597321079,0.08129291207296774,0.04064645603648387
2,20,-602410.6526441904,0.2997483940329403,0.1562300105812028
3,30,-602413.2205399451,0.7132150484161683,0.3500362838254659
4,40,-602418.0950698305,1.4032498162356206,0.6443116855909465
5,50,-602426.4908817611,2.314710747203207,1.0511889873407199
6,60,-602439.5699936331,3.344122983579291,1.5613369773593149
7,70,-602458.2789095547,4.414049785688985,2.1553031630639454
8,80,-602483.3390706595,5.48542184275575,2.813431298642536
9,90,-602515.2900789808,6.541770984447792,3.519701885172981
10,100,-602554.5352568997,7.575512795767278,4.261909246319556
11,110,-602601.3757861156,8.58127107410401,5.030742662203557
12,120,-602656.0334943229,9.55388394291513,5.818878935920657
13,130,-602718.6661153381,10.488389573813766,6.620357032534958
14,140,-602789.3780115559,11.380509308463656,7.430203392544355
15,150,-602868.22841248,12.227063805461514,8.244218947076298
16,160,-602955.2382696702,13.026127218408519,9.058854216166946
17,170,-603050.3962131031,13.776979462525926,9.871125970051798
18,180,-603153.6638458305,14.479940959968362,10.678551830582727
19,190,-603264.980435991,15.136166650225633,11.479092587810008
20,200,-603384.2670685685,15.747425301524345,12.271098395354056
21,210,-603511.4302728793,16.315887789704718,13.053257546694658
22,220,-603646.3651419096,16.843985696195173,13.82454892222886
23,230,-603788.9579912719,17.334281766720228,14.584198991280573
24,240,-603939.0886437892,17.78935867922847,15.331642842751169
25,250,-604096.63228665,18.211763460494712,16.066489751111657
26,260,-604261.4610768008,18.603951348981354,16.78849331549427
27,270,-604433.445403565,18.968263300275403,17.497525745857274
28,280,-604612.4549734263,19.306902818277003,18.193556002802506
29,290,-604798.3596512951,19.621923937191646,18.87663115795731
30,300,-604991.0301597922,19.915231291641238,19.54686071288452
31,310,-605190.3386216973,20.18858713728257,20.20440360759385
32,320,-605396.1589878802,20.44361411128193,20.849457451264605
33,330,-605608.367381954,20.68179550860369,21.48224945976253
34,340,-605826.8423336074,20.904493749188283,22.103029023495036
35,350,-606051.4649852514,21.112952323761405,22.712061653843556
36,360,-606282.1192013924,21.308308835467273,23.309623992294654
37,370,-606518.6916769189,21.49159978765817,23.89599975027813
38,380,-606761.0719678835,21.663773356558522,24.471476423864075
39,390,-607009.152530519,21.825698501456685,25.03634272074705
40,400,-607262.8287063289,21.978164773317985,25.5908864278681
41,410,-607521.9987159154,22.12189031135639,26.135392637673068
42,420,-607786.5636095476,22.257528051937697,26.67014235985844
43,430,-608056.4272333229,22.385674249220756,27.195411469686952
44,440,-608331.49615853,22.506902798730927,27.711470266545078
45,450,-608611.6796337529,22.62170218984826,28.218582772175434
46,460,-608896.8895282386,22.73051641886703,28.717005849369162
47,470,-609187.0402139073,22.833813723543493,29.206989591961612
48,480,-609482.0485643983,22.931958016147803,29.688777066582407
49,490,-609781.8338270178,23.025298086399527,30.162603650540404
50,500,-610086.3175655715,23.114158238604432,30.628697254216238
51,510,-610395.4236018315,23.198856968877937,31.08727861080697
52,520,-610709.0778933356,23.27968887059251,31.53856154722889
53,530,-611027.2085585817,23.356859997363042,31.982752445270307
54,540,-611349.7456740771,23.430629730911498,32.42005045638071
55,550,-611676.6213341977,23.50124306329235,32.85064839587867
56,560,-612007.7694768414,23.568891466688285,33.27473259104299
57,570,-612343.1259229507,23.633724794667877,33.69248249738739
58,580,-612682.628202082,23.695957012870473,34.10407136426947
59,590,-613026.215581735,23.75575294451551,34.50966679596749
60,600,-613373.8289666418,23.813186378683895,34.909429955997616
61,610,-613725.410835736,23.868469735392093,35.30351637037238
62,620,-614080.9051887874,23.92178987332141,35.69207722519349
63,630,-614440.2575453011,23.973124094383227,36.07525777510018
64,640,-614803.4148237545,24.02260986603801,36.45319730431656
65,650,-615170.3252860373,24.07049147628991,36.82603157063568
66,660,-615540.9385898878,24.116734117042643,37.193891728566086
67,670,-615915.2056369127,24.161410726906663,37.556903295031226
68,680,-616293.0785585163,24.204707465972703,37.915188120497625
69,690,-616674.5107106102,24.246680803681326,38.26886449622252
70,700,-617059.4565903601,24.287313307635433,38.6180458910967
71,710,-617447.8718311504,24.3267366542802,38.96284174729808
72,720,-617839.7130869512,24.3650537570241,39.30335855636076
73,730,-618234.9381554394,24.402316436669107,39.639699472238135
74,740,-618633.5057245183,24.438598724349713,39.97196429297037
75,750,-619035.3756120226,24.47373900664393,40.30024822007108
76,760,-619440.50841545,24.507953200722113,40.62464301433065
77,770,-619848.8657294093,24.541510116364115,40.94524000384699
78,780,-620260.4100291189,24.57430619254592,41.26212806294643
79,790,-620675.10468322,24.606051048645224,41.57539016705268
80,800,-621092.9138510916,24.63686101860361,41.885105048726835
81,810,-621513.8023970554,24.66730928890762,42.19135277138266
82,820,-621937.7361035737,24.69733059649024,42.494213591919106
83,830,-622364.681498194,24.726422007117012,42.79376142060646
84,840,-622794.6058343955,24.754662681813173,43.09006495267676
85,850,-623227.4769472878,24.782664379890775,43.38319451401184
86,860,-623663.2634998277,24.810134835995513,43.6732198626938
87,870,-624101.934826678,24.836753975541797,43.960204798047194
88,880,-624543.460762858,24.86308145190111,44.24421227167331
89,890,-624987.8119032984,24.889193989144342,44.52530671244603
90,900,-625434.9594265483,24.914683428156295,44.803548552903514
91,910,-625884.8751345206,24.939648198930275,45.07899449489777
92,920,-626337.5312828734,24.964148353610653,45.35170024827093
93,930,-626792.9008484676,24.9882079936097,45.621720171850754
94,940,-627250.9571167434,25.012247239280526,45.889109244411515
95,950,-627711.674178756,25.03588237283111,46.15392091466783
96,960,-628175.026460077,25.05896871266873,46.41620417867525
97,970,-628640.9889332013,25.08187945080863,46.67600767912663
98,980,-629109.5370403742,25.104568916832726,46.93338025282282
99,990,-629580.6467307191,25.12672254505742,47.18836742722924
100,1000,-630054.2943834946,25.14865347562605,47.44101333372382
101,1010,-630530.4567393663,25.17074286962452,47.69136423907038
102,1020,-631009.1111880053,25.19235941756051,47.93946383496804
103,1030,-631490.2353590509,25.21355263123405,48.185351679456645
104,1040,-631973.8073491503,25.235012301709503,48.42906974054348
105,1050,-632459.8056496603,25.255750871801865,48.670657395412846
106,1060,-632948.2092842575,25.27583157813045,48.91014849640632
107,1070,-633438.997178697,25.295877325386467,49.14757915128866
108,1080,-633932.1492690168,25.316228280798455,49.38298894607869
109,1090,-634427.6451104722,25.337566043296906,49.61642107380903
110,1100,-634925.4656346209,25.358152808330487,49.84791277192707
111,1110,-635425.5912316211,25.377739393600574,50.07749124428664
112,1120,-635928.0031467007,25.396636213595286,50.30518322593852
113,1130,-636432.682484083,25.416303240999696,50.53102258494327
114,1140,-636939.6108859996,25.436675598617633,50.75504847036936
115,1150,-637448.7706580461,25.455555540000123,50.97728916546475
116,1160,-637960.1437746314,25.474472237471574,51.197769253543804
117,1170,-638473.712938284,25.49378054128619,51.41652079327905
118,1180,-638989.4609640348,25.51321858885374,51.63357543179736
119,1190,-639507.3710409292,25.532250738760922,51.848960654673284
120,1200,-640027.4267021123,25.550801747012883,52.06270069306774
121,1210,-640549.6114127303,25.57004409960911,52.27482370626821
122,1220,-641073.9093741055,25.589242069981992,52.48535898843255
