,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-504243.7829902847,-0.0,0.0
1,10,-504243.89969057037,0.09556182734377217,0.04778091367188608
2,20,-504244.7252545008,0.5309492975153262,0.22829915172260368
3,30,-504247.9555642355,1.5023033817327813,0.6114203730568988
4,40,-504256.28650466725,2.9026839809375815,1.22463976762956
5,50,-504272.0421496571,4.470026413167943,2.034477906563552
6,60,-504296.8745946431,6.049379340079031,2.985595492886932
7,70,-504331.888946384,7.572121545622939,4.030576262580871
8,80,-504377.7918802194,9.007353347225578,5.134401671469822
9,90,-504435.00500908593,10.342040722261302,6.271919073574827
10,100,-504503.7459325319,11.572452208551116,7.425099501905788
11,110,-504584.0856972201,12.699889127528872,8.580989799948293
12,120,-504675.9897936786,13.728447197080818,9.730276120774942
13,130,-504779.3478003635,14.663813323192885,10.866287574109446
14,140,-504893.9951454822,15.512544564116979,11.984299842950712
15,150,-505019.7293291167,16.28157447356352,13.08103844078796
16,160,-505156.3220531833,16.97788345597219,14.154316447905876
17,170,-505303.5283897994,17.60826345286334,15.202765407459811
18,180,-505461.0936695243,18.179153602657607,16.225631997977327
19,190,-505628.7586586065,18.69655348554368,17.222623052349082
20,200,-505806.26340498234,19.165984591876608,18.193787232555042
21,210,-505993.3500926463,19.592463585542276,19.139424075579154
22,220,-506189.76510962413,19.98050770108533,20.06001375155829
23,230,-506395.2605049443,20.334176256816136,20.956163509241016
24,240,-506609.5950100861,20.657097927073465,21.82856702598583
25,250,-506832.53470203676,20.952501105603005,22.67797325491192
26,260,-507063.85340709315,21.223250656982437,23.505162712735178
27,270,-507303.3329008982,21.471890754993403,24.310929755020332
28,280,-507550.7629589571,21.700684265315047,25.096069580617765
29,290,-507805.9413082855,21.911633784236578,25.861368589024636
30,300,-508068.67348834296,22.106514082493938,26.607597279782922
31,310,-508338.7726588235,22.28690653439844,27.335505415583604
32,320,-508616.0593698388,22.45421661078001,28.04581878455283
33,330,-508900.3613081156,22.609688112958988,28.739236951110797
34,340,-509191.5130220981,22.754430988099205,29.41643196824443
35,350,-509489.3556399688,22.889440960207136,30.07804796708078
36,360,-509793.73659316695,23.0156112255645,30.724701247819755
37,370,-510104.50933291944,23.133720572012017,31.356980360409214
38,380,-510421.5330655975,23.24447822565558,31.97544660368294
39,390,-510744.67245351546,23.3485399761833,32.580635257493846
