,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-523203.16071276704,-0.0,0.0
1,10,-523203.23878727446,0.047862094406445975,0.023931047203222987
2,20,-523203.77993333177,0.23283272794506044,0.10607027639271109
3,30,-523205.30942006555,0.7006245408381802,0.28104921518533954
4,40,-523209.0558084554,1.5683467870403547,0.5938633203717473
5,50,-523216.72171340114,2.781717945326818,1.0680784632844733
6,60,-523230.0151514494,4.198541515495162,1.6961287174417519
7,70,-523250.38775029936,5.689797515200916,2.4524212852949856
8,80,-523278.9647712134,7.169374572031666,3.3069213042756016
9,90,-523316.56691585586,8.587821142343454,4.232108389602217
10,100,-523363.7612638376,9.91981411963934,5.205200270158821
11,110,-523420.91417537833,11.154466018996025,6.208212158822426
12,120,-523488.2370129403,12.289262586180119,7.227285949261568
13,130,-523565.82312951534,13.32647352209897,8.251895230945957
14,140,-523653.6769706636,14.271013212468832,9.274130948175298
15,150,-523751.7366175665,15.129177440125199,10.288115906148596
16,160,-523859.8912518511,15.907863851846187,11.289542566189631
17,170,-523977.9945787913,16.614071218203765,12.275312465036405
18,180,-524105.87519266823,17.254597014735925,13.243255980033428
19,190,-524243.34447229427,17.835877831923426,14.191915547657118
20,200,-524390.202682407,18.36388120803166,15.120377783961157
21,210,-524546.2435822855,18.844064178793612,16.028143008895128
22,220,-524711.2579345618,19.281382053351255,16.915024432113565
23,230,-524885.0361478553,19.680293745998675,17.781070133337924
24,240,-525067.3702449955,20.044796149944887,18.626502525867544
25,250,-525258.0553112443,20.378457573679043,19.451671597131643
26,260,-525456.8905490123,20.68445309435484,20.25701869272743
27,270,-525663.6800067512,20.96561196476683,21.043048710271247
28,280,-525878.233088559,21.224446485529178,21.810308756648734
29,290,-526100.3648681318,21.46318607387952,22.55937166191288
30,300,-526329.8962659421,21.683820917154684,23.290823609507058
31,310,-526566.6541240971,21.888110339888954,24.005254662533112
32,320,-526810.4712045481,22.0776211477816,24.703251530707348
33,330,-527061.1861030816,22.253764132675123,25.38539260557591
34,340,-527318.6431695889,22.41777421800074,26.052244000275095
35,350,-527582.6923416208,22.57076835617771,26.704356698485206
36,360,-527853.1889866508,22.713757009094103,27.342265093779133
37,370,-528129.9937439957,22.847612223448206,27.966485457660745
38,380,-528412.9723115006,22.973133613332134,28.577515048053463
39,390,-528701.9952676932,23.09105159497127,29.175832244925548
40,400,-528996.9378822591,23.202010018634667,29.761896493170934
41,410,-529297.6799212317,23.30658100794244,30.3361482160617
42,420,-529604.1054630363,23.405297520838182,30.89900930801523
43,430,-529916.1027025828,23.498646737454692,31.45088388065342
44,440,-530233.5638033572,23.587036631838387,31.9921584661759
45,450,-530556.3846902014,23.670859340782044,32.523202521586796
46,460,-530884.4649042524,23.750476089346954,33.044369418614956
47,470,-531217.7074416784,23.826213518020847,33.5559971239869
48,480,-531556.0185930515,23.89836995028884,34.05840883421042
49,490,-531899.3078216814,23.967176231561357,34.551913210630296
50,500,-532247.4875901424,24.032888924412,35.036805122645454
51,510,-532600.473243506,24.09575769273215,35.51336693044577
52,520,-532958.1828983729,24.15598798719013,35.98186896426341
53,530,-533320.5372988152,24.21374517954548,36.44256963782246
