,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-477847.42164802004,-0.0,0.0
1,10,-477847.54630707344,0.22104761865048203,0.11052380932524102
2,20,-477849.23192955385,1.107513709209161,0.4979260459527723
3,30,-477856.63752992626,2.6249748863163407,1.2123002876411193
4,40,-477873.19248527184,4.30923830762622,2.1884508904804534
5,50,-477900.72841792996,5.933466007983952,3.3204522797321263
6,60,-477940.2454240661,7.471907901292434,4.536457872304891
7,70,-477992.28703399753,8.914513626512782,5.795867837401602
8,80,-478057.1110822023,10.254708644805937,7.073538101024315
9,90,-478134.7857279309,11.491024197422666,8.352847624514835
10,100,-478225.2502835625,12.625614980002869,9.622518606705126
11,110,-478328.35564051947,13.662695988199262,10.874830991532509
12,120,-478443.89194484276,14.607647621323117,12.104514611581545
13,130,-478571.6080839742,15.466534842865084,13.30803332052892
14,140,-478711.22576486075,16.245789171682564,14.483106801386022
15,150,-478862.449865407,16.951961811180812,15.628378951223569
16,160,-479024.97612536926,17.591525709233252,16.743179523343137
17,170,-479198.4968783363,18.17071982572959,17.82734763780755
18,180,-479382.70530015085,18.69543878337133,18.881098317840955
19,190,-479577.29852614965,19.171163634011464,19.90492036798169
20,200,-479781.97989445104,19.602927006228157,20.89949784929559
21,210,-479996.46051845566,19.9953036996929,21.86564968396779
22,220,-480220.4603427637,20.352422584238198,22.804283402216974
23,230,-480453.708803523,20.677991793770353,23.716360021683798
24,240,-480695.94519577496,20.975323016778574,24.60286747860082
25,250,-480946.91881344904,21.247368727126716,25.464800749326244
26,260,-481206.38892048085,21.49674944829605,26.303147151720626
27,270,-481474.1246133385,21.725795824643903,27.118875731880692
28,280,-481749.9045674149,21.936588792083775,27.912930084047552
29,290,-482033.5167774126,22.130955994155354,28.686223090701972
30,300,-482324.75819833763,22.310515291974298,29.43963321903066
31,310,-482623.4343980304,22.4767333922733,30.17400309850346
32,320,-482929.359182983,22.630901677068323,30.89013889514754
33,330,-483242.35425528337,22.774146417637564,31.588809558361394
34,340,-483562.2487947247,22.90750323141988,32.270747430391935
35,350,-483888.8791384971,23.03188761821358,32.9366494438873
36,360,-484222.0884102681,23.148100263933884,33.58717780241641
37,370,-484561.7261789888,23.25687380348393,34.22296127339651
38,380,-484907.6481372158,23.358863299194383,34.84459681628505
39,390,-485259.71578575455,23.45466390661176,35.45265110006367
40,400,-485617.7961413206,23.544794632122006,36.047661852280726
41,410,-485981.76145806554,23.629694908208272,36.63013879625796
42,420,-486351.4889400575,23.709843734797353,37.200565851795545
43,430,-486726.8604912626,23.78565434427725,37.759403272353666
44,440,-487107.7625423514,23.85741258841587,38.307087609681915
45,450,-487494.0857145473,23.925420929939687,38.84403258124658
46,460,-487885.7247015438,23.989980470875096,39.37063124887136
47,470,-488282.57797865866,24.051481830960256,39.887258734152425
48,480,-488684.5477133196,24.110016348422505,40.394271565770765
49,490,-489091.53958900913,24.165721212438214,40.89200656136382
50,500,-489503.46240538574,24.21900982524683,41.38078565157994
51,510,-489920.2283187167,24.269948564479964,41.86091642203319
52,520,-490341.7523053121,24.318716202641298,42.332690903874756
53,530,-490767.9523022003,24.365439527943128,42.79638735057161
54,540,-491198.7489100097,24.410301226837404,43.25227129528358
55,550,-491634.0652966484,24.453489656894778,43.700597054365794
56,560,-492073.82721931976,24.494905165222008,44.14160601619588
57,570,-492517.96264721063,24.534832469689718,44.575528355281136
58,580,-492966.40188946214,24.573441844663343,45.00258619986489
59,590,-493419.07742406736,24.610614849271993,45.422990748388116
60,600,-493875.9237608767,24.64647138651344,45.83694254256334
61,610,-494336.8773635338,24.681215110339647,46.24463484600565
62,620,-494801.8766132156,24.714958765488788,46.64625407148633
63,630,-495270.8617063512,24.747646903806935,47.041978151140945
64,640,-495743.7746002419,24.779212934523912,47.43197564825387
65,650,-496220.5588408536,24.809919941872064,47.81640878731923
66,660,-496701.1595953523,24.83989668023996,48.19543536079
67,670,-497185.5236183972,24.868954886545353,48.569205611817594
68,680,-497673.5990732992,24.89722405751226,48.93786265134112
69,690,-498165.33553318644,24.924890216044346,49.30154562178649
70,700,-498660.6839771623,24.95184853150572,49.660388257790316
71,710,-499159.59665969515,24.977992241583706,50.01451710111504
72,720,-499662.02708018624,25.003680789854997,50.36405512708079
73,730,-500167.92989450897,25.02904920229188,50.70912364308387
74,740,-500677.2611169823,25.05350139490313,51.04983590176561
75,750,-501189.9776768309,25.077366726218212,51.386298761437494
76,760,-501706.03758696484,25.101159369247142,51.718620412655575
77,770,-502225.40005474014,25.1243954557767,52.04690504406971
78,780,-502748.0251934575,25.146868764795308,52.37124834580463
79,790,-503273.8740666524,25.1691115190608,52.69174439667331
80,800,-503802.90863008593,25.191138452268262,53.008487186171266
81,810,-504335.0919324983,25.212612530705634,53.32156521218131
82,820,-504870.3876359405,25.23379680896172,53.63106323755347
83,830,-505408.76047119894,25.254755340045026,53.937064932603974
84,840,-505950.1758109702,25.275178333825778,54.239649503047985
85,850,-506494.5999763285,25.29520384483476,54.53889230986461
86,860,-507041.99978520646,25.315361525432856,54.83486996104912
87,870,-507592.3431067968,25.33505663253315,55.127656069249504
88,880,-508145.59834619873,25.354371408268406,55.417318771455754
89,890,-508701.7345391651,25.37381743486185,55.70392723606273
90,900,-509260.7216214675,25.39235519264178,55.987545412172764
91,910,-509822.5299344255,25.410912144188284,56.268234448528524
92,920,-510387.130387933,25.429939542431384,56.54606103809055
93,930,-510954.4949613976,25.448106703690428,56.82108500923277
94,940,-511524.5956498517,25.46606018405278,57.093360554146045
95,950,-512097.40541060787,25.4839894255565,57.36294458121701
96,960,-512672.89753312536,25.50176807851551,57.62989255009379
97,970,-513251.0459606289,25.51943930440639,57.89425776040517
98,980,-513831.8251530984,25.536511290541966,58.1560895848852
99,990,-514415.20999077545,25.55366067674317,58.41543680010291
100,1000,-515001.1758389043,25.571132640179428,58.67235135561059
101,1010,-515589.69873230654,25.58813608697688,58.926880959836126
102,1020,-516180.75497776625,25.604814516342884,59.17906869750951
103,1030,-516774.3213891196,25.62207899896435,59.42896151842506
104,1040,-517370.3752203601,25.638484561326692,59.67660248769826
105,1050,-517968.894367874,25.654028670134945,59.922026473991
106,1060,-518569.8564185545,25.670926283521112,60.165277790199625
107,1070,-519173.24030993134,25.68756506871432,60.40640241591028
108,1080,-519779.02475874266,25.70310014181902,60.64543360068856
109,1090,-520387.1890800517,25.719249815688663,60.882407644842175
110,1100,-520997.71276565,25.73615400811832,61.11736837322461
111,1110,-521610.5761069852,25.751580915998705,61.35034900367756
112,1120,-522225.75937401486,25.766599428304232,61.58137657764528
113,1130,-522843.24298289744,25.78252291702528,61.810487999188624
114,1140,-523463.0083393184,25.79816977872712,62.03771982644903
115,1150,-524085.03641559446,25.814226416012307,62.26310546092573
116,1160,-524709.309294018,25.82951372418877,62.48667533883199
117,1170,-525335.8087096536,25.844518006562513,62.70845610785982
118,1180,-525964.516977588,25.860270514263874,62.92848018344084
119,1190,-526595.4167363645,25.876046403744756,63.14678048492351
120,1200,-527228.4908545526,25.890608805930242,63.363380905664236
121,1210,-527863.7225937993,25.90472849932001,63.57830277499743
122,1220,-528501.0949344526,25.920687171648197,63.79157943211322
123,1230,-529140.5919978456,25.936636556984915,64.00324523852615
124,1240,-529782.1976003104,25.951265214918408,64.21332091891236
125,1250,-530425.8960804469,25.965574992005358,64.42182541732763
126,1260,-531071.6716420441,25.980140220519388,64.62878351182152
127,1270,-531719.5091470457,25.995255378025107,64.83422283145774
