,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-510500.7479883172,-0.0,0.0
1,10,-510500.83013832045,0.056978862144751466,0.028489431072375733
2,20,-510501.4026979539,0.3054582318756729,0.1333434201136697
3,30,-510503.2735928127,0.9267296808800892,0.36416292489593616
4,40,-510508.16657222813,1.9771499497466722,0.7657616154276183
5,50,-510518.07344305003,3.3103887525358,1.3439442343995323
6,60,-510534.7019459998,4.761668314476265,2.071788802526134
7,70,-510559.35640330764,6.2295415118453095,2.91356174624525
8,80,-510592.98177520133,7.659494723624084,3.8372474173178492
9,90,-510636.23674363294,9.02253688211058,4.817217886550498
10,100,-510689.559078021,10.303421820921358,5.8336410266027094
11,110,-510753.2172478787,11.494867579509446,6.8713060985355705
12,120,-510827.3500681243,12.594654338801048,7.918577343539074
13,130,-510911.99727059546,13.603962029376996,8.966583916477976
14,140,-511007.12323935697,14.526270364376256,10.008608595456463
15,150,-511112.63563801796,15.366530035571486,11.039621633465142
16,160,-511228.40004020213,16.13052614605985,12.055918243381893
17,170,-511354.25141886866,16.824416534867485,13.054832965883541
18,180,-511490.00315641245,17.454392251360694,14.034512975525285
19,190,-511635.45406215434,18.026449522703487,14.993737455327208
20,200,-511790.3938109591,18.54625327902612,15.931774037900322
21,210,-511954.6071254878,19.019059352658235,16.848265116367838
22,220,-512127.87697206385,19.4496740027593,17.74313790837696
23,230,-512309.98696854064,19.84245485807912,18.616533668200283
24,240,-512500.72317680996,20.2013299474376,19.468752423077966
25,250,-512699.87542873796,20.529813681969244,20.300209737288966
26,260,-512907.2382648018,20.8310459969973,21.111403049332147
27,270,-513122.6115908264,21.107826635176025,21.902885766165127
28,280,-513345.80111586594,21.3626418923726,22.675247192672394
29,290,-513576.6186071892,21.597705633782628,23.429097175815695
30,300,-513814.8820267763,21.81498289166484,24.16505445907533
31,310,-514060.41556235723,22.016224327377824,24.883737899646803
32,320,-514313.04958154226,22.20298190363684,25.58575988426819
33,330,-514572.6205489154,22.376641240656355,26.271721495310338
