,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-532717.1971860686,-0.0,0.0
1,10,-532717.2679058593,0.03527257513487712,0.01763628756743856
2,20,-532717.714276045,0.15007180064567366,0.07279052529629554
3,30,-532718.820248446,0.42708108717051807,0.18148865665280028
4,40,-532721.2328020342,0.9925683846115135,0.37673988592432583
5,50,-532726.0670055283,1.8844556404364994,0.6892564980444149
6,60,-532734.6770118696,3.035172289627371,1.130633086223679
7,70,-532748.389407734,4.3390475661755765,1.6934960793718346
8,80,-532768.3557036358,5.704606627160684,2.3599659625819185
9,90,-532795.5063674608,7.068103740640801,3.109176306815061
10,100,-532830.5574285379,8.389471396338193,3.9213223066675704
11,110,-532874.0371215905,9.645220666713431,4.779214997698727
12,120,-532926.3170390252,10.8227933933842,5.6685838436373155
13,130,-532987.6414054172,11.916766025018292,6.577870723170053
14,140,-533058.1526274906,12.92634636578732,7.497863105327996
15,150,-533137.9126616287,13.853694095902034,8.421308135874277
16,160,-533226.9206341439,14.702786782197663,9.34256002601469
17,170,-533325.1271020959,15.478640403473403,10.25727624247229
18,180,-533432.4456077527,16.18675484431441,11.162162450994948
19,190,-533548.7618729242,16.832747607151386,12.05476157229714
20,200,-533673.9411476821,17.422124742646705,12.933281733156765
21,210,-533807.8340071359,17.960132392239757,13.796457051538164
22,220,-533950.2809370969,18.451673897576992,14.643435476298329
23,230,-534101.1159173329,18.901267685453053,15.473688824840066
24,240,-534260.1692245073,19.313036675937482,16.28694087918557
25,250,-534427.2695974177,19.690720622675162,17.08311022238777
26,260,-534602.2459063776,20.037693737994395,17.862264899033473
27,270,-534784.9284304987,20.356983711812063,18.624586343074043
28,280,-534975.1498093832,20.651305346633308,19.370340832683723
29,290,-535172.7457579676,20.923088048561464,20.099857039834024
30,300,-535377.5555771698,21.1745066517906,20.813508381419524
31,310,-535589.4225172276,21.407509870256785,21.51169924287824
32,320,-535808.194020492,21.623830791283353,22.194854016254247
