,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-580981.8128301803,-0.0,0.0
1,10,-580981.8541452633,0.022372259286930783,0.011186129643465392
2,20,-580982.1420844764,0.08920682122115978,0.04467396459222073
3,30,-580982.8316658009,0.24858752942236606,0.10840692480123834
4,40,-580984.255475197,0.607474788336549,0.22577252824703464
5,50,-580987.1236867307,1.2370744128274964,0.4254143180718529
6,60,-580992.4436138009,2.119427714293124,0.7257407355456963
7,70,-581001.3123029632,3.1813006060780027,1.1295954693137902
8,80,-581014.7612705001,4.343802617979237,1.6283188905144925
9,90,-581033.6797798019,5.545034412533277,2.2078640215011545
10,100,-581058.7979402893,6.742903460370142,2.8530666618826217
11,110,-581090.6918540295,7.911713566901746,3.5498351788512084
12,120,-581129.8062239198,9.0350323008257,4.2859182020023585
13,130,-581176.4737957732,10.103410209182766,5.050970581556612
14,140,-581230.9312818865,11.112719581567214,5.836446124108624
15,150,-581293.3431535452,12.05915850949532,6.635300916623964
16,160,-581363.8069672291,12.943207678664479,7.441748106898741
17,170,-581442.3702673424,13.768126868503165,8.251168254754157
18,180,-581529.0406717684,14.534430244396201,9.05984733610676
19,190,-581623.7929737715,15.245271111596969,9.864772854604235
20,200,-581726.573110184,15.90668199694482,10.663631249569882
21,210,-581837.3109878039,16.519747997535145,11.454625632768149
22,220,-581955.9189125936,17.084552159742454,12.236238242400578
23,230,-582082.2951884982,17.60868059117638,13.007320922914369
24,240,-582216.3275371118,18.099516082042832,13.767191578779602
25,250,-582357.9031815251,18.55302024341654,14.515325235357158
26,260,-582506.9020217668,18.97129541018512,15.25121824426751
27,270,-582663.1960069414,19.365824570899743,15.97467722925212
28,280,-582826.663114745,19.733645841747077,16.685690143083047
29,290,-582997.1789428331,20.07315119523552,17.384165489682346
30,300,-583174.6151303544,20.392380007950113,18.070127303525805
31,310,-583358.8489838217,20.69272041678489,18.74375385876774
32,320,-583549.7569859744,20.974805223662372,19.405238745496902
33,330,-583747.219309219,21.23917753733401,20.054775797379264
34,340,-583951.1173481239,21.48698620621003,20.692566608909694
35,350,-584161.3340922374,21.72388385329399,21.31889289808169
36,360,-584377.7565175749,21.94727600404289,21.93405737381982
37,370,-584600.2761710881,22.1563681110332,22.538291031532573
38,380,-584828.7815492526,22.35896649150527,23.131898338931208
39,390,-585063.1710803291,22.55004483437803,23.7151984053533
40,400,-585303.3423351318,22.730241404380678,24.288429561810332
41,410,-585549.1942406823,22.907122909388285,24.851912736796656
42,420,-585800.6333624155,23.075478440138962,25.40597597089654
43,430,-586057.56581363,23.236066484879103,25.950870867156482
44,440,-586319.9010358326,23.389168537000707,26.48684369285038
45,450,-586587.552332145,23.53736111092444,27.014155933518488
46,460,-586860.4315897379,23.684092807560162,27.53311795947084
47,470,-587138.4609494254,23.821962172188748,28.04397888034873
48,480,-587421.5570069541,23.957386473566345,28.54696011893975
49,490,-587709.643577065,24.09160363254488,29.04234891816741
50,500,-588002.6469128983,24.220852227590495,29.530390130571323
51,510,-588300.4928199148,24.34273057486576,30.011252874169443
52,520,-588603.1135006245,24.467178693483547,30.485168429082844
53,530,-588910.4344004705,24.596681716374512,30.952473929809642
54,540,-589222.4009950381,24.711551776441066,31.413328761541926
55,550,-589538.939514397,24.825912492829918,31.867829539709785
56,560,-589859.9933426194,24.942514246725537,32.31622067334101
57,570,-590185.4998374091,25.058908245654433,32.75873667801206
58,580,-590515.4017718055,25.176789214607602,33.19559294895589
59,590,-590849.6453591902,25.290527189642265,33.62696073689585
60,600,-591188.1735038982,25.404770140943498,34.052993656344185
61,610,-591530.9370010998,25.516189082595563,34.47384916502633
62,620,-591877.8817494182,25.630187105789126,34.88969331317203
63,630,-592228.9605702767,25.743067113531243,35.30069842693338
64,640,-592584.1255995226,25.859317946061537,35.70703440484358
65,650,-592943.3289439701,25.980210202804255,36.10890809708799
66,660,-593306.5315233433,26.092191893613105,36.50642398828495
67,670,-593673.6851393268,26.2117435092805,36.899702134879774
68,680,-594044.7508967965,26.338185761822388,37.28897529167007
69,690,-594419.6901367786,26.456146195559995,37.67434962658736
70,700,-594798.4633206978,26.576682679966375,38.05589427861705
71,710,-595181.0320305757,26.710169240107593,38.43382750971214
72,720,-595567.3624204162,26.84824651291123,38.808373449432835
73,730,-595957.4219070432,26.982033379632256,39.1796280535782
74,740,-596351.1772126418,27.11390337940544,39.547638551244745
75,750,-596748.5964593352,27.256705185281938,39.912551969007474
76,760,-597149.6481688563,27.41039436799474,40.27459487880405
77,770,-597554.3079210593,27.5638943877187,40.633912747891735
78,780,-597962.5456484223,27.719820767920353,40.99059023385343
79,790,-598374.3382889589,27.893468331737733,41.34482233143062
80,800,-598789.6584206899,28.079255667747987,41.696858618162516
81,810,-599208.4919319631,28.25741644330835,42.046782462649574
82,820,-599630.8108207913,28.448244663042715,42.39467586569518
83,830,-600056.5998546925,28.66229490335117,42.74080519930577
84,840,-600485.8404134113,28.89120569138322,43.0854410888831
85,850,-600918.5209315921,29.140146276607872,43.42882517648833
86,860,-601354.6277230271,29.395083921094066,43.77113945234888
87,870,-601794.1550185042,29.66946406464558,44.11255526434398
88,880,-602237.0871646993,29.99209132776602,44.45347903545189
89,890,-602683.4302383197,30.340709387973956,44.79434206879669
90,900,-603133.1793751569,30.73599329541327,45.13555101063248
91,910,-603586.3417320173,31.186117011698467,45.477658820213406
92,920,-604042.932027079,31.701099263038486,45.82129969443777
93,930,-604502.9614090169,32.34506381356326,46.167486469935106
94,940,-604966.4677656373,33.12343602177002,46.51757315195864
95,950,-605433.4929414201,34.11788176129644,46.87332944017981
96,960,-605904.0985833538,35.53299152394743,47.2379649031107
97,970,-606378.3898977228,37.80671674553014,47.617912550522306
98,980,-606856.5348142053,38.17228124100352,48.00754907069059
99,990,-607338.8772526834,28.615123996976763,48.346826435902045
100,1000,-607824.5515680122,17.66920734691695,48.57969330090419
101,1010,-608310.9262739054,8583.787107170298,91.16203491768974
102,1020,-608799.636004758,,
103,1030,-612682.4949415316,,
104,1040,,,
105,1050,,,
106,1060,,,
107,1070,,,
108,1080,,,
109,1090,,,
110,1100,,,
111,1110,,,
112,1120,,,
113,1130,,,
114,1140,,,
115,1150,,,
116,1160,,,
117,1170,,,
118,1180,,,
119,1190,,,
120,1200,,,
121,1210,,,
122,1220,,,
123,1230,,,
124,1240,,,
125,1250,,,
126,1260,,,
127,1270,,,
128,1280,,,
129,1290,,,
130,1300,,,
131,1310,,,
132,1320,,,
133,1330,,,
134,1340,,,
135,1350,,,
136,1360,,,
137,1370,,,
138,1380,,,
139,1390,,,
140,1400,,,
141,1410,,,
142,1420,,,
143,1430,,,
144,1440,,,
145,1450,,,
146,1460,,,
147,1470,,,
148,1480,,,
149,1490,,,
150,1500,,,
151,1510,,,
152,1520,,,
153,1530,,,
154,1540,,,
155,1550,,,
156,1560,,,
157,1570,,,
158,1580,,,
159,1590,,,
160,1600,,,
161,1610,,,
162,1620,,,
163,1630,,,
164,1640,,,
165,1650,,,
166,1660,,,
167,1670,,,
168,1680,,,
169,1690,,,
170,1700,,,
171,1710,,,
172,1720,,,
173,1730,,,
174,1740,,,
175,1750,,,
176,1760,,,
177,1770,,,
178,1780,,,
179,1790,,,
180,1800,,,
181,1810,,,
182,1820,,,
183,1830,,,
184,1840,,,
185,1850,,,
186,1860,,,
187,1870,,,
188,1880,,,
189,1890,,,
190,1900,,,
191,1910,,,
192,1920,,,
193,1930,,,
194,1940,,,
195,1950,,,
196,1960,,,
197,1970,,,
