,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-476040.65952991456,-0.0,0.0
1,10,-476040.7743915628,0.14134103149117436,0.07067051574558718
2,20,-476042.0024749652,0.7129486570425798,0.31957819575181934
3,30,-476046.6577561189,1.8359335099186864,0.8038042783322454
4,40,-476057.60439315665,3.317700989526929,1.5245058203428927
5,50,-476077.0202341406,4.911986874467402,2.4304171314804988
6,60,-476106.3833212434,6.507311723171733,3.463891795858217
7,70,-476146.6786071581,8.055240240461716,4.581542075679318
8,80,-476198.5443274846,9.528084764233789,5.752421676334052
9,90,-476262.3669244067,10.909012877085479,6.953983245047857
10,100,-476338.345757547,12.188835591470708,8.169481295570586
11,110,-476426.5397433313,13.364213528404076,9.386387326435216
12,120,-476526.9025299753,14.43622293080552,10.595360866509873
13,130,-476639.3097023592,15.409064259243305,11.789526472956641
14,140,-476763.58004550624,16.28893933359068,12.96393062396237
15,150,-476899.49216680013,17.083141945848187,14.115116522166499
16,160,-477046.7973877046,17.7993844246259,15.240785350297664
17,170,-477205.22967643,18.44532790534432,16.339525757842054
18,180,-477374.5131909645,19.028284530286328,17.410598861291508
19,190,-477554.36795760185,19.5550551872904,18.453769035921137
20,200,-477744.5140709584,20.031847477279356,19.469171938308133
21,210,-477944.6747760101,20.46424545452175,20.45721206463349
22,220,-478154.5786459069,20.857235103769934,21.418484074567093
23,230,-478373.9611095698,21.215237611482735,22.353712962748247
24,240,-478602.56546649855,21.542157943965876,23.263708737555135
25,250,-478840.1435085408,21.84143034708539,24.1493323016628
26,260,-479086.4558836635,22.11607911500034,25.011470122354513
27,270,-479341.27219606715,22.368765950307754,25.8510157425917
28,280,-479604.37103792845,22.601790546788834,26.66885555170011
29,290,-479875.53979611245,22.817231966546387,27.46585950546869
30,300,-480154.5744644031,23.01692033036666,28.242875395455485
31,310,-480441.27944024955,23.202363611826136,29.000722405453416
32,320,-480735.4671179849,23.375008984701708,29.740188591997864
33,330,-481036.9576180793,23.53612814413938,30.462031109567757
34,340,-481345.5785327976,23.68672780026687,31.166973344108552
