,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-595597.9915085004,-0.0,0.0
1,10,-595598.2789277909,0.15419345238769894,0.07709672619384947
2,20,-595600.258770554,0.5509784733061679,0.29193807071424094
3,30,-595605.0215044675,1.121253206441179,0.6165582234476461
4,40,-595613.5456020737,1.8443840952706523,1.0339817697633409
5,50,-595626.7141238966,2.681650328348042,1.5326948145069765
6,60,-595645.276274546,3.597864076896803,2.1006818537498475
7,70,-595669.8599459524,4.569186403494677,2.7268743175503913
8,80,-595700.9927075311,5.577723055845128,3.401852465933189
9,90,-595739.1154045997,6.608333979937013,4.117589822475566
10,100,-595784.5977557953,7.6438271565129945,4.866910845853272
11,110,-595837.7412364911,8.667233128237426,5.643067345871532
12,120,-595898.7781126857,9.667009311367293,6.439824542704446
13,130,-595967.884279758,10.63168837407138,7.251527688655187
14,140,-596045.1818339472,11.550309585547073,8.072949836592306
15,150,-596130.7402103296,12.420053568261205,8.899462678827694
16,160,-596224.5864397389,13.240225600637501,9.727221514456323
17,170,-596326.71628375,14.00627878333617,10.552927940456721
18,180,-596437.0916095321,14.718225352076105,11.37371690955042
19,190,-596555.6483072488,15.381582541650282,12.187334990601812
20,200,-596682.3039467745,15.997013834305118,12.992038824397605
21,210,-596816.9626097827,16.564829228862067,13.78636486618052
22,220,-596959.5103116854,17.091138847137334,14.569200535904383
23,230,-597109.8289679906,17.578785836018522,15.339783027877274
24,240,-597267.7914745002,18.02865156861955,16.097527453731164
25,250,-597433.2671276524,18.444746298991934,16.842019287390578
26,260,-597606.1203899294,18.83077130750751,17.573044430822485
27,270,-597786.2168813926,19.18737093518723,18.2904963322595
28,280,-597973.4197227547,19.517435307393306,18.994343646733615
29,290,-598167.5923698517,19.82534503561035,19.6846855709402
30,300,-598368.6011060192,20.10923284632737,20.361655745429744
31,310,-598576.3131618081,20.372445215482752,21.02539745225804
32,320,-598790.5947997455,20.620634595211584,21.676182693864394
33,330,-599011.320979849,20.851875816093525,22.31431762177963
34,340,-599238.3642867157,21.066331178654206,22.94005412206607
35,350,-599471.6037988791,21.264614203872068,23.553633312899912
36,360,-599710.9176927197,21.450230999838134,24.15533339081012
37,370,-599956.1890341422,21.62717431484776,24.74551237817068
38,380,-600207.3046887235,21.79042701362628,25.32448763544962
39,390,-600464.1549983943,21.94179610881257,25.89250885868387
40,400,-600726.6289763206,22.089667792199208,26.44993478440447
41,410,-600994.6253689119,22.2269721548073,26.997116267841193
42,420,-601268.0429317099,22.35172916205482,27.534268917709415
43,430,-601546.7805903122,22.47386641575434,28.061684959633567
44,440,-601830.7442482059,22.586163822992255,28.579669940257737
45,450,-602119.8417339597,22.686818119560435,29.088406649675747
46,460,-602413.9784409046,22.790981316473335,29.588210464347505
47,470,-602713.068938158,22.891728695077454,30.079467550806296
48,480,-603017.0308782264,22.979939606878872,30.562370950382316
49,490,-603325.7784646499,23.066198561785875,31.037114694366753
50,500,-603639.2332652205,23.148543162096757,31.503969499067168
51,510,-603957.3175409882,23.222206321710857,31.963123620116672
52,520,-604279.9544867444,23.295237889001257,32.41478498155484
53,530,-604607.0701124808,23.36656627023189,32.859216958000616
54,540,-604938.595122029,23.43228856366477,33.29662189728551
55,550,-605274.4578283282,23.496573290511034,33.727192743866176
56,560,-605614.5930081015,23.555916558066343,34.151118639152266
57,570,-605958.9339611143,23.61117883884585,34.568554926555954
58,580,-606307.4165488583,23.665918558317976,34.97968706970133
59,590,-606659.9793422082,23.72005091531036,35.3847209896354
60,600,-607016.5614127588,23.768402718182102,35.78380839292514
61,610,-607377.1061137533,23.811772448546296,36.17705687826966
62,620,-607741.5518784714,23.860690989135676,36.5646602682944
63,630,-608109.8471623138,23.90487112257688,36.94680639501168
64,640,-608481.9363383705,23.946288661286417,37.323607974563494
65,650,-608857.7659068251,23.984563431076822,37.69518499650731
66,660,-609237.287228683,24.017854705400442,38.06163508302271
67,670,-609620.4443826786,24.06202773821987,38.42315589894133
68,680,-610007.1943945745,24.097901499399494,38.77991372232354
69,690,-610397.4882482266,24.123717206670115,39.13191371950088
70,700,-610791.2767966421,24.157834451790983,39.479279224846685
71,710,-611188.5168773726,24.192957239114815,39.82220812352025
72,720,-611589.1636755393,24.219207707466605,40.16077000423684
73,730,-611993.175341583,24.243751079458313,40.49501203623513
74,740,-612400.5056698296,24.277790662104962,40.82510425191577
75,750,-612811.1180529601,24.30374150950207,41.15116832140775
