,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-552695.9269715358,-0.0,0.0
1,10,-552696.1062494217,0.05119564504420851,0.025597822522104255
2,20,-552696.9011366932,0.18133019771194084,0.09652819447219373
3,30,-552698.5126309954,0.44844127131218553,0.2166009557855432
4,40,-552701.5019058048,0.9867821599240414,0.41468893766141257
5,50,-552706.8982295198,1.832284258576692,0.721265133509587
6,60,-552715.9704965157,2.912155445152894,1.147173179796664
7,70,-552729.9421021129,4.121170909001377,1.6842221508690274
8,80,-552749.853456861,5.378599458467216,2.3147539676661837
9,90,-552776.5355227574,6.634769227862125,3.0195147242571694
10,100,-552810.6294144986,7.8606309939641505,3.7811445643921617
11,110,-552852.6168066369,9.03864167222055,4.585023462827667
12,120,-552902.847896112,10.158025379909665,5.419121869061201
13,130,-552961.5658784154,11.212279834545914,6.2736144586553575
14,140,-553028.9264623252,12.19804595496971,7.140500489145053
15,150,-553105.0142727616,13.114602154120806,8.013298392674189
16,160,-553189.8565884096,13.96309055532329,8.8867983776654
17,170,-553283.4349395189,14.745900198345767,9.756847904529423
18,180,-553385.6944408824,15.466402517573442,10.62017314369441
19,190,-553496.551842037,16.12856492800347,11.474231355007214
20,200,-553615.9020767276,16.736538719618697,12.317080742155667
21,210,-553743.6236180877,17.29455237494548,13.147269266692456
22,220,-553879.582790012,17.80675135436468,13.963743217656155
23,230,-554023.6373986622,18.27710653103132,14.76577051492204
24,240,-554175.6394148498,18.70936075130011,15.552877266755967
25,250,-554335.4374514645,19.106915468873908,16.324793925118865
26,260,-554502.8783076064,19.47298028174555,17.08141262452991
27,270,-554677.808569017,19.810492570351926,17.822753988088515
28,280,-554860.0756315658,20.122072700760327,18.548937688412842
29,290,-555049.5285644515,20.41012141016255,19.260159060214935
30,300,-555246.018773669,20.676783580624054,19.956670764894806
31,310,-555449.4004514862,20.92401622212492,20.638767957186793
32,320,-555659.5309605465,21.153600325621653,21.306777094889547
33,330,-555876.2710691302,21.36712679205233,21.96104644531151
34,340,-556099.4851478309,21.565999912610305,22.601937848184022
35,350,-556329.0412344008,21.751493832474758,23.22982053190062
36,360,-556564.8110997184,21.92478200902694,23.845067019315316
37,370,-556806.6702497657,22.086924471030954,24.44804983286303
38,380,-557054.4979205049,22.23885350584169,25.039138278672176
39,390,-557308.1770213156,22.38141700707785,25.618696015850578
40,400,-557567.5940607712,22.515376602299497,26.18707946705981
41,410,-557832.6390923598,22.641435231882497,26.744636738392
42,420,-558103.2055776397,22.760238228330884,27.291707019199386
43,430,-558379.1903685083,22.872322584872048,27.828619475562302
44,440,-558660.4935118686,22.978239959920757,28.3556930781022
45,450,-558947.0182238056,23.078478240888202,28.873236977292986
46,460,-559238.670755152,23.17342327096844,29.38154954885686
47,470,-559535.3602819836,23.263479967718013,29.880918413854673
48,480,-559836.9988012797,23.349030239274725,30.371621308290926
49,490,-560143.5010465172,23.430350022375933,30.85392557759333
50,500,-560454.7843726068,23.50779032902217,31.32808868519351
51,510,-560770.7686273955,23.581665164907374,31.79435938421812
52,520,-561091.3761761971,23.652102268184535,32.25297624022351
53,530,-561416.5316319326,23.71940240617267,32.70416824772256
54,540,-561746.1619046091,23.78382694683387,33.148156814828695
55,550,-562080.1960722479,23.845465800535788,33.58515439652984
56,560,-562418.5652826113,23.90455981947008,34.01536492816959
57,570,-562761.2026695091,23.961326998620603,34.43898557692155
58,580,-563108.0433461989,24.015817352489144,34.856205564067935
59,590,-563459.0242330851,24.0682225083524,35.26720645963797
60,600,-563814.0840424433,24.118640060769394,35.67216311416996
61,610,-564173.1632356498,24.167171990024638,36.07124335503177
62,620,-564536.2038320616,24.214201688131972,36.46461074878607
63,630,-564903.1495641096,24.259592925695962,36.85242302064289
64,640,-565273.9456872852,24.303221253119546,37.23482838847413
65,650,-565648.5388087127,24.345444354592427,37.6119699533956
