,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-526239.7215851974,-0.0,0.0
1,10,-526239.7931906899,0.07722388437541668,0.03861194218770834
2,20,-526240.4888577869,0.40050249336636623,0.17734950771700825
3,30,-526243.0253570499,1.1114684979926095,0.4627198807240347
4,40,-526249.2661802437,2.1959164740983397,0.9224541896517621
5,50,-526261.0771033831,3.5126929182297317,1.5482130407370276
6,60,-526280.0026674415,4.934116051479942,2.3106586701833294
7,70,-526307.2303930622,6.377350503925118,3.177360043801309
8,80,-526343.6332616492,7.7903697409667085,4.11978318860638
9,90,-526389.8256856209,9.141367818089199,5.114535065088422
10,100,-526446.2157045617,10.412113554193638,6.142994510469726
11,110,-526513.0492795933,11.593508943400234,7.190577867424873
12,120,-526590.446601691,12.682539530843492,8.245994693788816
13,130,-526678.4310879053,13.680254676923502,9.30059748232743
14,140,-526776.9526305897,14.590308652434032,10.347843575620209
15,150,-526885.905987531,15.41790066381509,11.382856049620022
16,160,-527005.1452556383,16.169077574880802,12.402069745962217
17,170,-527134.4952889268,16.850210847653216,13.402947856872926
18,180,-527273.7605746241,17.467638879432343,14.383754484663951
19,190,-527422.7321452582,18.0274492016295,15.343373233696912
20,200,-527581.1928688975,18.53536502068163,16.28116391715157
21,210,-527748.9215262247,18.99666602374927,17.196849614662643
22,220,-527925.6958932122,19.4161528981873,18.0904273888882
23,230,-528111.2950329507,19.79816431924409,18.962098467625037
24,240,-528305.5010137055,20.146603676467194,19.812214254056745
25,250,-528508.1001297971,20.464966571744327,20.641234495418033
26,260,-528718.8838069929,20.75635749125505,21.449694547838593
27,270,-528937.6491731583,21.02353805976162,22.23818004770874
28,280,-529164.1994579592,21.268970067042382,23.007307863504685
29,290,-529398.3441988303,21.494847166916568,23.757711713638855
30,300,-529639.8993518783,21.703097865072767,24.490030824612766
31,310,-529888.6872895601,21.895429073562273,25.20490120419563
32,320,-530144.5367096176,22.073396862857066,25.90295011200942
33,330,-530407.2825468364,22.238381029909952,26.58479210511141
34,340,-530676.7658134354,22.391577780758922,27.25102518077183
35,350,-530952.8334174823,22.53404693200716,27.902228045483934
36,360,-531235.3379499365,22.66677453818268,28.53895931468578
37,370,-531524.137484622,22.79066716177914,29.161757616388787
38,380,-531819.09539148,22.90647011691473,29.771140527652463
39,390,-532120.0801108554,23.014865374081985,30.36760382683424
40,400,-532426.9649068308,23.116492275381404,30.9516223568673
41,410,-532739.6277272161,23.211924573525945,31.523650761206227
42,420,-533057.950914457,23.30167638451679,32.08412392144237
43,430,-533381.8211236486,23.38615676498439,32.633456886188654
44,440,-533711.1289948303,23.46583822082036,33.17204619410477
45,450,-534045.7690845135,23.541109380676062,33.70027132862161
46,460,-534385.6396554044,23.61225541940651,34.218494160840066
47,470,-534730.6424759391,23.679609853439615,34.72705985417271
48,480,-535080.6827119953,23.74344602376226,35.22629816004191
49,490,-535435.6687268144,23.804062839207507,35.7165243231895
50,500,-535795.5119736061,23.861658929381413,36.1980395128834
51,510,-536160.1268657218,23.91641526975447,36.67113076168461
52,520,-536529.4305623603,23.9685986898957,37.13607271628715
53,530,-536903.3429773897,24.018363676618826,37.59312834795418
54,540,-537281.7865347222,24.065858922974478,38.042548711590634
55,550,-537664.6861559834,24.111251200942245,38.484573931391054
56,560,-538051.9690692492,24.154682269808717,38.91943393010733
57,570,-538443.5647899959,24.196263249599724,39.34734865932987
58,580,-538839.4049482547,24.23608131968063,39.76852831808646
59,590,-539239.4232578678,24.274303669747272,40.18317449148016
60,600,-539643.5553661013,24.31111710914415,40.591481571935574
61,610,-540051.73888077,24.34645004738713,40.99363528047397
62,620,-540463.913195354,24.380348780943358,41.38981206241151
63,630,-540880.0193889493,24.41308272748411,41.78018240320816
64,640,-541300.0002818848,24.44469519983977,42.164911209278216
65,650,-541723.8002671142,24.475147832330638,42.544155758467966
66,660,-542151.3653029155,24.504487160418652,42.91806618065456
67,670,-542582.6427747144,24.53294295096993,43.28678789871337
68,680,-543017.5815282858,24.56054193367022,43.6504617826271
69,690,-543456.1318154196,24.58707310796308,44.00922119916213
70,700,-543898.2451312641,24.612791448947924,44.363194048803415
71,710,-544343.8742318397,24.637918807342167,44.712506172484424
72,720,-544792.973186499,24.662192518450265,45.057277868781235
73,730,-545245.4971658976,24.6856752347317,45.39762306196498
74,740,-545701.4024597997,24.708558663976195,45.733652750028696
75,750,-546160.6464973445,24.730945516130465,46.065475440838775
76,760,-546623.1877107566,24.752770361036585,46.39319558437418
77,770,-547088.9856663999,24.7738176279933,46.71691170343838
78,780,-547558.0007355877,24.794352632010064,47.036718806972196
79,790,-548030.1943511063,24.814412234316002,47.35271020685904
80,800,-548505.5288130506,24.833954789442885,47.6649756662824
81,810,-548983.9672951718,24.853166594731853,47.973602492325874
82,820,-549465.4738679082,24.871957350382523,48.27867537746205
83,830,-549950.0134079261,24.890265021342202,48.58027500953903
84,840,-550437.551584888,24.908166571555313,48.878479261348545
85,850,-550928.0548291244,24.925730243514348,49.17336410021671
86,860,-551421.4903335685,24.942872925411272,49.465002745880334
87,870,-551917.8260057314,24.959663889493033,49.75346579312754
88,880,-552417.0304184934,24.97624861558421,50.03882264081767
89,890,-552919.0728898738,24.992469816302954,50.32114027811476
90,900,-553423.9233436981,25.00836804948637,50.60048278996692
91,910,-553931.5523447201,25.024040260768185,50.87691289472714
