,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-574838.3539260792,-0.0,0.0
1,10,-574838.4615372743,0.04118552414583973,0.020592762072919865
2,20,-574838.9890997258,0.19332067421637478,0.08951569269993341
3,30,-574840.3241806303,0.5765225763228954,0.23393295730784303
4,40,-574843.4906868568,1.2852708810241893,0.4906789134896826
5,50,-574849.8737916705,2.267072428061511,0.8780450164238573
6,60,-574860.844982798,3.4068795095896354,1.3886588850291446
7,70,-574877.5599821353,4.604633583698886,2.0014679096639156
8,80,-574900.9118088031,5.798279562871903,2.6927627811790447
9,90,-574931.5583645069,6.956375524282339,3.441620560763113
10,100,-574969.9700326226,8.065199998760361,4.231345867605706
11,110,-575016.4739714309,9.119533228973161,5.049130105224322
12,120,-575071.2890564371,10.117685753479602,5.885224582633237
13,130,-575134.5515173693,11.059398075108769,6.732156286788814
14,140,-575206.3336994299,11.945105681091079,7.584128668397899
15,150,-575286.657980462,12.77572105107538,8.436596953948902
16,160,-575375.5072157972,13.552631388837469,9.285974053219253
17,170,-575472.8330330241,14.277655788513952,10.129424836723775
18,180,-575578.5623106366,14.95297287813156,10.964716247053003
19,190,-575692.6025697945,15.581033887254307,11.790103812338204
20,200,-575814.8462340941,16.164499031030566,12.604243495673291
21,210,-575945.1742831697,16.706116293976077,13.406120645115152
22,220,-576083.4591556137,17.208654159720762,14.194991095138539
23,230,-576229.5671704381,17.6748895272176,14.970333600348386
24,240,-576383.3605392418,18.10747475540264,15.731809386605164
25,250,-576544.6989960148,18.508937094811696,16.47922718590562
26,260,-576713.4410474623,18.881727501004953,17.21251607205195
27,270,-576889.4451209431,19.228107285485013,17.93170227714436
28,280,-577072.5703672228,19.55018625704107,18.63688880686241
29,290,-577262.6773307389,19.84994101340418,19.328239638038212
30,300,-577459.6285244933,20.12914846575585,20.005965808100882
31,310,-577663.2887695186,20.389483485373763,20.670314252724346
32,320,-577873.5255463849,20.632498104963418,21.321559672475267
33,330,-578090.2092192472,20.859584127157046,21.959996760322245
34,340,-578313.2131909076,21.072018907411305,22.585933696270512
35,350,-578542.4140133724,21.270964450333825,23.19968724798091
36,360,-578777.6914459097,21.457495190680454,23.801578935237195
37,370,-579018.9284811551,21.632598722845447,24.391932116948013
38,380,-579266.0113622347,21.79715821346034,24.971069245456604
39,390,-579518.8295421517,21.95198418056533,25.539309653414243
40,400,-579777.2756556266,22.0978230595356,26.096968136281063
41,410,-580041.245458718,22.235353790756182,26.64435377563204
42,420,-580310.6377720779,22.36519656777967,27.181768966831438
43,430,-580585.354403373,22.487922810055945,27.709508781459586
44,440,-580865.3000757367,22.604044583486377,28.227860398989286
45,450,-581150.3823459907,22.714044094725914,28.737102809702627
46,460,-581440.511510835,22.818361178127816,29.237506742401454
47,470,-581735.600550026,22.917371261265377,29.72933422930946
