,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-542679.4010332092,-0.0,0.0
1,10,-542679.4598234667,0.04446816698182374,0.02223408349091187
2,20,-542679.9365148431,0.20814388493308797,0.09650413821509572
3,30,-542681.3561306611,0.5852915444585961,0.24608870019146706
4,40,-542684.6348741758,1.2708084859419615,0.5024883516773115
5,50,-542691.0563251149,2.270498925106949,0.8883893049307516
6,60,-542702.0413183678,3.505476704786997,1.4075622561736962
7,70,-542718.9205109696,4.871167131187395,2.047625824276474
8,80,-542742.8176072584,6.279813883802854,2.788054701384681
9,90,-542774.6199375739,7.67062332042551,3.6066888091459988
10,100,-542814.9929655681,9.005675876367606,4.483118342988019
11,110,-542864.4110233801,10.26343156336516,5.399921753322997
12,120,-542923.1910273832,11.433339613617862,6.342830520407006
13,130,-542991.5236785077,12.511985799888501,7.300449894047051
14,140,-543069.5002212437,13.500498940306718,8.263840793559211
15,150,-543157.134751481,14.402733079317835,9.226092572642665
16,160,-543254.3822692194,15.224063900858155,10.181935672188411
17,170,-543361.1531126659,15.970635582189429,11.127412245036977
18,180,-543477.3244769472,16.64879903530819,12.059603460853397
19,190,-543602.7494399265,17.26481293001853,12.976407283091978
20,200,-543737.2640158646,17.82465630915249,13.8763608731897
21,210,-543880.6927417766,18.333857709565194,14.758497702574827
22,220,-544032.8528674003,18.79751735726021,15.622234427805237
23,230,-544193.5576773592,19.22029259174595,16.467283179025983
24,240,-544362.6190232219,19.60637152832932,17.29358170017949
25,250,-544539.8492087536,19.959489061730018,18.101237554920953
26,260,-544725.0624649241,20.2829703044321,18.89048445739463
27,270,-544918.0759226467,20.579864005770624,19.661650171333164
28,280,-545118.7104763254,20.852887234056844,20.415131750355066
29,290,-545326.7913239558,21.10434592276291,21.151372769828594
30,300,-545542.1483266325,21.336299251997843,21.870845790512977
31,310,-545764.6161679169,21.550712964156983,22.574042922629452
32,320,-545994.0345759422,21.749263301771123,23.2614673063028
