,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-603510.9271010924,-0.0,0.0
1,10,-603510.9909295281,0.02385289887315594,0.01192644943657797
2,20,-603511.3271872667,0.09101131713832729,0.046605728157737766
3,30,-603512.0727023545,0.24164545119856484,0.10963279930874707
4,40,-603513.5474997837,0.5693838539766147,0.22108002292225137
5,50,-603516.3764145302,1.143197953220806,0.40657279999140883
6,60,-603521.4616508405,1.9632716531341434,0.6844985664080014
7,70,-603529.8257103317,2.972948952642037,1.0604580341198018
8,80,-603542.4642795848,4.100330015458166,1.5290821567032253
9,90,-603560.2632858625,5.283868756206358,2.0789010469030473
10,100,-603583.9685584065,6.478520253556781,2.696375323814573
11,110,-603614.184722532,7.653486528553182,3.368187087790284
12,120,-603651.3869182423,8.788499617169148,4.082260323136871
13,130,-603695.9370193054,9.870763973591968,4.828092575400661
14,140,-603748.1002768021,10.892815297795455,5.596766461394146
15,150,-603808.060897536,11.851019370296854,6.38082955818245
16,160,-603875.9359647841,12.744456952810289,7.174127816967665
17,170,-603951.7874940874,13.574116517428775,7.971630817843833
18,180,-604035.6327951482,14.342269482649868,8.769265913462732
19,190,-604127.4531883268,15.052002224617175,9.563767609681236
20,200,-604227.2013354737,15.706877445394642,10.352544867516553
21,210,-604334.8073083023,16.310675086558334,11.133566210474235
22,220,-604450.18363069,16.867206015350522,11.90526120855502
23,230,-604573.2293808236,17.380211385356954,12.666437482103355
24,240,-604703.8335732069,17.853283414710305,13.416211568866856
25,250,-604841.8779079281,18.28979686179082,14.153950910575805
26,260,-604987.2389880817,18.692902323481412,14.879225738647802
27,270,-605139.7901100115,19.065518815931853,15.591769792741982
28,280,-605299.4027142234,19.41031911270693,16.291447797298318
29,290,-605465.9475251555,19.729752630155417,16.97822878739244
30,300,-605639.2954676689,20.026052676461372,17.65216448079591
31,310,-605819.3183922032,20.30124121439584,18.31337139982934
32,320,-606005.8896246831,20.557159569207613,18.962016392523946
33,330,-606198.8844092049,20.7954760571447,19.598304981355614
34,340,-606398.1802311587,21.017698734189604,20.222471756832967
35,350,-606603.6570638517,21.225195526130847,20.834772640692247
36,360,-606815.1975420276,21.41920373694741,21.43547866042791
37,370,-607032.6870848141,21.60084445143002,22.02487090461655
38,380,-607256.0139681597,21.771133269823622,22.603236487880352
39,390,-607485.0693700482,21.930988780106418,23.17086529056833
40,400,-607719.7473766811,22.081247681984664,23.728047409415012
41,410,-607959.9449771082,22.222671467630484,24.27507119406946
42,420,-608205.5620328845,22.355948041251395,24.812221621285428
43,430,-608456.5012392584,22.481702382315355,25.339779003852165
44,440,-608712.6680681747,22.600505003554296,25.85801806832751
45,450,-608973.9707129272,22.71288226367327,26.367207347307705
46,460,-609240.3200171046,22.819305361824792,26.867608633638884
47,470,-609511.6294152747,22.920200452185203,27.359476481188903
48,480,-609787.8148402622,23.015982542512887,27.843058219044178
49,490,-610068.7946711986,23.1070050895098,28.318593803414842
50,500,-610354.4896488718,23.19359695888128,28.786315539223143
51,510,-610644.82278842,23.27608275761304,29.246448398592477
52,520,-610939.7193350486,23.354719612642675,29.699209900033022
53,530,-611239.1066568239,23.429769464352322,30.144810072677505
54,540,-611542.9141901581,23.501490456622502,30.583452026778836
55,550,-611851.0733701065,23.570091737725267,31.01533198114776
56,560,-612163.517556717,23.635765029117465,31.44063915873121
57,570,-612480.1819682893,23.6987054201803,31.85955615594139
58,580,-612801.0036125825,23.75909567801864,32.272259327147914
59,590,-613125.9212369424,23.817083682279875,32.678918809698374
60,600,-613454.8752516741,23.87281730835106,33.07969864615734
61,610,-613787.8076809733,23.926450793168797,33.474757239517935
62,620,-614124.6621023046,23.978099517506692,33.864247458944746
63,630,-614465.3836009342,24.027858600922627,34.248316519730736
64,640,-614809.9186945594,24.075873579457493,34.62710657255375
65,650,-615158.2153041337,24.122238310912323,35.00075501420797
66,660,-615510.2227078013,24.167039730632634,35.369394327845654
67,670,-615865.8914616784,24.21039937741594,35.73315258438815
68,680,-616225.173411789,24.252373796445266,36.09215348452271
69,690,-616588.0215890007,24.2930365119421,36.4465162589011
70,700,-616954.3902180099,24.332450467860372,36.79635597299202
71,710,-617324.23463604,24.370704973101965,37.14178387352876
72,720,-617697.5112816411,24.4078811929094,37.48290773138869
73,730,-618074.1776577121,24.443984152851044,37.81983145533158
74,740,-618454.1922792683,24.479106590151787,38.15265537317609
75,750,-618837.5146433036,24.51333250945016,38.48147695875814
76,760,-619224.1052264037,24.546672553976748,38.80639044229028
77,770,-619613.9254062334,24.579176676485968,39.127486752446565
78,780,-620006.9374748833,24.610916505003004,39.44485408108885
79,790,-620403.1045726315,24.64187195824908,39.75857758130296
80,800,-620802.390706186,24.672080519609096,40.06873929947615
81,810,-621204.7606362237,24.701687488405323,40.37541935512127
82,820,-621610.1799777484,24.730631102796295,40.67869543863344
83,830,-622018.6150640077,24.758965171742602,40.97864236234891
84,840,-622430.0329718001,24.786753363290217,41.27533295354078
85,850,-622844.4015231997,24.81395753812091,41.56883760823839
86,860,-623261.689181739,24.840746507782207,41.85922500915767
87,870,-623681.8651388803,24.866985732939916,42.146561665079204
88,880,-624104.8992272629,24.892674044473097,42.43091102416802
89,890,-624530.7618514496,24.918031379504765,42.71233561248228
90,900,-624959.4241246253,24.942963150649966,42.99089657032019
91,910,-625390.8576792456,24.9674535591738,43.26665239858849
92,920,-625825.0347833879,24.991597669769348,43.53966010973237
93,930,-626261.9282119029,25.015398939780425,43.8099754022609
94,940,-626701.5113541809,25.03889657707193,44.07765241450107
95,950,-627143.758055932,25.062039422715383,44.34274350523775
96,960,-627588.6427745811,25.084768693987485,44.605298812831464
97,970,-628036.1403376128,25.107407920848345,44.8653682782373
98,980,-628486.2261819371,25.12980375845204,45.12300119117718
99,990,-628938.8761895703,25.15167229149069,45.3782431235959
100,1000,-629394.0666520518,25.173374048026886,45.63113864177286
101,1010,-629851.7743333627,25.195045772855448,45.88173346138356
102,1020,-630311.9764717856,25.216485345409893,46.130071633035556
103,1030,-630774.6507131048,25.237600785511386,46.37619448048936
104,1040,-631239.7751093019,25.258466357807777,46.62014204007428
105,1050,-631707.3281028606,25.279258471884383,46.8619543957815
106,1060,-632177.2885415712,25.2999392472965,47.101671153148345
107,1070,-632649.63568632,25.320351173624083,47.33932988722809
108,1080,-633124.3491207263,25.340691424487005,47.574967301089785
109,1090,-633601.40882162,25.36085164601965,47.808619498806365
110,1100,-634080.7951411498,25.380759807187054,48.04032077070151
111,1110,-634562.4886914691,25.400795183712034,48.27010585705721
112,1120,-635046.4705287758,25.420621061278666,48.498008768832364
113,1130,-635532.7220010239,25.44022153457942,48.72406103620742
114,1140,-636021.224709638,25.45989884683513,48.94829461114277
115,1150,-636511.9606987326,25.4795716882942,49.17074158062605
116,1160,-637004.9121883413,25.499051197385498,49.3914320305339
117,1170,-637500.061856159,25.518119494637524,49.61039352668303
118,1180,-637997.3924433194,25.53738065373593,49.827654559453364
119,1190,-638496.8871570023,25.5569824349047,50.04324607864982
120,1200,-638998.5294375023,25.57630529603955,50.25719629652158
121,1210,-639502.3030401767,25.59505983044236,50.46952894529822
122,1220,-640008.1918667838,25.6139586539648,50.68026889572647
123,1230,-640516.1801001546,25.633663589344447,50.8894460206211
124,1240,-641026.2523152961,25.652860783994953,51.097086859904806
125,1250,-641538.3933108932,25.671354921359857,51.30321123436442
126,1260,-642052.5878801903,25.69045684125176,51.50784291135641
127,1270,-642568.8213552067,25.70956198226795,51.71100791662465
128,1280,-643087.0791456691,25.72860502004596,51.9127290279459
129,1290,-643607.346899357,25.747919756851932,52.1130295298979
130,1300,-644129.6106002167,25.766597718000597,52.31192996740574
131,1310,-644653.8562945948,25.785484090415505,52.50945014452882
132,1320,-645180.0702386774,25.804909034958015,52.70561389029317
133,1330,-645708.2391200892,25.823879150088953,52.90044201029377
134,1340,-646238.3495465427,25.84284954437744,53.09395280581376
135,1350,-646770.3885257791,25.862136388022915,53.286167039215805
136,1360,-647304.3431378541,25.88143943115128,53.47710508039163
137,1370,-647840.2007866951,25.900588965244044,53.666785128194896
138,1380,-648377.9489172335,25.919810077815782,53.85522518050274
139,1390,-648917.5752633674,25.938980962807648,54.04244322277373
140,1400,-649459.0676850412,25.958321954240088,54.228457202384014
141,1410,-650002.414194993,25.977924425335168,54.413285794458346
142,1420,-650547.6031162645,25.997215138178156,54.596945583762135
143,1430,-651094.622750569,26.016886739226276,54.77945320913714
144,1440,-651643.4617066815,26.03660890348266,54.960826236614956
145,1450,-652194.1087569812,26.05595233374313,55.141079240136605
146,1460,-652746.5526884607,26.07607033763187,55.320228962377584
147,1470,-653300.782612313,26.09614038466264,55.498292955383654
148,1480,-653856.7877990995,26.11550046395267,55.67528337975236
149,1490,-654414.5574582258,26.135708844035765,55.851215142813444
150,1500,-654974.0811531069,26.156249383930327,56.02610636171302
151,1510,-655535.3486018147,26.175989738499847,56.19996932236972
152,1520,-656098.34950695,26.196161213098094,56.37281636801781
