,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-503920.25697578694,-0.0,0.0
1,10,-503920.3498965655,0.1402247086938587,0.07011235434692935
2,20,-503921.50338968844,0.7057336565776495,0.3166581228382711
3,30,-503926.14472647035,1.7660146325608368,0.7874273090761563
4,40,-503936.8644767215,3.102525009401143,1.469578707344772
5,50,-503955.4864181427,4.523032699740724,2.309697603493987
6,60,-503983.2508138486,5.956511394257542,3.258376822989521
7,70,-504021.01237141294,7.3644517836364685,4.280785042770731
8,80,-504069.34722693736,8.718887979153077,5.351747811727546
9,90,-504128.620906304,10.001427546169726,6.452313174100709
10,100,-504199.0380799219,11.20148723562306,7.568022399557958
11,110,-504280.6802302891,12.314172901248089,8.687831893214025
12,120,-504373.53488184896,13.338621969928504,9.803342940502626
13,130,-504477.51836482424,14.276786686571727,10.908226036169072
14,140,-504592.4937570091,15.132536870246978,11.997780961787795
15,150,-504718.2850737796,15.91092287524952,13.06859280299541
16,160,-504854.6884517985,16.617644517961892,14.118258290023366
17,170,-505001.48091040226,17.258659721707247,15.145167320083418
18,180,-505158.42725788284,17.839873999907294,16.14832701451014
19,190,-505325.28535813483,18.366968155701734,17.12722033731843
20,200,-505501.8102284114,18.845270258199882,18.081693361028737
21,210,-505687.75710724783,19.279690472275266,19.01186536682362
22,220,-505882.88373945636,19.674742402261472,19.91805885257854
23,230,-506086.952076308,20.034500257961934,20.80074470329709
24,240,-506299.7295094145,20.36259683197133,21.66049808493335
25,250,-506520.9896545125,20.662315616064,22.497965164587367
26,260,-506750.5129407593,20.936587285803398,23.31383815548179
27,270,-506988.08693770267,21.188001735830028,24.108835236570304
28,280,-507233.50650638994,21.418876924877956,24.88368558417278
29,290,-507486.5738530941,21.631268146258662,25.639118428333312
30,300,-507747.09846762754,21.827002035322938,26.37585469466212
31,310,-508014.89700041135,22.007709648535798,27.094601120764853
32,320,-508289.7930982456,22.17483335151337,27.796045950729603
33,330,-508571.6171924364,22.32966091227282,28.480855917487496
34,340,-508860.206270553,22.473334662878184,29.149674328758554
35,350,-509155.4036401127,22.60688926353031,29.803120105296692
36,360,-509457.05866011087,22.731240787130133,30.4417873438033
37,370,-509765.02653266164,22.847196386478068,31.066244918516897
38,380,-510079.16798387666,22.955514425825122,31.677037058076532
39,390,-510399.3490969797,23.056820524630822,32.274683563657895
40,400,-510725.44100703805,23.15171667636605,32.85968028524876
41,410,-511057.3196823487,23.240784948099492,33.43250095038747
42,420,-511394.8657468758,23.32444659252642,33.99359714031597
43,430,-511737.9642042524,23.403142848245686,34.54339869156319
44,440,-512086.50424537313,23.477300616458493,35.082315766571256
45,450,-512440.37909159635,23.54722769772346,35.610739136884504
46,460,-512799.48574443086,23.613303630164722,36.12904134399868
47,470,-513163.72484800493,23.67582122544693,36.6375781263734
48,480,-513533.0005509931,23.73497997620143,37.13668793969409
49,490,-513907.220239499,23.791075892266235,37.62669339497952
50,500,-514286.29450753547,23.844328689155958,38.10790276240441
51,510,-514670.13691743574,23.89490913003101,38.58060986429627
52,520,-515058.6639270292,23.94303249833189,39.04509514562669
53,530,-515451.7947005725,23.988906127898296,39.50162704712565
54,540,-515849.4510638293,24.03263864308817,39.95046191417495
55,550,-516251.55731852277,24.074343074826174,40.391844010372
56,560,-516658.04015517986,24.11418373817574,40.826006886636605
57,570,-517068.82854961837,24.152332009874307,41.25317466007473
58,580,-517483.85366348625,24.188855294464197,41.673561836172304
59,590,-517903.0487856332,24.223787238515797,42.08737278330955
60,600,-518326.34914096125,24.25736580707607,42.494803830898306
61,610,-518753.69192825037,24.289616890350633,42.896043766369985
62,620,-519185.01619564096,24.320511992514234,43.291272148012645
63,630,-519620.2626885006,24.35033064513118,43.68066190166427
64,640,-520059.37390321906,24.379104237258616,44.06438024593954
65,650,-520502.2939761445,24.40669416670412,44.44258579907546
66,660,-520948.96855094546,24.433284635207336,44.81543024153361
