,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-566261.6985234747,-0.0,0.0
1,10,-566261.7701915847,0.04136206692492123,0.020681033462460616
2,20,-566262.2321719481,0.1971373321604915,0.09064639996504412
3,30,-566263.5680104817,0.5679375810781493,0.23458699651819187
4,40,-566266.7085670646,1.2448792250244878,0.48485316315927773
5,50,-566272.9383304596,2.2184246218239423,0.862305528469733
6,60,-566283.6337544314,3.40557123645558,1.3679455936900922
7,70,-566300.0560474122,4.7111077417066545,1.9882508925642468
8,80,-566323.2627500412,6.060137902689167,2.7035172073185096
9,90,-566354.0943800317,7.4012372792843975,3.4934556750857158
10,100,-566393.1924351645,8.700832761533093,4.339677162011504
11,110,-566441.0271005591,9.937769277853661,5.226435585445143
12,120,-566497.9254513339,11.099602868885269,6.140635823672348
13,130,-566564.097163915,12.180236421019066,7.071589908120224
14,140,-566639.6571437329,13.178306184412206,8.010714331998315
15,150,-566724.6448777972,14.09479267624557,8.95119454684027
16,160,-566819.0411395159,14.932872732263064,9.88767324226501
17,170,-566922.7787054827,15.698306290566682,10.81604040604725
18,180,-567035.7573171296,16.396236207144096,11.733206302700273
19,190,-567157.8497244401,17.03167143751635,12.636859188388916
20,200,-567288.9095752037,17.610435656504713,13.525321959736175
21,210,-567428.7768937923,18.137785012973463,14.397434875267209
22,220,-567577.2827045907,18.618587233155267,15.252436609230063
23,230,-567734.252225074,19.057484318630316,16.08987945643603
24,240,-567899.5078107653,19.458641313202662,16.90956095448928
25,250,-568072.8710073446,19.82580470692481,17.711465409319498
26,260,-568254.1639857952,20.161490804218957,18.495702480462207
27,270,-568443.2110771462,20.470498431532178,19.26250676175405
28,280,-568639.8378389855,20.756764047266905,20.012246566885736
29,290,-568843.8778112909,21.01880308772964,20.74529622441478
30,300,-569055.1642122433,21.2608982484962,21.462037685241377
31,310,-569273.5359979704,21.484574555468818,22.162911385438928
32,320,-569498.8384498324,21.688888224400614,22.848325660001137
33,330,-569730.9162163343,21.880838834235355,23.518742399632174
34,340,-569969.623797702,22.06073025946969,24.174692764572683
35,350,-570214.8186635883,22.226968834787854,24.81664339459967
36,360,-570466.3629458769,22.381947761331723,25.445031906384976
37,370,-570724.1233609391,22.526599131940706,26.06030579374201
38,380,-570987.9709248977,22.66199355940911,26.66290342130669
39,390,-571257.7811384326,22.788794827525287,27.253251583338713
40,400,-571533.433633981,22.907723445328898,27.83176216265565
41,410,-571814.812038826,23.019502233259875,28.398834342713236
42,420,-572101.8040665097,23.124668955191737,28.954853657742206
43,430,-572394.3009901788,23.223835790494892,29.50019193799526
44,440,-572692.1979932814,23.31737917108694,30.03520675806358
45,450,-572995.3935097088,23.405695386434687,30.560240257988337
46,460,-573303.7895374814,23.489103458391053,31.07561988199887
47,470,-573617.2910918045,23.568231367476983,31.581662089549358
48,480,-573935.8063890365,23.64346303953789,32.07867402848933
49,490,-574259.2467431491,23.714674931636615,32.5669465807121
50,500,-574587.5261264578,23.78228503948776,33.046755910001224
51,510,-574920.5613128053,23.846781360087334,33.518370734514605
52,520,-575258.2716919108,23.908312896208372,33.98205033263511
53,530,-575600.5792403909,23.9667387192864,34.43803926530963
54,540,-575947.4082672839,24.022428737569058,34.886570469700374
55,550,-576298.6852726704,24.07594243418142,35.32787256936571
56,560,-576654.3392343145,24.127077947510486,35.76216511212988
57,570,-577014.3010812656,24.175971713199356,36.1896553782557
58,580,-577378.5038284505,24.2228227671294,36.610542743212136
59,590,-577746.8824840455,24.267677714099367,37.02501846657251
60,600,-578119.3738175982,24.31087382562687,37.43326736749877
61,610,-578495.9165496824,24.352369981975105,37.83546757272852
62,620,-578876.451055963,24.39223411878929,38.23178872821882
63,630,-579260.9193825206,24.430526401702082,38.622393360373096
64,640,-579649.2652195658,24.467364541441157,39.00743771253329
65,650,-580041.4336606932,24.50304606556902,39.38707396774844
66,660,-580437.371486007,24.535760427679634,39.76143591042056
67,670,-580837.0267364447,24.569022909187918,40.13066380059027
