,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-570521.0977968124,-0.0,0.0
1,10,-570521.2008916998,0.07685014565940945,0.038425072829704726
2,20,-570522.0221099876,0.340098760148976,0.16187483569665345
3,30,-570524.4810873008,0.8410898197442293,0.38708116235793566
4,40,-570529.7483983657,1.5746314994990827,0.7240917364193592
5,50,-570538.9758138318,2.4986076595814666,1.170781439814891
6,60,-570553.2210017388,3.5793483639252375,1.7189212361001407
7,70,-570573.4594016394,4.777018032607157,2.358415840184898
8,80,-570600.5559275381,6.0419106633868065,3.077250830404228
9,90,-570635.2402353477,7.325339703043573,3.8618335637016576
10,100,-570678.1004066543,8.587070646433858,4.698150412859104
11,110,-570729.5781344027,9.800285910422097,5.57297148656362
12,120,-570789.9931683562,10.947853074723387,6.474599572726584
13,130,-570859.5534367685,12.020082721297518,7.393070991402784
14,140,-570938.3787736406,13.012863766268124,8.320126999808418
15,150,-571026.5136090459,13.927145374953387,9.249110313483106
16,160,-571123.9439896857,14.766904300497856,10.174814252038777
17,170,-571230.6128356565,15.534429052527422,11.093174983562495
18,180,-571346.4264664821,16.234766209399083,12.001035683734518
19,190,-571471.2636600378,16.8742854695156,12.896061555708002
20,200,-571604.9862015216,17.457303672621496,13.77655429145816
21,210,-571747.4392959338,17.98916198669175,14.641300263909216
22,220,-571898.4605439063,18.474129119032288,15.489480215431831
23,230,-572057.8800022807,18.91841452171792,16.32061666722584
24,240,-572225.524211962,19.32569273987322,17.13450514688011
25,250,-572401.2222991001,19.696401590845227,17.931051777444374
26,260,-572584.7973679175,20.03790505755457,18.710324137291174
27,270,-572776.0788384649,20.3517469700746,19.4725526684706
28,280,-572974.8980701154,20.637957405822817,20.217971825295535
29,290,-573181.0861140817,20.90328840353176,20.946908303169767
30,300,-573394.4815686073,21.14899033110122,21.65979299955361
31,310,-573614.9255116343,21.375039485274478,22.357034873114024
32,320,-573842.263720874,21.584095252398413,23.039045062808146
33,330,-574076.345605297,21.777792560483768,23.706263105073596
34,340,-574317.0259922062,21.956809298973543,24.35912391341699
35,350,-574564.1630232754,22.123009299612022,24.998061157808117
36,360,-574817.6198038901,22.279292932630064,25.62353877186688
37,370,-575077.2638804534,22.425053356171702,26.236014657501073
38,380,-575342.9683854992,22.559866793174283,26.83589627161273
39,390,-575614.608038557,22.68591043043125,27.423581629672846
40,400,-575892.0641953116,22.802333456813386,27.99945580340136
41,410,-576175.219797102,22.912577083549724,28.563906643362134
42,420,-576463.9623385809,23.018783409887632,29.117361450944735
43,430,-576758.1852893871,23.11682114169818,29.66019483261043
44,440,-577057.7831327167,23.206417212891424,30.19270436495426
45,450,-577362.6548013389,23.292067761954918,30.715214404375
46,460,-577672.7006697733,23.375027556053812,31.228091543764457
47,470,-577987.8283735235,23.45037608747663,31.731640016280288
48,480,-578307.9443177482,23.522087847394886,32.22613385072764
49,490,-578632.9597125911,23.59279515788079,32.711898406871484
50,500,-578962.7897055959,23.655707036232343,33.18919828496728
51,510,-579297.3504762774,23.715478306874793,33.65826004461269
52,520,-579636.5596590727,23.77639824362697,34.119383947776804
53,530,-579980.3416151063,23.830060671127285,34.57281505478167
54,540,-580328.6191496599,23.880561294715307,35.018743256189914
55,550,-580681.3177053852,23.931963623865276,35.45742287014582
56,560,-581038.3679449098,23.979156515118547,35.88908578755945
57,570,-581399.6988601177,24.02527853338688,36.31393345661199
58,580,-581765.2447090992,24.067905462562422,36.73216345756518
59,590,-582134.9398594351,24.106780781072988,37.14394015358993
60,600,-582508.7200287799,24.145883678051092,37.549450603288996
61,610,-582886.524438943,24.184676785749616,37.94890135622698
62,620,-583268.2926042461,24.220936098031366,38.34246654167072
63,630,-583653.9678229006,24.252621067451994,38.7302777910765
64,640,-584043.491590098,24.283481930196103,39.11247361323913
65,650,-584436.8096964249,24.31657148868558,39.48923886573176
66,660,-584833.8677521563,24.348868248111103,39.860750538736475
67,670,-585234.6156139422,24.375953364328502,40.22712176156202
68,680,-585639.000804062,24.403180016565695,40.58846700847644
69,690,-586046.9743394381,24.43083471103751,40.94493718979503
70,700,-586458.4886677421,24.454480762971897,41.29664708652564
71,710,-586873.4958676652,24.477568180227536,41.64369918982412
72,720,-587291.9505204296,24.500566267361766,41.986219251831066
73,730,-587713.8075751486,24.524610435793875,42.324338856939
74,740,-588139.0237988213,24.54841759577404,42.658183327203744
75,750,-588567.5574253367,24.56686543526292,42.98783011656343
76,760,-588999.3664921295,24.58616577958439,43.313360310120345
77,770,-589434.4096037569,24.609410858547253,43.634912769986855
78,780,-589872.6492726902,24.628184881695727,43.95258711920907
79,790,-590314.0458917139,24.643382576206932,44.26643087501872
80,800,-590758.5618916517,24.661354095908052,44.576535113916904
81,810,-591206.1598417349,24.678360398954943,44.88300413503457
82,820,-591656.8051876612,24.693029713618976,45.18590694740414
83,830,-592110.4606363974,24.711100469218277,45.485336252774864
84,840,-592567.0938640188,24.724283292121314,45.78136665672355
85,850,-593026.6703951414,24.738386498298315,46.07405493023107
86,860,-593489.1560086107,24.7587966354562,46.3635213428759
87,870,-593954.5217475316,24.770043469330933,46.649824406605326
88,880,-594422.733872568,24.779162848112236,46.93297167626879
89,890,-594893.7616256549,24.79438538314438,47.21305667417474
90,900,-595367.5749923653,24.80921280453913,47.49017993410526
91,910,-595844.1450477706,24.82078484287479,47.76438683282759
92,920,-596323.4424289647,24.83130012763438,48.035717489609674
93,930,-596805.438704982,24.841238553638885,48.30422525368195
94,940,-597290.1060830108,24.853662466432567,48.56998063193751
95,950,-597777.4167658725,24.868727272361664,48.83306900248136
96,960,-598267.3457636384,24.87561226766536,49.09351752131769
97,970,-598759.865869825,24.884385311816004,49.35134802925894
98,980,-599254.9502827108,24.898533986491593,49.606651393305214
99,990,-599752.576575968,24.907484728842974,49.85948010738939
100,1000,-600252.7174687166,24.91648815688663,50.10985792559222
101,1010,-600755.3509123044,24.925544935453217,50.357834153185834
102,1020,-601260.451249985,24.9332535728754,50.603449771234594
103,1030,-601767.9967515855,24.94014975925391,50.846740290625895
104,1040,-602277.9627777527,24.950594630208798,51.087763760653615
105,1050,-602790.3280859188,24.958720242619314,51.32656959130399
106,1060,-603305.0706880704,24.968370941618772,51.56319597470865
107,1070,-603822.167504154,24.980386921603273,51.797702089346416
