,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-519980.0869346178,-0.0,0.0
1,10,-519980.2127804589,0.10530071259854595,0.05265035629927298
2,20,-519981.2139031539,0.5216064284759341,0.23570231971752945
3,30,-519984.6765006451,1.3674723821051884,0.594015990520711
4,40,-519992.77300025953,2.554535550880246,1.1412449980649397
5,50,-520007.37318592606,3.9027494682304673,1.8508368887480173
6,60,-520029.877452874,5.300535775840398,2.6828231502244306
7,70,-520061.29186695284,6.689084801459103,3.6023262364105904
8,80,-520102.3188106607,8.036365458054933,4.582390849071817
9,90,-520153.43388970225,9.323978236912808,5.60266248113985
10,100,-520214.94199573767,10.539302737073744,6.647626408933138
11,110,-520287.01581572683,11.674159013995087,7.705235137332056
12,120,-520369.72239176295,12.726342730881875,8.7661430093307
13,130,-520463.049229075,13.695286075524924,9.823149061919684
14,140,-520566.9239302245,14.581048036389982,10.870642549640614
15,150,-520681.22198419407,15.389101969369218,11.904364330871612
16,160,-520805.7856059329,16.12492825726514,12.921238404556789
17,170,-520940.43234456476,16.793188443420515,13.91905971975575
18,180,-521084.9596022844,17.399973662052066,14.896309628638846
19,190,-521239.1560895082,17.95006579096079,15.85201238275622
20,200,-521402.80020677386,18.449121749319612,16.785610578882917
21,210,-521575.66944664315,18.902868970062997,17.69690693142693
22,220,-521757.53905476193,19.31599252813612,18.585975070422865
23,230,-521948.188268483,19.691321879041805,19.453047115369557
24,240,-522147.3978891648,20.032927739946146,20.29847199138021
25,250,-522354.95286750374,20.34606100289236,21.122745872686934
26,260,-522570.6449364676,20.632952150778156,21.9264546341059
27,270,-522794.27116412914,20.895372711769596,22.71019352198127
28,280,-523025.63498707925,21.136136720748638,23.474575881366036
29,290,-523264.5455684757,21.356650374877823,24.220225004148233
30,300,-523510.81951872056,21.560295127012026,24.947781366176788
31,310,-523764.27742161514,21.748559849387675,25.657902841670875
32,320,-524024.7511105312,21.921458933735266,26.35120886088771
33,330,-524292.0719326248,22.08437040468126,27.028343329525523
34,340,-524566.084526009,22.234275419372764,27.68992964084391
35,350,-524846.6353774583,22.3706556279212,28.33648507404869
