,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-620182.1794717815,-0.0,0.0
1,10,-620182.2352686408,0.0550098581938073,0.02750492909690365
2,20,-620182.7911298005,0.26081696570036,0.1202140996188973
3,30,-620184.5472566872,0.7073196076496969,0.30330494231893673
4,40,-620188.6191271335,1.4176685860496945,0.5984001168500981
5,50,-620196.2901728356,2.3128192213771404,1.006890612244024
6,60,-620208.623810327,3.3125712358974857,1.5142201373731952
7,70,-620226.535642755,4.362636414324515,2.101884627102118
8,80,-620250.7123017599,5.43414080652874,2.753135314247629
9,90,-620281.7104636134,6.494620015803958,3.453581337755895
10,100,-620319.9714972253,7.5187990953272665,4.190333515622478
11,110,-620365.7502623198,8.51646392158873,4.953385466824693
12,120,-620419.3058890721,9.465994976379445,5.734913920609688
13,130,-620480.7590207411,10.360398294203332,6.52780723542819
14,140,-620550.1935975068,11.206801459181586,7.326527002154034
15,150,-620627.6459277599,11.998702121840326,8.126726648805196
16,160,-620713.1007386821,12.740563832921907,8.924826005978684
17,170,-620806.5293737703,13.437291293911393,9.718183075578416
18,180,-620907.8592894396,14.092641886073393,10.50485980001249
19,190,-621017.0299757664,14.686844512369134,11.28281798284588
20,200,-621133.9348221662,15.234898290538707,12.05018634832959
21,210,-621258.4502504201,15.765510714071585,12.806428108309047
22,220,-621390.4801514739,16.249601173755938,13.5511065286104
23,230,-621529.9000692911,16.6941980442294,14.283332994983358
24,240,-621676.5702101884,17.126133180060428,15.00304478502221
25,250,-621830.3832760651,17.517724499921304,15.710193716271895
26,260,-621991.203824203,17.869761041831225,16.40419745707477
27,270,-622158.894842039,18.21489120655752,17.08515950800065
28,280,-622333.329378282,18.544084138504715,17.753616667738243
29,290,-622514.3914320226,18.837920475986923,18.409552759699
30,300,-622701.9464811302,19.127481453615474,19.053135849603862
31,310,-622895.8713605937,19.394267033485825,19.68473796576873
32,320,-623096.0668925833,19.626365021895595,20.30421067784046
33,330,-623302.3761498532,19.86639339523098,20.91187859184138
34,340,-623514.7202603137,20.091631140920775,21.50834971621225
35,350,-623732.9614159554,20.311231534549698,22.09397533054289
36,360,-623957.0108411511,20.502152481721765,22.668887898838147
37,370,-624186.7595180972,20.667858146832494,23.23293539700244
38,380,-624422.0815914127,20.860859564720872,23.786715771637684
39,390,-624662.9012506679,21.039098504991813,24.330932798025607
40,400,-624909.111141216,21.186526305857072,24.8654964089641
41,410,-625160.6215458078,21.32730773985387,25.39041710656602
42,420,-625417.3272173252,21.485735953476993,25.90628879621945
43,430,-625679.14897045,21.632986367749965,26.413617720207547
44,440,-625946.0058991044,21.759085079026455,26.9124264037644
45,450,-626217.8001033413,21.873337578173942,27.402725818409813
46,460,-626494.4655673191,21.976405420398805,27.884636874572603
47,470,-626775.8942029688,22.119653255879545,28.35882630670239
48,480,-627062.0351532906,22.239511465514028,28.825803344637094
49,490,-627352.8135394098,22.30548620542686,29.285071924499057
50,500,-627648.1376654834,22.409090722794645,29.736769833823196
51,510,-627947.9414360184,22.536069007718506,30.18180259406799
52,520,-628252.1674502544,22.614842600608263,30.62019485670607
53,530,-628560.7446808685,22.69063779876453,31.051707887070364
54,540,-628873.5932677952,22.793055179348467,31.476817315029614
55,550,-629190.6729353779,22.86230157580576,31.8957032274804
56,560,-629511.9028299132,22.948845072835624,32.30844273515104
57,570,-629837.2283183062,23.033658841557877,32.71539277654811
58,580,-630166.6044242261,23.072658550995484,33.11634464439703
59,590,-630499.9476723513,23.15865420154296,33.51150665465393
60,600,-630837.21819685,23.25194658368119,33.901532657553616
61,610,-631178.3678089059,23.299712962852166,34.28628013287816
62,620,-631523.3332671964,23.356437089032305,34.66561975029326
63,630,-631872.066445764,23.421069280160143,35.03985961613798
64,640,-632224.5170066325,23.48365202657874,35.409207149819125
65,650,-632580.6356028001,23.545261432882395,35.77379057691433
66,660,-632940.3780285852,23.588918566826177,36.13361190108845
67,670,-633303.6941514871,23.640530855164837,36.48873770167848
68,680,-633670.5353648209,23.710650014318333,36.83950258854311
69,690,-634040.8664499384,23.760555082041492,37.18602353873139
70,700,-634414.6401422414,23.79092629739908,37.528136661947066
71,710,-634791.8129832199,23.847185045355733,37.86600977264025
72,720,-635172.339734689,23.908452341286363,38.199978614531574
73,730,-635556.1945503297,23.94076984012198,38.52998740918556
74,740,-635943.3218006595,23.978769844898597,38.855983999971066
75,750,-636333.6943474889,24.02962432810449,39.178200210659995
76,760,-636727.2653638435,24.076278728968518,39.49679427676601
77,770,-637124.0099442898,24.111727844976176,39.81176050868234
78,780,-637523.8806526744,24.149058428651188,40.12313182660727
79,790,-637926.8511139972,24.18803755088313,40.431022328459946
80,800,-638332.8800740327,24.232002074830064,40.73556118668639
81,810,-638741.9393913252,24.27154767714662,41.03683556803153
82,820,-639153.9954964285,24.296179339330585,41.33480737140489
83,830,-639569.0136181235,24.341809201193914,41.629592211227276
84,840,-639986.9627136239,24.375677272793837,41.92132293315371
85,850,-640407.8188373079,24.402924067049874,42.209962862412794
86,860,-640831.5373961873,24.447713307186312,42.49564734263695
87,870,-641258.107785465,24.479623561308774,42.778472702433646
88,880,-641687.483108196,24.50437079067342,43.05838957365776
89,890,-642119.6517329606,24.532036585509385,43.3354393834059
90,900,-642554.567170564,24.575039938936243,43.60978781332233
91,910,-642992.2213148767,24.596197503906765,43.88145975531224
92,920,-643432.5734729049,24.614853474358227,44.15038007521943
93,930,-643875.6024121791,24.667709740557157,44.41677854817681
94,940,-644321.281885452,24.706364099355348,44.68081747387187
95,950,-644769.5932771119,24.714258526742654,44.942309349065184
96,960,-645220.5036444244,24.732882884424384,45.20120149229915
97,970,-645673.9901456349,24.773212170478793,45.457715560606445
98,980,-646130.0307712653,24.804927341313963,45.71196828229876
99,990,-646588.6027717539,24.82614234876812,45.96390859135717
100,1000,-647049.6823582455,24.84733437449904,46.213529820546675
101,1010,-647513.2461624583,24.883016003697556,46.46094973996223
102,1020,-647979.2728789755,24.91626537558019,46.70627154326794
103,1030,-648447.7442129662,24.929030825788285,46.949424811777135
104,1040,-648918.6344841665,24.95175152157921,47.190399868377426
105,1050,-649391.9234404938,24.980460744336597,47.429314787204206
106,1060,-649867.5929168658,25.004405773786054,47.66621467243095
107,1070,-650345.6190340192,25.0349763553068,47.90114585350385
108,1080,-650825.9869743855,25.056803501676768,48.13413544423821
109,1090,-651308.6734972101,25.071534930780608,48.36514620512027
110,1100,-651793.6613294983,25.103103680477865,48.594258262816595
