,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-582219.305125597,-0.0,0.0
1,10,-582219.5623407172,0.18427167639019898,0.09213583819509949
2,20,-582221.4036380856,0.9110565904993564,0.41203582401503813
3,30,-582227.447638013,2.4309247481811322,1.0449540963367325
4,40,-582241.7232823841,4.573484324757009,2.021793761628214
5,50,-582267.7452652847,6.865030587316142,3.2799823609544543
6,60,-582307.7777699302,8.974743409937947,4.714380703847564
7,70,-582362.9631372548,10.776999806039385,6.232061688440444
8,80,-582433.6638802092,12.266291142418051,7.768490585272957
9,90,-582519.7638652595,13.486095639926498,9.284361317225557
10,100,-582620.8814462003,14.490703986113651,10.758124052082712
11,110,-582736.5027961083,15.329612771127717,12.1794598318942
12,120,-582866.0618281359,16.04297923080158,13.54471788035007
13,130,-583008.9857733975,16.661267346548275,14.853993323167378
14,140,-583164.7188075074,17.206596962886398,16.109332618137707
15,150,-583332.7341886761,17.694653532715154,17.31367572266463
16,160,-583512.5374924872,18.136877370905125,18.470274924929257
17,170,-583703.6683467086,18.54132649851674,19.582385475079356
18,180,-583905.6983708943,18.91365919765667,20.653098029545802
19,190,-584118.2291553259,19.258091770482125,21.68526934039983
20,200,-584340.8896030739,19.57795116474152,22.681510008215266
21,210,-584573.3333150389,19.87552836073155,23.644185653065506
22,220,-584815.2367375831,20.15286798453893,24.57543224571855
23,230,-585066.2956240105,20.412040761005493,25.477191989183485
24,240,-585326.2254502459,20.653877299278975,26.351221116128727
25,250,-585594.7571343055,20.87963161393418,27.199102858809056
26,260,-585871.6372917409,21.091212905797875,28.02229573927616
27,270,-586156.6260551829,21.289506476538353,28.822146107400478
28,280,-586449.4971530909,21.47486912936438,29.599876033217882
29,290,-586750.0349856551,21.648526674706975,30.356606299008128
30,300,-587058.0353989115,21.81143312031054,31.093380644255376
31,310,-587373.30395292,21.964428081901882,31.81116949865682
32,320,-587695.6555555591,22.10795945040877,32.51087133413239
33,330,-588024.91411771,22.242395979454162,33.19331420023373
34,340,-588360.9106615197,22.36897937222966,33.859275778925806
35,350,-588703.484762475,22.488404317715244,34.509494276753685
36,360,-589052.4822138007,22.60097819409566,35.14465967049618
37,370,-589407.756440746,22.706647557672113,35.76540873403137
38,380,-589769.165964075,22.806162603251842,36.37233640953345
39,390,-590136.5758461064,22.90041944439872,36.96601261750038
40,400,-590509.8562013002,22.989644728950225,37.546978297694295
41,410,-590888.8828611533,23.07359242695672,38.11573413030565
42,420,-591273.5360832543,23.15282282103444,38.672748246912676
43,430,-591663.7006980802,23.228357687656565,39.21847427243484
44,440,-592059.266272657,23.29981480911374,39.75334207768029
45,450,-592460.1263096003,23.367430593047143,40.27775081821165
46,460,-592866.1781118861,23.43182888107261,40.792082728097746
47,470,-593277.3229705364,23.492951028174172,41.296701531221345
48,480,-593693.4654544902,23.550977478129653,41.7919492242232
49,490,-594114.5136323476,23.60609384302803,42.27815041488938
50,500,-594540.3786116593,23.658746763103444,42.75561639112274
51,510,-594970.9745748469,23.709035579807896,43.22464538404601
52,520,-595406.2187662389,23.756853772071153,43.68551819560816
53,530,-595846.0308393696,23.80251728442676,44.13850153173116
54,540,-596290.3334237201,23.846037999051738,44.58385022972361
55,550,-596739.0512678806,23.88788666392797,45.021809483898686
56,560,-597192.1118130524,23.92800420159466,45.45261498459149
57,570,-597649.4447048744,23.966135267246823,45.87648713597882
58,580,-598110.9816339574,24.00263649115813,46.293635672805244
59,590,-598576.6564824067,24.03774678822378,46.704264671445706
60,600,-599046.40499727,24.071384516951966,47.10856926096457
61,610,-599520.1650374224,24.103687722261938,47.50673534277738
62,620,-599997.8759502606,24.134895611781438,47.898942808549315
63,630,-600479.4792893053,24.16485619342147,48.2853636364467
64,640,-600964.9178036458,24.193719799444125,48.66616164534353
65,650,-601454.1363070252,24.221376548215492,49.04149336241681
66,660,-601947.0807319058,24.24796618095725,49.41150835704903
67,670,-602443.6987872364,24.273570617140017,49.77635111992277
68,680,-602943.9393972451,24.298507697845295,50.13616266708269
69,690,-603447.752951398,24.322811241529266,50.49108042023436
70,700,-603955.0913024066,24.34574679407529,50.84123086699401
71,710,-604465.9072959896,24.367867264367042,51.1867337574251
72,720,-604980.1550628791,24.389606447098576,51.52771072346368
73,730,-605497.7900165047,24.410676342836766,51.86427940376452
