,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-652541.7886374115,-0.0,0.0
1,10,-652542.1996821031,0.27938184223894497,0.13969092111947248
2,20,-652545.3241736231,1.1661772554682102,0.5709261561059975
3,30,-652554.1970451758,2.6822773197112837,1.3095166899249306
4,40,-652572.183254944,4.609666097443551,2.332771172057255
5,50,-652601.9581058447,6.5939770268887505,3.568377136926574
6,60,-652645.1389972394,8.404445731668964,4.928145317254529
7,70,-652702.4709827286,9.966678145091281,6.340421376685844
8,80,-652774.1243777459,11.28933941000141,7.757910671603167
9,90,-652859.936306156,12.406574667803948,9.152748532939585
10,100,-652959.5564553024,13.356298308266561,10.509817596564243
11,110,-653072.5419614402,14.173254132163127,11.821871336166804
12,120,-653198.413726092,14.884008620632812,13.086277186215739
13,130,-653336.6867226596,15.509476056162384,14.302962521927839
14,140,-653486.8843589503,16.068379242898658,15.473351519026618
15,150,-653648.5529486672,16.574625599445433,16.599709726254513
16,160,-653821.2646467884,17.03602950116621,17.684573168147473
17,170,-654004.6181762733,17.45955158338183,18.730465313099558
18,180,-654198.2350083793,17.85266208902465,19.739888816390884
19,190,-654401.7647017227,18.218375481697162,20.715227030370443
20,200,-654614.8779523904,18.559355596080422,21.658641854001324
21,210,-654837.2657018703,18.879008740899735,22.572125952019995
22,220,-655068.6396075935,19.178566438838622,23.45750267011026
23,230,-655308.7267186673,19.460026096654474,24.316423225663307
24,240,-655557.2713835946,19.725669064046798,25.150418710077066
25,250,-655814.0312591107,19.974776241288026,25.960865673737135
26,260,-656078.7792747024,20.207662914675893,26.7489701007682
27,270,-656351.2954415401,20.428664981393403,27.515887613740052
28,280,-656631.3758779867,20.635467906540725,28.26268672283768
29,290,-656918.8243128308,20.82972223389369,28.99031036313245
30,300,-657213.4517211374,21.015081598452525,29.699694865070345
31,310,-657515.0838354786,21.18734250276756,30.391677555734354
32,320,-657823.547673086,21.350704421289265,31.067013643006796
33,330,-658138.6818645817,21.50520715704767,31.726454871665922
34,340,-658460.3320055613,21.650107670889714,32.37067528007901
35,350,-658788.3468114508,21.78800198584213,33.000316387641945
36,360,-659122.5870529435,21.91540571332446,33.61595419377554
37,370,-659462.912332018,22.03616231678178,34.218120805936636
38,380,-659809.1925511183,22.15220425469449,34.807383154962736
39,390,-660161.3007307656,22.261936995905042,35.38426897540048
40,400,-660519.1161590349,22.365361537551536,35.94924544328533
41,410,-660882.5218854063,22.461129210563435,36.502728672389644
42,420,-661251.405128489,22.55279339606635,37.04513051794202
43,430,-661625.6563368379,22.641420493423265,37.576888484928354
44,440,-662005.1729487965,22.724695988639724,38.098395997936315
45,450,-662389.852574775,22.8015940066253,38.609982224143465
46,460,-662779.5995836392,22.874809888639753,39.11197250658152
47,470,-663174.3168962735,22.94645265541906,39.60472294296343
48,480,-663573.9173575154,23.012972159776837,40.088552601423
49,490,-663978.310113649,23.077660533975134,40.56375739340001
50,500,-664387.4126081915,23.13878199827748,41.03063154536213
51,510,-664801.1422375828,23.19438462860413,41.48941529307631
52,520,-665219.4188844662,23.248684990359322,41.94035626879195
53,530,-665642.1660357352,23.301550016988692,42.38372726033268
54,540,-666069.3087645796,23.35475449511432,42.81980093069579
55,550,-666500.775909372,23.40063562877189,43.24878170867306
56,560,-666936.4984628375,23.440582001162852,43.67080567056837
57,570,-667376.4044271025,23.48549205385215,44.08610966948473
58,580,-667820.4314339535,23.528227593557553,44.49495230589674
59,590,-668268.5139918884,23.56826794944346,44.89751293843438
60,600,-668720.590768927,23.606961459678217,45.29396870158235
61,610,-669176.6020434196,23.64190542300926,45.68447949043767
62,620,-669636.488078207,23.67418017201699,46.06918640830118
63,630,-670100.1929837528,23.7060155363783,46.44825019658747
64,640,-670567.6590521141,23.740157161094203,46.82186315485596
65,650,-671038.8353625218,23.77080996897721,47.190185517053756
66,660,-671513.6676242469,23.79839044935657,47.553328738168055
67,670,-671992.105932041,23.8259134123828,47.91142489887861
68,680,-672474.0994633187,23.85318920487771,48.2646213199463
69,690,-672959.6009274779,23.879304280586222,48.613050853856834
70,700,-673448.5625901581,23.902248161961275,48.95681963468668
71,710,-673940.9389978602,23.926981691291335,49.29604984976612
72,720,-674436.6841445186,23.949070689082248,49.63086271172797
73,730,-674935.7570579277,23.967806875406,49.96133876341483
74,740,-675438.1107381508,23.993671824451198,50.28762122842455
75,750,-675943.7081628584,24.014298169422602,50.6098359537733
76,760,-676452.5068841205,24.031828646524968,50.928035410735184
77,770,-676964.4668934795,24.049076005301103,51.24230237777084
78,780,-677479.5513609569,24.06226541663049,51.55271050010634
79,790,-677997.7186505968,24.08605102743039,51.85939915217169
80,800,-678518.9354610838,24.10473027080286,52.1624970772973
81,810,-679043.1658765888,24.116324590769306,52.46201784266741
82,820,-679570.3719263461,24.134234518010693,52.75804401041823
83,830,-680100.522398675,24.14791576853616,53.050673349091085
84,840,-680633.5811889343,24.161659223260358,53.33996212132915
85,850,-681169.5164705291,24.17928447772283,53.62601260663068
86,860,-681708.2960035335,24.190668567980296,53.908887113700615
87,870,-682249.8890291963,24.20123960725323,54.188618119557205
88,880,-682794.2622918853,24.21526165937533,54.46529241748067
89,890,-683341.3885945795,24.22584854948218,54.738979404204294
90,900,-683891.235517355,24.239442434976937,55.0097432460374
91,910,-684443.7761817827,24.25389208332616,55.27766995843559
92,920,-684998.9818283514,24.263821748527633,55.542801698209956
93,930,-685556.8248204511,24.270468254529987,55.80515668313456
94,940,-686117.2776270645,24.27735181974706,56.06477792170482
95,950,-686680.3123701967,24.294240762304913,56.32177719687462
96,960,-687245.904213786,24.308405062928728,56.57624789830879
97,970,-687814.0290739475,24.311267136194786,56.8281699846586
98,980,-688384.6593026171,24.320317927521025,57.077569049371235
99,990,-688957.7710424967,24.332736859173465,57.32454491450335
100,1000,-689533.3410518267,24.337504991563108,57.56912504986103
101,1010,-690111.3444198779,24.344739022344584,57.81133108483045
102,1020,-690691.757803033,24.355255688843172,58.051238103120696
103,1030,-691274.55927806,24.362522035421062,58.2888912814742
