,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-742612.9786528333,-0.0,0.0
1,10,-742613.1747948972,0.09620677075872663,0.04810338537936332
2,20,-742614.3085327196,0.442421916895546,0.2068122499826131
3,30,-742617.4153498554,1.1885459612938576,0.5155087227554759
4,40,-742624.4868509439,2.312635392113589,1.0026791403186506
5,50,-742637.5031842976,3.558208962116623,1.6475794605445113
6,60,-742657.7915230893,4.726733400119701,2.3972948067661486
7,70,-742686.0566904367,5.7634499139880075,3.20286425063241
8,80,-742722.6077512355,6.688296917965635,4.032557801861548
9,90,-742767.5441960843,7.5363341912627195,4.86926159208233
10,100,-742820.8654639715,8.335051180969458,5.704699383978731
11,110,-742882.5265203597,9.100941597894419,6.535131106567859
12,120,-742952.4633814314,9.841892077086957,7.3588891066538045
13,130,-743030.6031777184,10.560603017383254,8.17514498232922
14,140,-743116.867605815,11.257083871192304,8.983360731144785
15,150,-743211.1739982074,11.930283146284637,9.783075545706378
16,160,-743313.4349269733,12.578948634304112,10.573843795404537
17,170,-743423.5589070866,13.201740571952541,11.35522242763691
18,180,-743541.4496197174,13.79775312019628,12.126779835052732
19,190,-743667.0067349586,14.36660613753192,12.888119337624813
20,200,-743800.125986062,14.90815409715287,13.638891772620264
21,210,-743940.700049436,15.422526354185553,14.378798633482075
22,220,-744088.6186606009,15.910347964841636,15.10760045929783
23,230,-744243.7696045879,16.37224416771494,15.825117628152658
24,240,-744406.0392405303,16.808990597329107,16.53122328373574
25,250,-744575.3126278577,17.22187784325797,17.225848144711925
26,260,-744751.4748047887,17.61174158404463,17.908973039731787
27,270,-744934.4106556766,17.979570070537758,18.580615379192746
28,280,-745124.0053560995,18.32688629348999,19.240836207168464
29,290,-745320.1450836001,18.654592084683827,19.889732931849718
30,300,-745522.7171735438,18.963776524644302,20.527426771938913
31,310,-745731.6099833645,19.255772691839944,21.154066692916963
32,320,-745946.7140263543,19.53132211128252,21.7698205798064
