,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-664633.4105431497,-0.0,0.0
1,10,-664633.5288744266,0.0733713488705689,0.03668567443528445
2,20,-664634.286218609,0.39958690830972043,0.173268075947999
3,30,-664636.7003909353,1.2364472772023873,0.479239349225827
4,40,-664643.1536322344,2.6416898061404934,1.0155251211937866
5,50,-664656.35787114,4.344572583155242,1.7801936052768723
6,60,-664678.4379439213,6.060848869197071,2.7197216026921525
7,70,-664710.77193201,7.640025158377829,3.770508424533182
8,80,-664754.1279147362,9.031242190580816,4.880677144185757
9,90,-664808.8432794992,10.23511384339363,6.013747216841148
10,100,-664874.9740965039,11.274433247337582,7.146086314952118
11,110,-664952.404021848,12.178378395308387,8.263370631651197
12,120,-665040.918011261,12.974679185310379,9.357544918704662
13,130,-665140.2497765434,13.686487329893867,10.424559910267998
14,140,-665250.1108566358,14.331746707379352,11.462811365802189
15,150,-665370.2077999461,14.923695098434107,12.472115965775446
16,160,-665500.251549746,15.47179604200646,13.453066095369287
17,170,-665639.9623436113,15.98270495347097,14.406639279137018
18,180,-665789.0717329612,16.4611454399361,15.333972876590272
19,190,-665947.3232518729,16.91048922131014,16.2362397908335
20,200,-666114.4722393763,17.333177615131703,17.114582105456797
21,210,-666290.2851900741,17.73115066214231,17.97008179969562
22,220,-666474.5391010216,18.105998152034598,18.803752011556938
23,230,-666667.0207485842,18.459063968920947,19.616535968882093
24,240,-666867.525959307,18.79159356099551,20.4093115007272
25,250,-667075.8590270402,19.104738562091363,21.182897804489766
26,260,-667291.832140194,19.399582262383774,21.93806146539282
27,270,-667515.2648871955,19.677188167971337,22.675522728534997
28,280,-667745.983832254,19.9385606191587,23.395960827358067
29,290,-667983.8221372294,20.18466072662558,24.100017944538557
30,300,-668228.6191823413,20.416433249105435,24.78830322386202
31,310,-668480.2202986103,20.63477304853442,25.46139603148476
32,320,-668738.4764434274,20.840525408182316,26.119848161125265
33,330,-669003.2439736022,21.03448732052642,26.764185723969423
34,340,-669274.3843612737,21.217428112169728,27.394911078960288
35,350,-669551.7639968614,21.390063709550304,28.012504419317704
36,360,-669835.253959252,21.553068479220357,28.61742493134807
37,370,-670124.7298072173,21.707086707741837,29.210112114234654
38,380,-670420.0714110961,21.85269747863062,29.79098661693861
39,390,-670721.1627383382,21.99045277692494,30.360450991833936
40,400,-671027.8917023914,22.12087370932565,30.918890794955953
41,410,-671340.1499799996,22.24444257756113,31.46667540629278
42,420,-671657.8328673961,22.361605675751388,32.00415868764103
43,430,-671980.8391168587,22.472780056032843,32.531679675019404
44,440,-672309.0707997109,22.57835363072809,33.04956327136897
45,450,-672642.4331653977,22.678682603873312,33.55812083398341
46,460,-672980.8345080537,22.77410779719351,34.057650846218166
47,470,-673324.186042918,22.86493925873947,34.548439530855106
48,480,-673672.4017883941,22.951454328373075,35.03076121477643
49,490,-674025.3984432117,23.033935957451572,35.50487902686146
50,500,-674383.0952806748,23.112646303052387,35.97104565272312
51,510,-674745.4140565319,23.187790500887786,36.42950339517411
52,520,-675112.2788899979,23.259589879587182,36.880484577282914
53,530,-675483.6161722057,23.328259130290864,37.324212396294755
54,540,-675859.354491536,23.393976548704124,37.76090120658774
55,550,-676239.4245211853,23.45691823314697,38.19075681176765
56,560,-676623.7589645918,23.517253688629836,38.61397700234083
57,570,-677012.2924470619,23.575127623707562,39.03075184682384
58,580,-677404.9614759965,23.630681960028596,39.44126398746157
59,590,-677801.704322148,23.684060725575378,39.845689142009356
60,600,-678202.4610094427,23.735364132095,40.244196222140445
61,610,-678607.1731875566,23.78471865537876,40.63694763353123
62,620,-679015.7841189769,23.83222909734468,41.02409973976754
63,630,-679428.2385897883,23.87801644935098,41.40580320277221
64,640,-679844.4828601868,23.92216416131714,41.782203177340854
65,650,-680264.4646373847,23.964723516342836,42.153439111899935
66,660,-680688.1329539976,24.005840621050357,42.51964556789608
67,670,-681115.4382071451,24.045573955922876,42.880952578604045
68,680,-681546.3320421241,24.083966934028965,43.237485152526645
69,690,-681980.7673434463,24.121105528750824,43.58936376446218
70,700,-682418.6981696236,24.157052969793007,43.9367047625914
71,710,-682860.0797293293,24.191891562120876,44.279620574483125
72,720,-683304.8683273916,24.225654739234443,44.6182197214861
73,730,-683753.0213498953,24.25837587123393,44.95260669434502
74,740,-684204.4971822369,24.290155077050493,45.28288262317656
75,750,-684659.2552312126,24.321037346235297,45.60914554159099
76,760,-685117.2558506373,24.351031266630216,45.931489943635825
77,770,-685578.4603324479,24.38016798459559,46.250006875826514
78,780,-686042.8308512834,24.40850384731899,46.56478442319931
79,790,-686510.3304560129,24.436128765833733,46.87590823427309
80,800,-686980.9230333896,24.463047557975983,47.18346132433217
81,810,-687454.5733030036,24.489277618631604,47.48752375193145
82,820,-687931.2467392748,24.514847952005162,47.78817291248853
83,830,-688410.9096204232,24.53977219493809,48.085483645665235
84,840,-688893.5289075756,24.564017068280492,48.379527985957985
85,850,-689379.0723340814,24.587787333323163,48.67037641640637
86,860,-689867.5082268614,24.611277758662013,48.958099283721836
87,870,-690358.8057711906,24.63404215550963,49.24276306281683
88,880,-690852.9346520813,24.656113904015967,49.524429574006355
89,890,-691349.865204693,24.677877135193494,49.80316088946565
90,900,-691849.5684018031,24.699220429407305,50.079018539926615
91,910,-692352.0158189305,24.720130028665945,50.3520613214685
92,920,-692857.1795828269,24.740689612308117,50.622346481368
93,930,-693365.0324243893,24.760746390122222,50.88992904342012
94,940,-693875.5475854212,24.7804226168899,51.15486209444061
95,950,-694388.6988132417,24.79984992669772,51.41719837897108
96,960,-694904.4604487036,24.81889628386125,51.67698898971285
97,970,-695422.8072441685,24.837577580841163,51.934282824941334
98,980,-695943.7145187709,24.856008818454505,52.18912794688077
99,990,-696467.1579751286,24.874191361668636,52.44157154750283
100,1000,-696993.11389856,24.891905643744394,52.69165830482089
101,1010,-697521.5588844167,24.90939428519334,52.93943166613463
102,1020,-698052.4700406067,24.926764568447616,53.184935521624
103,1030,-698585.8249003524,24.943836073987768,53.428212126901784
104,1040,-699121.6013844449,24.960581306554673,53.66930150452826
105,1050,-699659.7778429188,24.97711231681766,53.9082429293514
106,1060,-700200.3329518625,24.993539032555418,54.14507561147184
107,1070,-700743.2458758915,25.0096020541065,54.379836962830446
108,1080,-701288.4960434433,25.025582968443402,54.61256344255816
109,1090,-701836.0632928098,25.04140097594661,54.84329143478389
110,1100,-702385.9278694569,25.05685814350727,55.07205505634337
111,1110,-702938.0702146733,25.07242656541631,55.298888724489366
112,1120,-703492.47128025,25.087679958110755,55.523826154133715
113,1130,-704049.112245209,25.102496713455345,55.74689771968261
114,1140,-704607.9745767424,25.117499278782553,55.968135184510906
115,1150,-705169.0401152894,25.132426787095028,56.18757107584534
116,1160,-705732.2910308765,25.146967302914874,56.40523459710239
117,1170,-706297.7096990348,25.161530557548062,56.621154605911585
118,1180,-706865.278853046,25.17601246369304,56.83536053319113
119,1190,-707434.9815154495,25.19016921048494,57.04787959920796
120,1200,-708006.8009167287,25.204287005821158,57.258738508835094
121,1210,-708580.7206156324,25.218468562548257,57.467964919138474
122,1220,-709156.7244094133,25.23241486074403,57.67558500323212
123,1230,-709734.7963996376,25.246067972699617,57.881622832118595
124,1240,-710314.9208250031,25.25991937716026,58.086103638308124
125,1250,-710897.0822870486,25.27370398893236,58.28905296788143
126,1260,-711481.2656016822,25.287241584272124,58.49049398060015
127,1270,-712067.455759736,25.300828922674008,58.69044974005082
128,1280,-712655.6380741025,25.314250751212057,58.88894309473544
129,1290,-713245.7979974385,25.32759236999245,59.08599584940676
130,1300,-713837.9212498824,25.3409061191488,59.28162983561633
131,1310,-714431.9937521549,25.354137210417143,59.47586637522181
