,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-614083.414689516,-0.0,0.0
1,10,-614083.4725662143,0.11357959576416761,0.056789797882083805
2,20,-614084.1190364304,0.7598649839928839,0.30354584176238864
3,30,-614088.1315034415,2.3047149977559456,0.8776312540532673
4,40,-614100.0206830247,4.492152517905924,1.8232694850841653
5,50,-614123.5199739721,6.756632831733442,3.06045183299575
6,60,-614160.843854798,8.757658561645075,4.465919996306184
7,70,-614212.9615071566,10.404191801347768,5.9388814336824
8,80,-614280.0514169823,11.729059919342397,7.415104235880426
9,90,-614361.8555649202,12.801584631323934,8.859369627023987
10,100,-614457.9042787633,13.68918656438473,10.255028101427888
11,110,-614567.6455543786,14.445333600672896,11.596093502404983
12,120,-614690.5138868019,15.108420112612649,12.882217079855035
13,130,-614825.9640296577,15.70432247288699,14.115746987350574
14,140,-614973.4848952158,16.249785892595547,15.300108886318046
15,150,-615132.603497161,16.755333131164655,16.43896948685433
16,160,-615302.8838633229,17.227458644891158,17.535838673879333
17,170,-615483.923853014,17.67021722038337,18.593909027719928
18,180,-615675.3514780422,18.086215472419287,19.616016173141542
19,190,-615876.8211905621,18.477279480881407,20.60465524424071
20,200,-616088.0106827002,18.844825529609786,21.562020079346254
21,210,-616308.6180638594,19.190054934253567,22.49004678744968
22,220,-616538.3595384174,19.514097938063795,23.390455083177944
23,230,-616776.9674227458,19.818068680309807,24.264784889049764
24,240,-617024.1885722039,20.10305891542228,25.114426196461135
25,250,-617279.7829880327,20.370160785168956,25.940643139569147
26,260,-617543.5227041827,20.620457710995115,26.74459361894551
27,270,-617815.1908105758,20.85499599882752,27.527344512226406
28,280,-618094.5806172553,21.074793550022868,28.289883740941875
29,290,-618381.4949234877,21.280847171376838,29.03313049817661
30,300,-618675.7453782565,21.47410426370337,29.75794339403219
31,310,-618977.1519290496,21.655436977528712,30.46512637333362
32,320,-619285.542278276,21.825689357053477,31.155434011110632
33,330,-619600.7514339375,21.985659705623352,31.829576463460402
34,340,-619922.6212899919,22.136077329068236,32.488223068563094
35,350,-620251.000223317,22.277629330739828,33.132005465101976
36,360,-620585.7427456243,22.410953316092517,33.76152055318526
37,370,-620926.709160503,22.536642546995374,34.37733301729459
38,380,-621273.7652604968,22.655243771173964,34.97997755368124
39,390,-621626.7820355777,22.767261637601713,35.56996083617268
40,400,-621985.6354003915,22.87316913926034,36.14776342012628
41,410,-622350.2059482294,22.973399769188894,36.713841446186414
42,420,-622720.3787094256,23.068348371604344,37.26862805290584
43,430,-623096.0429338267,23.15837882703351,37.81253472253884
44,440,-623477.0918740516,23.243838138901566,38.34595272157749
45,450,-623863.4225974026,23.325054431887047,38.8692545173486
46,460,-624254.9358006221,23.40229474616929,39.382794557794114
47,470,-624651.5356426957,23.47582359821238,39.88691013101052
48,480,-625053.129548711,23.545917696738684,40.38192291125452
49,490,-625459.6281123278,23.612766269611928,40.86813948185009
50,500,-625870.9448948805,23.67660792413524,41.345852155679324
51,510,-626286.9963095268,23.73767634449465,41.815340552023564
52,520,-626707.7015273893,23.796062492404488,42.27687116232265
