,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-579597.6537138101,-0.0,0.0
1,10,-579598.2748662181,0.3888109365099808,0.1944054682549904
2,20,-579602.8488253469,1.4901519908278713,0.7613489342169486
3,30,-579615.0696084944,3.0849177165742736,1.6480398846862954
4,40,-579637.8469767002,4.86198969281977,2.7699415490511456
5,50,-579672.9965869917,6.582170039648191,4.0359072646184355
6,60,-579721.4650249818,8.13162393172388,5.371759596226911
7,70,-579783.5809258062,9.48259315677278,6.7267230064971955
8,80,-579859.2938994748,10.656729718274441,8.070096696515975
9,90,-579948.3515112308,11.689206060257863,9.38554264058912
10,100,-580050.4064225592,12.610637096804567,10.665474832110341
11,110,-580165.0741235899,13.44293481980566,11.907049178759918
12,120,-580291.9614940308,14.200612443848513,13.10978385572962
13,130,-580430.6801352937,14.893244712168244,14.274293145204139
14,140,-580580.8519403152,15.527655690332171,15.40166938131588
15,150,-580742.1115153427,16.10913999227342,16.49319984618924
16,160,-580914.1071171435,16.642182712489728,17.550239389030324
17,170,-581096.5006020378,17.130870583772776,18.574156733612476
18,180,-581288.9677507529,17.579001824761534,19.5663114746727
19,190,-581491.1976195181,17.99024569512403,20.528044599208812
20,200,-581702.8928328619,18.367902229656465,21.46066967324296
21,210,-581923.768838462,18.715141996738364,22.365465847954333
22,220,-582153.5537194301,19.03497249513748,23.243677478177418
23,230,-582391.9879469234,19.329913983360182,24.096506010807936
24,240,-582638.8236468986,19.602503558504395,24.925107022987504
25,250,-582893.824297095,19.85501368653786,25.730592787520436
26,260,-583156.7644136313,20.089249168557544,26.514024776031146
27,270,-583427.428669165,20.30718917011689,27.27641554951697
28,280,-583705.6117175464,20.510541392548475,28.01873427594692
29,290,-583991.1177659315,20.700549993099433,28.74189997803478
30,300,-584283.7597948794,20.878590467706122,29.446782520193665
31,310,-584583.3593454472,21.045878582287674,30.134208682541793
32,320,-584889.745992836,21.20342472586782,30.804961848436506
33,330,-585202.756897327,21.352181899105165,31.45978326734039
34,340,-585522.2364716999,21.492977602797303,32.09937437494373
35,350,-585848.0358818119,21.62660412305561,32.72439906245709
36,360,-586180.0128065671,21.75369069871961,33.33548514296709
37,370,-586518.0309852945,21.874815015381397,33.933225344320824
38,380,-586861.9599088774,21.99063139584606,34.51818136574003
39,390,-587211.6745374424,22.10160201218675,35.09088565079438
40,400,-587567.0550442359,22.208077375195074,35.651840489935424
41,410,-587927.9863993464,22.31053919767434,36.20152120343846
42,420,-588294.3582569696,22.409356749389524,36.74037900629192
43,430,-588666.0646409554,22.504809373026426,37.26884089275118
44,440,-589043.0037142265,22.597221491998,37.787311330533704
45,450,-589425.077588958,22.68683120619965,38.296173840688425
46,460,-589812.1921001126,22.77390500245383,38.79579218865838
47,470,-590204.2566091438,22.858731024007945,39.28651262395434
48,480,-590601.1838816529,22.941342161642524,39.768662927755216
49,490,-591002.889868499,23.022035706444946,40.24255397363741
50,500,-591409.2934483279,23.10105335403918,40.70848323887623
51,510,-591820.3166263901,23.178351772780225,41.16673251528701
52,520,-592235.8838576862,23.2542046235409,41.617569379537606
53,530,-592655.9224837108,23.328577020880804,42.06124841620914
54,540,-593080.3621167549,23.401836493372684,42.4980130027354
55,550,-593509.1348142548,23.474073834440787,42.92809734519252
56,560,-593942.1750695223,23.54498904654764,43.35172113290173
57,570,-594379.4191984966,23.615126527493825,43.769094482086075
58,580,-594820.8058716088,23.684184655971976,44.18041872043832
59,590,-595266.2756013542,23.752387080670367,44.585884142031134
60,600,-595715.7705941476,23.820693127869248,44.985681334034595
61,610,-596169.2353174868,23.887920470611512,45.37998973690846
62,620,-596626.6157787717,23.953456268715584,45.76896539814188
63,630,-597087.8592437641,24.0192459509241,46.15276736868545
64,640,-597552.9148061498,24.084376986883626,46.53155550001392
65,650,-598021.7334849308,24.14896744101148,46.90547598323173
66,660,-598494.2665691447,24.213873180525937,47.27467570442531
67,670,-598970.4686291382,24.277518572282766,47.63928964934457
68,680,-599450.2934067944,24.341139092459343,47.99944412499316
69,690,-599933.6978142842,24.40414522788774,48.35526472099445
70,700,-600420.6385615574,24.465838218049463,48.70686234035237
71,710,-600911.0743299972,24.528148827338164,49.0543517700702
72,720,-601404.9641953021,24.59118987747934,49.39785736444318
73,730,-601902.2695211058,24.653684378540337,49.73749036827793
74,740,-602402.951601201,24.71489072657439,50.07334372509503
75,750,-602906.973580367,24.774958507041504,50.40550262005126
76,760,-603414.2984074926,24.83606025765168,50.73406414337222
77,770,-603924.890950832,24.897342428189695,51.05913033137475
78,780,-604438.7168244461,24.95718198187527,51.38078332188451
79,790,-604955.7420056753,25.01809501172102,51.699107631157666
80,800,-605475.9337962621,25.078940011328253,52.01419337972038
81,810,-605999.260450398,25.13806295816903,52.32610998292803
82,820,-606525.6902380838,25.197120188269764,52.63492418782262
83,830,-607055.1927533715,25.25600572113454,52.94070977735828
84,840,-607587.7379580461,25.31630831361987,53.243546701526796
85,850,-608123.2966253674,25.37576991095575,53.54350824768772
86,860,-608661.8410629197,25.43306008388754,53.84064411085274
87,870,-609203.3420361448,25.49109391153312,54.13501127896889
