,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-598851.4516794418,-0.0,0.0
1,10,-598851.7425308396,0.25761855876480694,0.12880927938240347
2,20,-598854.4737529687,1.064771144714905,0.5238113449435332
3,30,-598862.6289759858,2.3250032275740526,1.177504669051268
4,40,-598878.7912493899,3.748115072771907,2.0335195910767654
5,50,-598904.5154641663,5.122586994766606,3.0142926746499143
6,60,-598940.5898965388,6.396915408689529,4.059627658184036
7,70,-598987.3826483049,7.578452108000057,5.134021949955787
8,80,-599045.0346464122,8.678660255856812,6.2177562236611275
9,90,-599113.5552730607,9.705158110975756,7.299347940261942
10,100,-599192.872697565,10.662689459713874,8.3716578638574
11,110,-599282.8619338652,11.554239709908146,9.429985050929828
12,120,-599383.3615065566,12.381958802067668,10.471092715102714
13,130,-599494.1840117967,13.147935442652665,11.492697489906277
14,140,-599615.1235115551,13.85447806906305,12.49319010280451
15,150,-599745.9612757056,14.50427415313606,13.471468696089868
16,160,-599886.4697396081,15.100522335432473,14.426835824176667
17,170,-600036.4166040228,15.646611051177036,15.358921589840609
18,180,-600195.5672734997,16.14613551112124,16.267619796720098
19,190,-600363.6874877546,16.602809847102595,17.153039609525873
20,200,-600540.5451085271,17.020183901244295,18.015460255664944
21,210,-600725.911655375,17.401675252727024,18.855290454451456
22,220,-600919.5633113569,17.750556604162565,19.673037796710556
23,230,-601121.2818710959,18.069855311626462,20.46928247927135
24,240,-601330.8552534671,18.36232802162415,21.24465392127895
25,250,-601548.0779221413,18.63053118780953,21.999813045485645
26,260,-601772.7510756133,18.876805267471354,22.735439155154747
27,270,-602004.6828230872,19.103212272527173,23.45221783129964
28,280,-602243.6881366326,19.311650366068342,24.150831920925704
29,290,-602489.5887792517,19.503833486128112,24.83195581145992
30,300,-602742.2132696033,19.68125513358972,25.49624972149322
31,310,-603001.3965747074,19.845317081344547,26.14435639976291
32,320,-603266.9800760855,19.99725806657227,26.776899316429628
33,330,-603538.8112309132,20.13818839501183,27.39448054031091
34,340,-603816.743455151,20.26911272824509,27.99767979408207
35,350,-604100.6358124462,20.390780044617713,28.5870518390424
36,360,-604390.3528491908,20.504096703871568,29.163127817709757
37,370,-604685.7641426018,20.609943038783967,29.726419682364213
38,380,-604986.7445729016,20.708754285419154,30.27741603515024
39,390,-605293.1734922586,20.80120394374535,30.8165817460118
40,400,-605604.9349853339,20.887812751694597,31.344361507250866
41,410,-605921.917410063,20.968892286316304,31.861177365260662
42,420,-606244.0132105179,21.045158419077037,32.367433164101385
43,430,-606571.1187837564,21.116951220258397,32.863516708750105
44,440,-606903.1344437201,21.184313053416616,33.34979348332418
45,450,-607239.9638330035,21.2481473301159,33.82661483936681
46,460,-607581.5141433345,21.30830316824722,34.2943173562162
47,470,-607927.6961243219,21.36473055242393,34.75321371475439
48,480,-608278.4228022256,21.418612681701745,35.20360863110109
49,490,-608633.6111650466,21.469641692491027,35.64579715632281
50,500,-608993.1803050181,21.517795341060264,36.0800530861874
51,510,-609357.0524438876,21.563517933045077,36.506638078157266
52,520,-609725.1520440835,21.607111242401842,36.92580580173963
53,530,-610097.4062858133,21.648610808129888,37.33779866419791
54,540,-610473.7446379507,21.687982600409228,37.74284549534059
55,550,-610854.0987019339,21.725450555939343,38.14116424501117
56,560,-611238.4024041145,21.761282994877547,38.53296551057137
57,570,-611626.5914457315,21.79628268883971,38.9184581423513
58,580,-612018.6039438461,21.82898078542207,39.297834473373946
59,590,-612414.3798265037,21.85949504670292,39.6712653002367
60,600,-612813.8599530848,21.89017902407791,40.03893341679358
61,610,-613216.9882039177,21.919756974218632,40.401021714460505
62,620,-613623.7094150063,21.947124791389797,40.75768479545949
63,630,-614033.9701924624,21.973446386604337,41.10907016896525
64,640,-614447.7183122771,21.99897744301711,41.45532961187855
65,650,-614864.9035755383,22.02415122755342,41.79661317105637
66,660,-615285.4765704498,22.049132615496735,42.13306860241136
67,670,-615709.3902824465,22.071459819239585,42.46481987257284
68,680,-616136.5979392985,22.092781245522104,42.79197918020654
69,690,-616567.0539802916,22.11505663032314,43.11468013468256
70,700,-617000.715061821,22.136315717332916,43.43305070907372
71,710,-617437.5380008209,22.156932632965567,43.747201986763685
72,720,-617877.4815076106,22.176447644876163,44.05723983226053
73,730,-618320.5048002984,22.195230794115975,44.36326506963232
74,740,-618766.5682020918,22.214234090439277,44.66538337464589
75,750,-619215.633370074,22.232569364859955,44.96369668003171
76,760,-619667.662590676,22.25020901297701,45.25829676316352
77,770,-620122.6193101775,22.266720746460432,45.549268812952505
78,780,-620580.4676155827,22.28369616598922,45.83670211490098
79,790,-621041.1723779415,22.301208793787932,46.120693212193146
80,800,-621504.7001769849,22.31746950722311,46.40132428771321
81,810,-621971.0171969936,22.333352679776784,46.67866867386037
82,820,-622440.0914731406,22.349068151257292,46.952803681387735
83,830,-622911.8908321838,22.36443309301103,47.22380398774839
