,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-637225.9801333684,-0.0,0.0
1,10,-637226.4092300086,0.24543807284499053,0.12271903642249526
2,20,-637229.3321758624,0.9769186766294298,0.48966774200234797
3,30,-637237.0849462028,2.1594743979221676,1.0938098108134
4,40,-637252.222591889,3.5980368783581076,1.903476820261858
5,50,-637276.5536543693,5.036927623135853,2.8569241923702067
6,60,-637311.0933766991,6.362987131706905,3.8908658823260343
7,70,-637356.3177835209,7.558524834102717,4.961009440975613
8,80,-637412.3840757207,8.639977745106442,6.040902681052103
9,90,-637479.2734831531,9.62994658117241,7.115898322408611
10,100,-637556.8746634678,10.547023083141541,8.178246508853045
11,110,-637645.0289453682,11.40354340384947,9.22394054500328
12,120,-637743.5533435474,12.206721818482038,10.250896836099857
13,130,-637852.2518381429,12.960405179715602,11.257987367500029
14,140,-637970.9210963553,13.666677219007397,12.244560104761332
15,150,-638099.3529007012,14.326921908999788,13.210219783359207
16,160,-638237.3364983604,14.942417827062314,14.15473440408823
17,170,-638384.6590883503,15.514791083795725,15.07800234600145
18,180,-638541.1079449331,16.045775326166755,15.98003571210138
19,190,-638706.4706667847,16.537462811099235,16.86094808314956
20,200,-638880.5366700084,16.992248082417056,17.720950674975754
21,210,-639063.0979564004,17.412491921518843,18.560340018024725
22,220,-639253.9498912486,17.800610727665504,19.37948249373294
23,230,-639452.8918972951,18.158984720098637,20.17880236584606
24,240,-639659.7278592663,18.48990490541327,20.95876925543562
25,250,-639874.2666811814,18.79563057773339,21.719888219186398
26,260,-640096.3223354598,19.07825868243237,22.46269042078784
27,270,-640325.714473992,19.33974004797056,23.187723345056295
28,280,-640562.2679788569,19.581901775265578,23.895543496693428
29,290,-640805.8137335404,19.806272198064867,24.58670776579966
30,300,-641056.1877676473,20.014485464809653,25.26176997523726
31,310,-641313.231989224,20.20790366125584,25.921278663004344
32,320,-641576.7935370575,20.387853589747124,26.565772805364396
33,330,-641846.7249593092,20.555491282028342,27.195779855310686
34,340,-642122.8841234548,20.71163673439297,27.811809586070012
35,350,-642405.133676403,20.857542864730956,28.414357377290436
36,360,-642693.3413413044,20.994102794188088,29.003907036388412
37,370,-642987.3795853421,21.121754627677717,29.58092091400904
38,380,-643287.1253400363,21.241471052105744,30.145843070758566
39,390,-643592.4598236085,21.35396784589102,30.69910492945492
40,400,-643903.2687819811,21.45954390638508,31.241118046821796
41,410,-644219.4415673579,21.559049553371704,31.772277584107364
42,420,-644540.8717678322,21.652918467280628,32.29296566145931
43,430,-644867.4565301837,21.741450419798003,32.803546063376416
44,440,-645199.096580795,21.825222937797662,33.30436752341775
45,450,-645535.6960980512,21.90448282544084,33.79576456294308
46,460,-645877.1625055195,21.979442921391488,34.27805469372397
47,470,-646223.406317319,22.050601857592152,34.75154255282541
48,480,-646574.340989306,22.118529298575595,35.21652477051102
49,490,-646929.8830062529,22.182932355528465,35.67328256997862
50,500,-647289.9515808413,22.244043938699143,36.122079461973044
51,510,-647654.4682113954,22.302848117135,36.56317527505744
52,520,-648023.3574075276,22.358853695099242,36.996819626592334
53,530,-648396.5458464337,22.412186214185166,37.423244323431575
54,540,-648773.9623524409,22.463605953549383,37.84267639385507
55,550,-649155.5383389922,22.51259021006998,38.25533265627746
56,560,-649541.207005468,22.559569407324346,38.66141729412921
57,570,-649930.9036244306,22.60499474979588,39.061131448610105
58,580,-650324.5656366431,22.648587236372904,39.45466731793276
59,590,-650722.1320640795,22.690700516477143,39.842207831799165
60,600,-651123.5439831536,22.731051575567065,40.22392733376909
61,610,-651528.7440295023,22.769849812178247,40.599990876780055
62,620,-651937.6763640479,22.807942514598835,40.970564010273655
63,630,-652350.2870439822,22.844537316585864,41.33580488227162
64,640,-652766.5235465645,22.879721017554402,41.6958585544402
65,650,-653186.3345265996,22.914187842805358,42.05086935829604
66,660,-653609.6705547171,22.947421604837338,42.400976444769185
67,670,-654036.4830478895,22.9797027006252,42.74631086649752
68,680,-654466.725091115,23.011325298016843,43.08700210646785
69,690,-654900.3507946724,23.042052036715855,43.423174419347205
70,700,-655337.3157012176,23.0716883281421,43.754943584690054
71,710,-655777.5762527809,23.10061490513025,44.082421745118346
72,720,-656221.090133222,23.12925922139553,44.405721987478316
73,730,-656667.8161418218,23.1572127177642,44.72495288919453
74,740,-657117.7141536828,23.184148397756402,45.04021358654281
75,750,-657570.7449145437,23.210469473487993,45.35159970103559
76,760,-658026.8701462505,23.236524838418646,45.65920803812914
77,770,-658486.0526043181,23.26223624012222,45.96313339414482
78,780,-658948.2558887331,23.28709644103079,46.26346313546091
79,790,-659413.4445726589,23.311483447026582,46.56028042917314
80,800,-659881.5837319547,23.33582056872558,46.853670342202534
81,810,-660352.6398237576,23.359517261758562,47.14371377175558
82,820,-660826.5794854607,23.382687862391933,47.43048568776867
83,830,-661303.3706389362,23.405412152671488,47.71405951153429
84,840,-661782.9814281678,23.427874217019536,47.99450760252948
85,850,-662265.3811708149,23.450205116489027,48.271901617811814
86,860,-662750.5395014544,23.47223970851622,48.546310510783215
87,870,-663238.4270933366,23.493633291584953,48.81779790170257
88,880,-663729.0148955358,23.51467261053628,49.08642487706675
89,890,-664222.2746863372,23.536028901924336,49.35225585291628
90,900,-664718.1787771673,23.557049251569033,49.615353230229815
91,910,-665216.7002698556,23.577290653055922,49.87577127911064
92,920,-665717.8124584663,23.597394132031994,50.13356353938871
93,930,-666221.489497617,23.617460040588313,50.38878583824408
94,940,-666727.7058763443,23.63730804924853,50.64149179182424
95,950,-667236.4367727077,23.656906319651103,50.89173218704965
96,960,-667747.6577231796,23.676270979922265,51.139556131664726
97,970,-668261.3448504594,23.69559310509337,51.38501227551897
98,980,-668777.474682923,23.714613443013583,51.628147433749106
99,990,-669296.024306811,23.73324660527876,51.869005241323606
100,1000,-669816.9710767249,23.75203629489988,52.107630304642946
101,1010,-670340.2929537103,23.770755997198428,52.34406749600457
102,1020,-670865.9682850448,23.788830333802544,52.57835641929268
103,1030,-671393.9757614005,23.80704017657539,52.81053648889064
104,1040,-671924.2944464367,23.825392258935608,53.040649800178656
105,1050,-672456.9040215865,23.843086241031415,53.268733461179366
106,1060,-672991.7842202359,23.860717619751888,53.49482252189919
107,1070,-673528.9153622453,23.878431453951634,53.718954532101634
108,1080,-674068.2780384199,23.895842764992267,53.94116488918371
109,1090,-674609.8532193354,23.91317511698006,54.161487254712846
110,1100,-675153.6221687391,23.93075325401135,54.3799568697068
111,1110,-675699.5665535327,23.948156331581334,54.596607598931584
112,1120,-676247.6683911507,23.96463714945122,54.81146716427611
113,1130,-676797.9098539756,23.98123354165315,55.024563804389615
114,1140,-677350.2734125442,23.99833295195147,55.235931303509275
115,1150,-677904.7420866457,24.014924929331674,55.44559986687381
116,1160,-678461.2989016401,24.031537031906026,55.653596795302285
117,1170,-679019.9273366824,24.048061449907088,55.85995050002238
118,1180,-679580.6111276436,24.064302114979448,56.064687375241185
119,1190,-680143.3341461893,24.080625081286332,56.26783385406451
120,1200,-680708.0807441946,24.096841124701314,56.469416455730965
121,1210,-681274.8352834545,24.112928789941705,56.66946016202855
122,1220,-681843.5826411204,24.12847595711355,56.867987560185426
123,1230,-682414.3076368487,24.144146518176072,57.06502169379673
124,1240,-682986.9955137699,24.160288194019813,57.26058914777386
125,1250,-683561.631745208,24.175948253469137,57.4547134576991
126,1260,-684138.2020277723,24.191267943754703,57.647414345727874
127,1270,-684716.6921570086,24.206914813112235,57.83871425496763
128,1280,-685297.0883093759,24.222266145795857,58.028635296324495
129,1290,-685879.3767939471,24.237318931391833,58.21719662008982
130,1300,-686463.5440491501,24.25266482721781,58.4044191968278
131,1310,-687049.5768786162,24.26763745286453,58.590323247363266
132,1320,-687637.4621473326,24.282385853526648,58.774926552087706
133,1330,-688227.1869289199,24.297490569943424,58.95824923589243
134,1340,-688818.7385442586,24.312326297670275,59.140310820842565
135,1350,-689412.1044951844,24.326947906287195,59.321128263341954
136,1360,-690007.2723520198,24.341631948179465,59.50071936432941
137,1370,-690604.2300460137,24.35594502133608,59.67910096855339
138,1380,-691202.9654632951,24.3703603385775,59.856289685874074
139,1390,-691803.4668216668,24.384767006791666,60.032303082130966
140,1400,-692405.7224471323,24.39908918208666,60.20715767558577
141,1410,-693009.7207964585,24.41330618728534,60.38086928756384
142,1420,-693615.4505993073,24.427158738852874,60.553452417640074
143,1430,-694222.9005318708,24.4411263318907,60.724922023637916
144,1440,-694832.0596412679,24.455102092819285,60.895294056249256
145,1450,-695442.9169459773,24.468729720946012,61.064582535254885
146,1460,-696055.4617671431,24.482368288521368,61.2328011923426
147,1470,-696669.6833544895,24.496072759281166,61.39996489472979
148,1480,-697285.5713911796,24.50941322414427,61.566086941804684
149,1490,-697903.1153610315,24.523122542060552,61.73118137103157
150,1500,-698522.3051809523,24.536882397805826,61.89526333654795
151,1510,-699143.1307561754,24.549760377511955,62.058343541817166
152,1520,-699765.5821393644,24.562315604672875,62.22043122989853
153,1530,-700389.6493991014,24.575436780246456,62.38154020560614
154,1540,-701015.322865041,24.58865896590276,62.54168539883976
155,1550,-701642.5929928196,24.601464799052334,62.70087827103852
156,1560,-702271.450255384,24.61448740238568,62.859130422734594
157,1570,-702901.8853516473,24.627149811090426,63.01645342397387
158,1580,-703533.8890527532,24.639530002890275,63.172857033596664
