,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-548762.293974996,-0.0,0.0
1,10,-548762.6923102681,0.4508403317799093,0.22542016588995464
2,20,-548767.1635188259,1.8902939737483393,0.9234138252169941
3,30,-548781.5225940834,4.038989423352177,2.0691522225461085
4,40,-548809.8389421308,6.2876629924634475,3.528275000496069
5,50,-548854.2060702102,8.309733287824201,5.14520620333642
6,60,-548915.3909953603,10.015289932797895,6.810787026518664
7,70,-548993.3674126395,11.429203089955262,8.461766170201008
8,80,-549087.7116481418,12.617620421224274,10.066739095810043
9,90,-549197.8384870115,13.641745321589402,11.61321511222486
10,100,-549323.1204030295,14.544552202714838,13.098317462448904
11,110,-549462.9395405905,15.352984907382062,14.523408022920194
12,120,-549616.707366728,16.083464137616108,15.89141531232308
13,130,-549783.8696301964,16.74642712775676,17.205653002457986
14,140,-549963.9058775519,17.349210300127748,18.469361007101543
15,150,-550156.3271878876,17.897586756633235,19.685561885898643
16,160,-550360.6735606618,18.39657152588478,20.85704097130365
17,170,-550576.5116435966,18.85071677732339,21.986366677879413
18,180,-550803.4326725865,19.264240006747436,23.075917302236483
19,190,-551041.0507270169,19.641077121454895,24.12790553076629
20,200,-551289.0012067484,19.984859997290165,25.144397481263148
21,210,-551546.9394464823,20.29892846064757,26.127326801687012
22,220,-551814.5394609049,20.58630107202918,27.078505101088375
23,230,-552091.4927915871,20.849726310014375,27.999630499781052
24,240,-552377.5073533742,21.09171547398435,28.892296158605312
25,250,-552672.3065302746,21.314426733442815,29.75799543231551
26,260,-552975.6281049667,21.51984490827892,30.59812713829742
27,270,-553287.2233517355,21.70980278166826,31.414003694456184
28,280,-553606.8563102643,21.885780572821396,32.20685458953085
29,290,-553934.3028439841,22.0491705869965,32.97783021332871
30,300,-554269.3499163802,22.201299473846987,33.728009984795065
31,310,-554611.7949853182,22.343182496412147,34.45840555392497
32,320,-554961.445255128,22.47580965515226,35.16996399101917
33,330,-555318.1170395509,22.600103339081468,35.86357432504883
34,340,-555681.6353559446,22.71678236734595,36.54007046214829
35,350,-556051.833158437,22.826591466917208,37.200234954892956
36,360,-556428.5510830758,22.930141246213996,37.84480330268126
37,370,-556811.6368104282,23.027854779083334,38.47446471340082
38,380,-557200.944744925,23.120322579762487,39.08986671093154
39,390,-557596.335440559,23.20816411400161,39.69162204728201
40,400,-557997.6755884371,23.291486424743084,40.28030619315541
41,410,-558404.8373159348,23.37068228175622,40.85645809397392
42,420,-558817.697918374,23.446341805066943,41.420589531210126
43,430,-559236.1398569514,23.51843045486891,41.97318276950536
44,440,-559660.050097649,23.587432927335612,42.514691901611506
45,450,-560089.3200076935,23.653565268003245,43.045548304016116
46,460,-560523.845397767,23.716716218885267,43.566156089566356
47,470,-560963.5255497849,23.777393674515803,44.07689747978729
48,480,-561408.2639293798,23.83575459108698,44.578137586648516
49,490,-561857.9671715993,23.8922861342608,45.07022553507704
50,500,-562312.5455898184,23.94654471921953,45.55348982037394
51,510,-562771.912700462,23.99828644815716,46.02823258568532
52,520,-563235.9844860324,24.048804893938396,46.49474841240007
53,530,-563704.6804147743,24.097855840314878,46.95332518364011
54,540,-564177.922462934,24.14508311229882,47.404229030657724
55,550,-564655.6351900982,24.19058300546025,47.84770900598959
56,560,-565137.7456865855,24.234643080551137,48.284004138738965
57,570,-565624.1831166988,24.277455060492624,48.71334501263918
58,580,-566114.8793695803,24.319132959953194,49.135952842679394
59,590,-566609.7678538681,24.360090744861974,49.55204198760038
60,600,-567108.7848684095,24.39945713285141,49.961812244031165
61,610,-567611.8679067966,24.43717339509749,50.36544575343141
62,620,-568118.956671994,24.474178418621754,50.76312285999301
63,630,-568629.992335722,24.510815743321974,51.15502555027196
64,640,-569144.9182681065,24.546076847985432,51.541322059324
65,650,-569663.6791873415,24.579950730345587,51.92216482877847
66,660,-570186.2211622491,24.613748246733987,52.29770916260604
67,670,-570712.4921624874,24.64710458635241,52.66811056867009
68,680,-571242.4414795715,24.67874113644939,53.033505516871806
69,690,-571776.0198269385,24.708621815865627,53.3940148329304
70,700,-572313.1787034448,24.73917484577406,53.749771208858874
71,710,-572853.8713301235,24.77016014767287,54.10091734813322
72,720,-573398.0525986585,24.79855857831416,54.44756730800145
73,730,-573945.67785311,24.82613268274872,54.78982152502722
74,740,-574496.7034708601,24.853942384530246,55.1277955728423
75,750,-575051.0877364706,24.88079196940811,55.46159956244374
76,760,-575608.7889065129,24.907474429474462,55.791336472258266
77,770,-576169.7673755483,24.934877245820662,56.11711622292059
78,780,-576733.9835392338,24.96007258831545,56.43903147554083
79,790,-577301.4001976107,24.98174729249149,56.757144265486566
80,800,-577871.9782091795,25.00563771813177,57.07154182586091
81,810,-578445.6820056441,25.031508386100292,57.382342545464056
82,820,-579022.4756979842,25.05554115037073,57.68963571927016
83,830,-579602.3250523866,25.07770801205473,57.99348393940454
84,840,-580185.1954019843,25.098454332339983,58.29395003109967
85,850,-580771.0537415446,25.119853063952178,58.591109434154355
86,860,-581359.8667509045,25.141678141045972,58.88504582303868
87,870,-581951.6035380268,25.16133250600251,59.17582372960024
88,880,-582546.2319036112,25.181803206936394,59.46350751614227
89,890,-583143.7217632474,25.202620273115652,59.74817369779775
90,900,-583744.0433305029,25.221737622865348,60.02988221671257
91,910,-584347.1670088154,25.242154670128237,60.30869613881222
92,920,-584953.0644185604,25.261417665949622,60.5846796097423
93,930,-585561.7077069858,25.274740158574357,60.857855622921484
94,940,-586173.06873169,25.290960761130755,61.12826770972606
95,950,-586787.1192611383,25.31303054174357,61.396020573288844
96,960,-587403.8351557817,25.3289796648545,61.66116881891212
97,970,-588023.1889334136,25.34571404840667,61.9237385985587
98,980,-588645.1553214005,25.364955808012816,62.1837996489543
99,990,-589269.7104465336,25.37721045430822,62.441380418358314
100,1000,-589896.8285302062,25.391339132038482,62.69650484358572
101,1010,-590526.485378019,25.40831984191311,62.94924530083954
102,1020,-591158.6582746648,25.422143363772193,63.19964741225559
103,1030,-591793.323010432,25.43565042225826,63.44773979325401
104,1040,-592430.4574871091,25.449120122520327,63.693565363480594
105,1050,-593070.0385653389,25.465398068088838,63.93718070285541
106,1060,-593712.0448226775,25.481112842418952,64.17863843168162
107,1070,-594356.4552242719,25.4892975689612,64.41794122732827
108,1080,-595003.247672526,25.504727030172944,64.65512753442745
109,1090,-595652.4005925764,25.51989030501266,64.89026869137743
110,1100,-596303.896717571,25.5212048607644,65.12333788501275
111,1110,-596957.7110582405,25.53834952285979,65.35438097211592
112,1120,-597613.826200747,25.557463819300438,65.58351440320111
113,1130,-598272.2245327417,25.559181191512877,65.81070394590932
114,1140,-598932.8833495729,25.571039564162817,66.03595135029462
115,1150,-599595.7855050098,25.588293799970252,66.2593584838978
116,1160,-600260.9127929826,25.59344119173491,66.48092849206294
117,1170,-600928.2467533823,25.602935170263102,66.70065930178824
118,1180,-601597.7675609413,25.618078222515592,66.91862473356157
119,1190,-602269.4611419839,25.62159259673824,67.134829662877
120,1200,-602943.3064232126,25.62625098566059,67.34925945905707
121,1210,-603619.287830618,25.639151767140376,67.56198241295934
122,1220,-604297.3873691459,25.65093303842039,67.77305609583564
123,1230,-604977.5902719024,25.660110144936887,67.98249226141634
124,1240,-605659.8784570589,25.672331929043338,68.19031911970524
