,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-704988.8353111971,-0.0,0.0
1,10,-704989.0350079576,0.19674246580980254,0.09837123290490127
2,20,-704991.0886050635,0.825417713681236,0.4030968942301115
3,30,-704997.304100111,1.8460241540829885,0.9171220149975853
4,40,-705009.8502532035,3.0398393063107507,1.604772620633594
5,50,-705030.1868476522,4.181013872948824,2.40285392121732
6,60,-705059.0102944067,5.173306296783267,3.2520641665774748
7,70,-705096.517706177,6.028018335188971,4.113745762870531
8,80,-705142.659044255,6.792906799633055,4.968875176075381
9,90,-705197.29438376,7.512446655862732,5.810789998600376
10,100,-705260.2723281016,8.215396985964615,6.638917995446537
11,110,-705331.4597131468,8.915366635296957,7.454931782712811
12,120,-705410.747199892,9.615283533046028,8.260812534557772
13,130,-705498.0445575711,10.311971698785783,9.058063644541836
14,140,-705593.2730167925,10.999704105447742,9.847524515843544
15,150,-705696.3585456839,11.672305856453026,10.629447952919874
16,160,-705807.2265597086,12.32425419641659,11.403657758439657
17,170,-705925.7986827473,12.951077411952436,12.169704743605688
18,180,-706051.9907381157,13.54965585519676,12.926998114444721
19,190,-706185.7119431329,14.118187026726071,13.674908681301165
20,200,-706326.8652628678,14.655652331013691,14.41283122712193
21,210,-706475.3477025222,15.161905920630673,15.14022029541229
22,220,-706631.0510922818,15.637507102388204,15.856615944117946
23,230,-706793.8632827126,16.08332028390432,16.561651230284767
24,240,-706963.6687527911,16.50059091453437,17.255050938480416
25,250,-707140.3498547012,16.890746718854643,17.936628183576975
26,260,-707323.787398158,17.255269485269682,18.606275223440022
27,270,-707513.8616214399,17.595672470913257,19.26395311542437
28,280,-707710.4526119637,17.913531505223354,19.909683393087466
29,290,-707913.4410510985,18.2104421944765,20.543541025536246
30,300,-708122.7085850626,18.48785991763002,21.16564516544749
31,310,-708338.1383320598,18.74711134833342,21.776148927757454
32,320,-708559.6150380517,18.989500612672373,22.37523263851326
33,330,-708787.0254341158,19.216340522441897,22.96310026016872
34,340,-709020.2583668067,19.42872012776793,23.539973407218348
35,350,-709259.2050701383,19.62765486969147,24.106084949252544
36,360,-709503.759013359,19.814390630973477,24.661679888694195
37,370,-709753.8163117262,19.9897160515946,25.20701105656335
38,380,-710009.2756495012,20.154199665179476,25.7423291922576
39,390,-710270.0380571537,20.308881677227312,26.2678863078705
40,400,-710536.0072326595,20.454616043833056,26.783939286331588
41,410,-710807.0894248142,20.59188334823125,27.290742515516467
42,420,-711083.1934318616,20.72112027131954,27.788543047383428
43,430,-711364.2304347657,20.84327539333896,28.27758671797783
44,440,-711650.1140313221,20.9588584433426,28.75811923128931
45,450,-711940.7605381063,21.067851294486868,29.230375313841794
46,460,-712236.0881384583,21.170999484765392,29.694582110064218
47,470,-712536.0176203754,21.26887343660639,30.15096628070896
48,480,-712840.4718103639,21.3617090937216,30.59974869479629
49,490,-713149.3758715267,21.44973709876649,31.04114136621065
50,500,-713462.6569065143,21.533474694006127,31.47535098150547
51,510,-713780.2441121463,21.613018694002005,31.902578068582805
52,520,-714102.0687824199,21.68850844635157,32.32301375916577
53,530,-714428.063739977,21.760634945621057,32.73684611853241
54,540,-714758.1641263611,21.829337142768743,33.14425861951604
55,550,-715092.3064885213,21.89522069855597,33.545429572474674
56,560,-715430.4293496674,21.95804662068852,33.940531021055364
57,570,-715772.4730339373,22.017683317983675,34.32972258170485
58,580,-716118.3788919884,22.075101618736475,34.71316275483114
59,590,-716468.0905851905,22.12984859390143,35.09100644477149
60,600,-716821.5526423224,22.182350329938387,35.463400453966464
61,610,-717178.7114236259,22.23321711223385,35.83049285790912
62,620,-717539.5146262096,22.281779419252416,36.192424111945726
63,630,-717903.9114208235,22.327871939502074,36.54932121430902
64,640,-718271.8519516577,22.372665304317934,36.90131299485219
65,650,-718643.2878446494,22.415955809076014,37.24852987184276
66,660,-719018.1721929209,22.457271686458355,37.59109114725288
67,670,-719396.4587028193,22.497580097653554,37.92911438215087
68,680,-719778.102901873,22.53621400773996,38.26271422687859
69,690,-720163.0609520923,22.573447960882966,38.59199739267933
70,700,-720551.2902073001,22.609555718343373,38.9170699291004
71,710,-720942.7492581542,22.6440877583895,39.23803216240922
72,720,-721337.397258852,22.677932729478922,39.554983213113154
73,730,-721735.194796756,22.710561489680757,39.86802064809308
74,740,-722136.1031619203,22.741965196677484,40.17723436612287
75,750,-722540.0844786399,22.773031957621992,40.48271650617826
76,760,-722947.102019149,22.803084935818333,40.78455701485945
77,770,-723357.1197775678,22.831645211586256,41.08283474692871
78,780,-723770.1025000281,22.85952762735542,41.37762761687627
79,790,-724186.0156714108,22.887236511643334,41.669018977673836
80,800,-724604.8258155879,22.91402142588055,41.957087538874475
81,810,-725026.500039437,22.94014005690691,42.24190597560664
82,820,-725451.0061418606,22.965486609895073,42.52354523336544
83,830,-725878.3128716887,22.989803881332104,42.802071482769676
84,840,-726308.3891445284,23.01408047504944,43.07755285149178
85,850,-726741.2051274978,23.037554648617515,43.35005645309283
86,860,-727176.7312331367,23.06061763257015,43.61964483876654
87,870,-727614.9385854944,23.08363081729021,43.88638274202239
88,880,-728055.7991904113,23.105403214763044,44.15032798703323
89,890,-728499.2852070852,23.12668334954651,44.41153387447412
90,900,-728945.3696036927,23.148215208115417,44.67006025743176
91,910,-729394.0258436645,23.169323186710244,44.92596542658575
92,920,-729845.228112622,23.1895262511795,45.179299434112906
93,930,-730298.9507981281,23.209354575068573,45.43011094429676
94,940,-730755.1690242693,23.229120053787483,45.67845156972908
95,950,-731213.8582706886,23.24888366754749,45.92437326457002
96,960,-731674.9946678544,23.26808472471305,46.167923751463235
97,970,-732138.5547468985,23.286248184516513,46.409143899874465
98,980,-732604.5153467414,23.30471441351706,46.64807771116175
99,990,-733072.8537996793,23.32336579997486,46.884774092079894
100,1000,-733543.5481539605,23.34118123486384,47.119274775021765
101,1010,-734016.5764346016,23.358790165520766,47.35161825627292
102,1020,-734491.9174336735,23.37655733327272,47.58184679866972
103,1030,-734969.55007553,23.39388521574714,47.810000315580695
104,1040,-735449.4539907721,23.410517225670702,48.03611342875665
105,1050,-735931.6087204256,23.427567962935427,48.26022383978415
106,1060,-736415.9945929575,23.444841928436503,48.482372564247626
107,1070,-736902.5921531167,23.461246384956834,48.702593433721624
108,1080,-737391.3823053046,23.4768722251992,48.9209146494395
109,1090,-737882.346145204,23.49278301203763,49.13736893239256
110,1100,-738375.4651555129,23.509491688193442,49.35199531793623
111,1110,-738870.7213420664,23.525931570495437,49.56482930852361
112,1120,-739368.0969117896,23.541509285010477,49.77589799684938
113,1130,-739867.5743521074,23.556886329408815,49.98522803075029
114,1140,-740369.1363499538,23.572586671763403,50.19285057909146
115,1150,-740872.7660829729,23.587486377247924,50.398793405722245
116,1160,-741378.4468711608,23.602409006003455,50.60308221589658
117,1170,-741886.1621569261,23.618643419104046,50.80575111106009
118,1180,-742395.8961540939,23.634055374230705,51.006829787079184
119,1190,-742907.6329807662,23.64793662812436,51.206335167781795
120,1200,-743421.3569812217,23.662646241718903,51.40429060539172
121,1210,-743937.0526908679,23.67853585521516,51.60073015421658
122,1220,-744454.7053570967,23.6935448144447,51.795680035563414
123,1230,-744974.3000161283,23.707542351441138,51.989156850805735
124,1240,-745495.8221083208,23.721786089241505,52.18118133744865
125,1250,-746019.2571112592,23.736572094640085,52.37177998909028
126,1260,-746544.5910486059,23.75153278578646,52.56097839169815
127,1270,-747071.8099094603,23.766003456772797,52.74879744867066
128,1280,-747600.9001580293,23.77995810993025,52.93525485278078
129,1290,-748131.8480630808,23.79407220582352,53.12037040021677
130,1300,-748664.6405043621,23.809126931970148,53.30416905140882
131,1310,-749199.2642235869,23.82382397579204,53.486673242393586
132,1320,-749735.7067359047,23.836870551598356,53.6678950445872
133,1330,-750273.9548341619,23.8503493163039,53.84784918827354
134,1340,-750813.9962615538,23.865345599170446,54.026561952639895
135,1350,-751355.8184821253,23.88016938217333,54.204056821437554
136,1360,-751899.409770964,23.893482681922904,54.380345579553975
137,1370,-752444.7577358315,23.907515591540044,54.55544297242304
138,1380,-752991.8507752805,23.921821470139548,54.729369945157664
139,1390,-753540.6772860609,23.9356702926362,54.90214274478057
140,1400,-754091.2256408927,23.949731451983,55.07377703339297
