,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-689682.3243852416,-0.0,0.0
1,10,-689682.7266713708,0.27657914140436335,0.13828957070218167
2,20,-689685.6642973707,1.2264400337298866,0.583189149836835
3,30,-689694.5944092853,2.897912613133667,1.3727845937915846
4,40,-689713.5330101744,4.9017884674132794,2.4684935877405225
5,50,-689745.1009820417,6.756146571657154,3.756831803332898
6,60,-689790.4196076522,8.278656471753495,5.122334499811405
7,70,-689849.6567273713,9.488081541942668,6.489942649262958
8,80,-689922.4972482751,10.46471560739446,7.8217074848638735
9,90,-690008.430081512,11.28714238923567,9.102815676394675
10,100,-690106.8984669349,12.013576138706412,10.330557949398644
11,110,-690217.3685129381,12.6810640923446,11.507648760531445
12,120,-690339.3539901496,13.310351094079678,12.638658726982246
13,130,-690472.4199047001,13.91143287527666,13.72831179982313
14,140,-690616.1773503445,14.488045402016724,14.780797103339863
15,150,-690770.2757053091,15.040725302940704,15.799584806367054
16,160,-690934.3951259737,15.56866566431708,16.78746311847499
17,170,-691108.240106726,16.07080728852015,17.746654723088433
18,180,-691291.5345657638,16.546320092357934,18.678945528257465
19,190,-691484.0181723511,16.994818579344447,19.58579759870045
20,200,-691685.4436057591,17.416417341388275,20.46844010011264
21,210,-691895.5748034064,17.811594310688058,21.327936112473253
22,220,-692114.1854804371,18.181174847116942,22.16523021055182
23,230,-692341.0582807678,18.526245305777444,22.981183192973553
24,240,-692575.9840366554,18.848040254297658,23.776595161440493
25,250,-692818.7613151827,19.147878718649736,24.552220241111357
26,260,-693069.1959932975,19.42709593801411,25.308775814292314
27,270,-693327.1009555474,19.68705578467052,26.046948920223805
28,280,-693592.2957898442,19.92910961478485,26.767400984754204
29,290,-693864.606604482,20.154513190645957,27.47076954889635
30,300,-694143.8657429835,20.364479055278935,28.157669139886274
31,310,-694429.9115819555,20.560138859960716,28.828692267043515
32,320,-694722.5883348632,20.74258489646013,29.4844102989533
33,330,-695021.7457708612,20.91287468771621,30.12537492565316
34,340,-695327.2391578634,21.07187754698099,30.75211721550731
35,350,-695638.9288987822,21.220392071118177,31.36514622582763
36,360,-695956.6804250366,21.3592508812901,31.9649509462266
37,370,-696280.363903356,21.489214434951904,32.552001998128254
38,380,-696609.854193189,21.61100034622944,33.12675205550331
39,390,-696945.0304911027,21.72518071718234,33.68963528112945
40,400,-697285.7763827584,21.832203794852774,34.241065786477705
41,410,-697631.9793154824,21.93271979271958,34.78144052650751
42,420,-697983.5307761227,22.027192411827855,35.31114120019484
43,430,-698340.3259152697,22.115991629436,35.830532374653565
44,440,-698702.2634479745,22.199590480525544,36.339963141661435
45,450,-699069.2455305262,22.27844579311201,36.839769501893905
46,460,-699441.1775657176,22.35274673306852,37.33027242688696
47,470,-699817.9682087098,22.422624363470856,37.81177562234808
48,480,-700199.528854533,22.488688380829956,38.28457135003992
49,490,-700585.7739714582,22.5512259080715,38.74894307075593
50,500,-700976.620716999,22.6103610040445,39.20516123087874
51,510,-701371.9888982131,22.666241553015425,39.65348289536051
52,520,-701771.8008682684,22.71893453561941,40.09415224341356
53,530,-702175.9812693234,22.769060144224166,40.52740599121608
54,540,-702584.4571230266,22.816697214252628,40.95347416035366
55,550,-702997.1578367689,22.86173525173213,41.37257383213437
56,560,-703414.0146349806,22.904514051461632,41.784912378713486
57,570,-703834.9611207611,22.944982655198086,42.190688746135855
58,580,-704259.9325141142,22.98348392681813,42.59009400594077
59,590,-704688.8661469675,23.02021309896077,42.98331403975462
60,600,-705121.701071818,23.055338173289783,43.370528409551476
61,610,-705558.3780973088,23.088488321343902,43.751906131935534
62,620,-705998.8398549707,23.119746226991992,44.127605602555555
63,630,-706443.030039992,23.150144193615326,44.49778647202619
64,640,-706890.8946034311,23.179065772145805,44.86260422649502
65,650,-707342.380486925,23.20617008386762,45.22219967848505
66,660,-707797.4362679991,23.23206743607884,45.576709190009566
67,670,-708256.0116539097,23.257199069077615,45.92627088797162
68,680,-708718.0579734375,23.28110379319415,46.271016661768954
69,690,-709183.527715861,23.303663538146115,46.611068375571634
70,700,-709652.374445813,23.325453614001113,46.9465458856168
71,710,-710124.5531479793,23.346215133558093,47.27756623430324
72,720,-710600.0197488251,23.366047142143255,47.604240416297394
73,730,-711078.731377356,23.385086862486784,47.926676460387526
74,740,-711560.6461891384,23.403306796785962,48.24497873954241
75,750,-712045.7233529587,23.420567593421016,48.55924630816152
76,760,-712533.9230655581,23.43711869285913,48.86957499579875
77,770,-713025.2062979445,23.45341662168783,49.17606147927435
78,780,-713519.5352676056,23.468562140007215,49.478795893299676
79,790,-714016.8728359806,23.48304032861779,49.77786223172006
80,800,-714517.1826297248,23.497448325390167,50.07334812127665
81,810,-715020.4295210185,23.510641969170013,50.36533459287312
82,820,-715526.5787160068,23.52331068375497,50.6538968336783
83,830,-716035.5963996215,23.535963173516034,50.93911456560454
84,840,-716547.4495879882,23.548061458929382,51.221064508782
85,850,-717062.1059110791,23.55936541876872,51.499816043738974
86,860,-717579.5338225691,23.57036806708208,51.775437569848144
87,870,-718099.7021827338,23.581332269826213,52.04799949159642
88,880,-718622.5810190416,23.590625961474018,52.31756203720724
89,890,-719148.1404462367,23.60012171940749,52.58418463819543
90,900,-719676.3512273148,23.61032286137931,52.84793805201625
91,910,-720207.185506018,23.61888578343813,53.10888061006844
92,920,-720740.6149124153,23.627612153044836,53.367065643394014
93,930,-721276.6124936162,23.63619039511832,53.62255287145526
94,940,-721815.1514723649,23.644133849669082,53.87539583331527
95,950,-722356.2055846101,23.651927789600382,54.12564633319998
96,960,-722899.7493658676,23.65824002316208,54.3733501637922
97,970,-723445.7573820418,23.66565805890693,54.618558092051536
98,980,-723994.2048593799,23.673594039329537,54.861329663248036
99,990,-724545.0682137245,23.679577463071027,55.10170713187691
100,1000,-725098.3230443369,23.68573265353895,55.339729620715666
101,1010,-725653.946551453,23.692019594865197,55.575445509700515
102,1020,-726211.9155223552,23.69780129263534,55.80889842802863
103,1030,-726772.2078672388,23.703403527612462,56.04012918630761
104,1040,-727334.8012557825,23.708621590863913,56.269178009624014
105,1050,-727899.674388278,23.714031455892837,56.49608572658617
106,1060,-728466.8056898216,23.719364281050943,56.720893479678494
107,1070,-729036.1748260624,23.724195457133693,56.94363799989224
108,1080,-729607.760827363,23.729169779853194,57.16435599382676
109,1090,-730181.5441219616,23.73367939761673,57.383083350305974
110,1100,-730757.5045463043,23.736990809498586,57.59984885205631
111,1110,-731335.6230249791,23.74053733048479,57.81468362217129
112,1120,-731915.8798982673,23.746092225424945,58.027632319807886
113,1130,-732498.2570765843,23.750734401331123,58.23873340523859
114,1140,-733082.7359974537,23.753295022674138,58.44800626889772
115,1150,-733669.2984678005,23.757394241605816,58.65548040585998
116,1160,-734257.9265861217,23.761274063028395,58.86119270905618
117,1170,-734848.603300492,23.76321981649954,59.06516421524865
118,1180,-735441.31071757,23.766963933769148,59.267423910982316
119,1190,-736036.0323108986,23.770816597712194,59.4680087659406
120,1200,-736632.751446962,23.77322891517551,59.66694126708316
121,1210,-737231.4515117583,23.776370438115727,59.86424585218337
122,1220,-737832.1165859924,23.77905322570013,60.05995045297459
123,1230,-738434.7306697875,23.781345926126058,60.254077727056575
124,1240,-739039.2781359165,23.78436776452017,60.44665457369556
125,1250,-739645.7435988496,23.78709830554726,60.63770767564566
126,1260,-740254.1120625387,23.789403537340426,60.82725846385729
127,1270,-740864.3683993695,23.791737083901715,61.01532911508257
128,1280,-741476.4981807602,23.79397375360122,61.2019425812934
129,1290,-742090.4866603883,23.796276001012302,61.387121419179316
130,1300,-742706.3199157796,23.798159288359244,61.57088642896852
131,1310,-743323.9836116399,23.8000355092311,61.75325764103473
132,1320,-743943.4641613493,23.801795890310032,61.93425578898896
133,1330,-744564.7477493066,23.804209894722142,62.1139036176377
134,1340,-745187.8210723404,23.806998268066863,62.29222521160992
135,1350,-745812.6710478439,23.80856095743356,62.46923715009762
136,1360,-746439.2845499786,23.808325044135277,62.64494761227543
137,1370,-747067.648734813,23.80989633314311,62.81937565092812
138,1380,-747697.7504761592,23.813757571665533,62.992554813133026
