,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-780837.4589636235,-0.0,0.0
1,10,-780837.5641285962,0.08266079384484327,0.04133039692242164
2,20,-780838.265543935,0.5062181717716158,0.20921533678774723
3,30,-780841.0808902954,1.5834809474501528,0.5996833709723433
4,40,-780849.1964876819,3.249644872010686,1.269802471215371
5,50,-780865.710731294,5.070158938775421,2.183023974094249
6,60,-780892.623880149,6.7157546952192195,3.249686092573393
7,70,-780930.9018438028,8.081813917643741,4.3866047398638335
8,80,-780980.8229705842,9.185639790399001,5.537979649452609
9,90,-781042.2747501266,10.083698778841063,6.672287624065939
10,100,-781114.9502599713,10.834638796368376,7.7742250515977505
11,110,-781198.4640954676,11.486653776260212,8.838077617609816
12,120,-781292.416104544,12.075061114830898,9.863325790254748
13,130,-781396.423090904,12.623510959043042,10.851972988976922
14,140,-781510.1321528327,13.146516666823297,11.807011093634355
15,150,-781633.2236585221,13.652162843907721,12.731601640817825
16,160,-781765.4096773124,14.14423354817555,13.628681033995235
17,170,-781906.429993724,14.623932417458857,14.500803991712747
18,180,-782056.0477856625,15.090957948012523,15.350112927383453
19,190,-782214.0455816728,15.544312480997178,16.17836705848022
20,200,-782380.2213561193,15.983005639340247,16.98700305422681
21,210,-782554.3860380027,16.40589251567144,17.777194683678687
22,220,-782736.3609378547,16.812036959698897,18.54990292123112
23,230,-782925.97581341,17.20108199846292,19.305931235499163
24,240,-783123.067859517,17.57270541186442,20.045965830096975
25,250,-783327.4805140321,17.926738936876063,20.770598638248337
26,260,-783539.0626235323,18.263429924304383,21.48035322322248
27,270,-783757.6679969531,18.583234066006817,22.175706993644415
28,280,-783983.1549720465,18.886560338770515,22.857100963879198
29,290,-784215.386197009,19.173893232201255,23.524945336001107
30,300,-784454.2281210447,19.44601939150017,24.17963002526521
31,310,-784699.5511463507,19.70361354401682,24.821530566908766
32,320,-784951.2292958982,19.947311441227782,25.451007526629837
33,330,-785209.1401131685,20.17789017097383,26.06840987655014
34,340,-785473.1646100533,20.396048609941463,26.67407737652393
35,350,-785743.1871286784,20.602476150495956,27.268340355710826
36,360,-786019.0952755142,20.797857951745442,27.851520581793743
37,370,-786300.7798312175,20.98288279884434,28.42393219026708
38,380,-786588.1346720326,21.158167177776313,28.985881597071423
39,390,-786881.0567313769,21.324211007720457,29.537665854232912
40,400,-787179.4458234749,21.481632568524205,30.07957358195126
41,410,-787483.2046171853,21.631021635877538,30.611886935836807
42,420,-787792.2386074858,21.772827067138845,31.134880204843647
43,430,-788106.455938736,21.907526562197035,31.64881920802727
44,440,-788425.7674172749,22.035518673586225,32.1539615102738
45,450,-788750.0863547631,22.157218704596744,32.65055645050452
46,460,-789079.3285167672,22.273079706157958,33.138846461902716
47,470,-789413.4120763055,22.383431796688786,33.619066769219344
48,480,-789752.2575116563,22.488587484927848,34.09144450371241
49,490,-790095.7875270365,22.58888179679932,34.55619941719196
50,500,-790443.9269961161,22.684586415271113,35.013544075189564
51,510,-790796.6028812751,22.775954417389585,35.463683610101
52,520,-791153.7441497081,22.863307341968138,35.906816774532494
53,530,-791515.2817291744,22.946882837111442,36.34313629497046
54,540,-791881.1484627939,23.026830530574195,36.772827715537275
55,550,-792251.278979215,23.1033749131603,37.196069790367616
56,560,-792625.6096873839,23.17675937099844,37.61303582292312
57,570,-793004.0786837378,23.247161674703158,38.02389364528062
58,580,-793386.625740096,23.31470596704154,38.428804960654816
59,590,-793773.1921859271,23.379587529544327,38.82792590290628
60,600,-794163.7209003716,23.44189631834169,39.22140713660046
61,610,-794558.156255933,23.5017866787995,39.609393868314505
62,620,-794956.443991526,23.559551961347417,39.99202785082743
63,630,-795358.5313335971,23.615108825490505,40.36944573622749
64,640,-795764.3667936233,23.668530326150403,40.741777628015555
