,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-699185.1016646422,-0.0,0.0
1,10,-699185.1835972107,0.07955048178555443,0.03977524089277722
2,20,-699185.8075047936,0.49756394694559275,0.2039414685219526
3,30,-699188.529481619,1.55043933535635,0.5867390111510757
4,40,-699196.464623884,3.1628205429180527,1.2404981349085573
5,50,-699212.5478904988,4.94929631218838,2.130780333992152
6,60,-699238.7499484034,6.632793995901009,3.178442798202741
7,70,-699276.160669876,8.109955176422954,4.310458143796131
8,80,-699325.2538995623,9.369945616903717,5.475362257454254
9,90,-699386.1160502614,10.439269879870702,6.640943296281331
10,100,-699458.6075788056,11.355100703367494,7.7886577692203005
11,110,-699542.4681856685,12.153192213087454,8.908830632256286
12,120,-699637.3816608625,12.863119246484718,9.997211762060761
13,130,-699743.0137473049,13.507232049666353,11.052683988984793
14,140,-699859.0328070743,14.101369022333529,12.075813236198158
15,150,-699985.1200229403,14.656210891538644,13.067973921475645
16,160,-700120.9735790641,15.178677323507145,14.030847950886528
17,170,-700266.3095276199,15.673121015928334,14.966155764773431
18,180,-700420.8610443628,16.14223788250818,15.875525409037074
19,190,-700584.3769641016,16.58772617747601,16.76044001570699
20,200,-700756.6201494003,17.01071849768052,17.62222708808258
21,210,-700937.365929378,17.412057440678467,18.462067846731223
22,220,-701126.4006914332,17.792482181964434,19.2810152379825
23,230,-701323.5207183509,18.152696317923265,20.08001366602548
24,240,-701528.5312010697,18.493421462201496,20.859917112819673
25,250,-701741.2454139637,18.815428239031462,21.62150529139617
26,260,-701961.4840798099,19.119514773978153,22.365496832599455
27,270,-702189.0747947589,19.406513198884173,23.09255968307552
28,280,-702423.8515966638,19.677268499787907,23.803319351768003
29,290,-702665.6545654784,19.932631921651794,24.49836521402176
30,300,-702914.3294970889,20.17345829526315,25.178255586557498
31,310,-703169.7276216071,20.40057598902497,25.84352143968863
32,320,-703431.7053419077,20.614793585240818,26.494669137668097
33,330,-703700.1240015926,20.81689123752001,27.132182730430213
34,340,-703974.849678708,21.00761675537216,27.75652571394312
35,350,-704255.7529770175,21.1876869950647,28.368142497249938
36,360,-704542.70885875,21.357771877082996,28.967459460551616
37,370,-704835.5964518654,21.518513743166125,29.55488590732566
38,380,-705134.2988964331,21.67051555878132,30.130814996200204
39,390,-705438.703184814,21.814331167077746,30.69562427121418
40,400,-705748.7000031255,21.950494711170876,31.24967636750225
41,410,-706064.1835907544,22.07950319677472,31.793319785498895
42,420,-706385.051604529,22.20181091625718,32.326889292418485
43,430,-706711.2049754234,22.317851712726497,32.85070646886743
44,440,-707042.5477877576,22.428027410386036,33.36508032034908
45,450,-707378.9871523833,22.532708530095924,33.870307696306554
46,460,-707720.4330868138,22.632244813494715,34.366673785434976
47,470,-708066.7984035922,22.726959394363803,34.85445261022105
48,480,-708417.9985987513,22.817152108764276,35.33390744179051
49,490,-708773.9517479027,22.903103610884934,35.80529124847672
50,500,-709134.5784041127,22.98507562067229,36.26884714357003
51,510,-709499.8015033241,23.063312198821222,36.72480880368676
52,520,-709869.5462699707,23.13803554057384,37.17340081856383
53,530,-710243.7401310583,23.209456761777908,37.61483906879294
54,540,-710622.3126247061,23.277777427760846,38.049331184237964
55,550,-711005.1953299334,23.343172510518304,38.47707681960746
56,560,-711392.3217775361,23.40581556528349,38.89826797491259
