,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-623676.2190419766,-0.0,0.0
1,10,-623677.0089722902,0.4416474904544884,0.2208237452272442
2,20,-623682.5607764986,1.569383079226827,0.8339932602611952
3,30,-623696.2547325356,3.012305320508313,1.7283899168192873
4,40,-623720.2901726052,4.468453864566983,2.7889975366415456
5,50,-623755.664563721,5.790547172771767,3.926608986989595
6,60,-623802.7041073574,6.968096649949438,5.086338425095891
7,70,-623861.3987722887,8.021837290111579,6.240001523790124
8,80,-623931.572019776,8.975433520111256,7.37395449666219
9,90,-624012.9720510856,9.849781498315858,8.482129174908913
10,100,-624105.3170997951,10.660981839144368,9.562388350105902
11,110,-624208.3221365416,11.419515345036057,10.61450632138294
12,120,-624321.7061071708,12.131883221108005,11.639070334915594
13,130,-624445.1977323432,12.801549354751469,12.636932752003485
14,140,-624578.5347252835,13.430119040462877,13.608947143466501
15,150,-624721.4627107749,14.0193051409442,14.555904423419268
16,160,-624873.7351120833,14.570320563763374,15.47853711240168
17,170,-625035.1125029157,15.084152181676487,16.377511164774475
18,180,-625205.3613002924,15.562548162956963,17.253455704056247
19,190,-625384.2544178369,16.007709890638935,18.107004232020696
20,200,-625571.5709288637,16.42158107715659,18.93879928238748
21,210,-625767.0967746332,16.805823129756018,19.749477455262966
22,220,-625970.6237195893,17.16264195828119,20.53967614571593
23,230,-626181.9502231051,17.494607916026133,21.31005375361419
24,240,-626400.8813138754,17.80319920254402,22.0612713003924
25,250,-626627.2290766485,18.09019101063316,22.793975103991396
26,260,-626860.8109068325,18.358268217236073,23.508822543766293
27,270,-627101.4522358088,18.608742232693437,24.206472500970996
28,280,-627348.9839893545,18.842855040263345,24.887558392903884
29,290,-627603.2439019806,19.062163139361676,25.552695932355707
30,300,-627864.0754362197,19.26798111133394,26.20248693603935
31,310,-628131.3282069652,19.46175066132855,26.83751915877656
32,320,-628404.8575245667,19.644608495198213,27.458365370729005
