,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-725076.2206668084,-0.0,0.0
1,10,-725076.357667902,0.13399854665331076,0.06699927332665538
2,20,-725077.4769900682,0.7396750107756817,0.3189172993472312
3,30,-725081.9916119553,2.0618829994375116,0.8474832186140702
4,40,-725093.5268135435,3.9003636082867166,1.6786758362228285
5,50,-725115.1173293345,5.810976470937022,2.74731893435237
6,60,-725148.5802731017,7.5177425021014646,3.954895123287861
7,70,-725194.7308584811,8.947673636875695,5.220493210620771
8,80,-725253.7520160072,10.125330639258028,6.492445921065518
9,90,-725325.4739512671,11.102075579625671,7.742061062665016
10,100,-725409.550412109,11.928034162236148,8.955244747422693
11,110,-725505.5596021847,12.644199927442244,10.126382815872784
12,120,-725613.0609448598,13.28170266720699,11.254523454011359
13,130,-725731.6241619294,13.862834886569184,12.341113688987388
14,140,-725860.8438198345,14.402520863793322,13.388675391298602
15,150,-726000.3435982481,14.910509983237716,14.400068135875335
16,160,-726149.7767544201,15.393166844081122,15.37812159919413
17,170,-726308.8243945221,15.854120278052859,16.32545571830851
18,180,-726477.192606116,16.29515855055653,17.244396666616375
19,190,-726654.6090032151,16.717229239846347,18.136967044946502
20,200,-726840.8199212574,17.121162369498037,19.00492318944307
21,210,-727035.5877787288,17.50734828228017,19.849793874449094
22,220,-727238.6895611379,17.875852763501477,20.67290488120634
23,230,-727449.913884304,18.226952493455578,21.475412359878824
24,240,-727669.0607514975,18.56097179353239,22.2583373699279
25,250,-727895.9390376939,18.878491446594126,23.022594111225043
26,260,-728130.3668948463,19.179826872813255,23.769006764634103
27,270,-728372.1697773983,19.465542871569077,24.49832260525145
28,280,-728621.1804641533,19.73641476376217,25.21123159931594
29,290,-728877.238358394,19.992887338931872,25.90837253135978
30,300,-729140.1889116942,20.235713695990842,26.590339380412477
31,310,-729409.8833357192,20.46569165454425,27.257693076225404
32,320,-729686.1783108298,20.68333892337978,27.91096204778296
33,330,-729968.9356571148,20.88927457751119,28.55064337872609
34,340,-730258.0218836196,21.084400535793975,29.177212252753087
35,350,-730553.3083113317,21.26920842054825,29.791122801094023
36,360,-730854.6706335103,21.44417125652543,30.39280434756947
37,370,-731161.9886323148,21.610054588157826,30.98266782417049
38,380,-731475.1462403528,21.767375217826352,31.561108420688832
39,390,-731794.0311744744,21.91660232695281,32.12850333361712
40,400,-732118.5348737403,22.058265039464402,32.6852137277252
41,410,-732448.5522831231,22.19280586843964,33.23158601472387
42,420,-732783.9817721673,22.32062570982965,33.76795172337006
43,430,-733124.7249096923,22.442219696301557,34.29462950099114
