,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-650823.2940053603,-0.0,0.0
1,10,-650823.6594379047,0.3231194670224795,0.16155973351123976
2,20,-650827.1232837541,1.3100769963872152,0.6506387161192833
3,30,-650837.3150816744,2.7991562720766523,1.4446840105621956
4,40,-650857.1541020756,4.419264410575852,2.463618107230286
5,50,-650888.2928090717,5.899426268748358,3.6059687854271028
6,60,-650931.3775645029,7.158870167972054,4.79248392629961
7,70,-650986.465946619,8.220623876625906,5.976243860056274
8,80,-651053.32682805,9.136013905098661,7.134432148883933
9,90,-651131.6140777471,9.952257923473372,8.258336235923343
10,100,-651220.9561611225,10.702626060869083,9.34637075693754
11,110,-651320.9944663128,11.407071724606794,10.400005320190395
12,120,-651431.3959984386,12.076397219533103,11.42169179788034
13,130,-651551.8551156953,12.715370963158781,12.413927744713147
14,140,-651682.0904931531,13.324876843043596,13.378868932745537
15,150,-651821.8399834259,13.904490176704707,14.318240397315822
16,160,-651970.856064562,14.453809495968741,15.233404949955002
17,170,-652128.9034916278,14.972511521572605,16.12545448263263
18,180,-652295.7561597108,15.46095489972504,16.995293437998043
19,190,-652471.1964387039,15.919625303699279,17.843701915426937
20,200,-652655.0139324146,16.34889714891326,18.671361852141857
21,210,-652847.0043864194,16.750621617186713,19.47890860508342
22,220,-653046.9694994162,17.126575111399863,20.266973272743055
23,230,-653254.7182800724,17.47744591336811,21.03615809256153
24,240,-653470.064293893,17.805537212546923,21.78705126086716
25,250,-653692.8277318357,18.11254577798538,22.52025086835493
26,260,-653922.8349837242,18.39934054648037,23.236335255962334
27,270,-654159.9172568436,18.668314082708093,23.935878248060185
28,280,-654403.9123513191,18.920777932659227,24.619458802622106
29,290,-654654.6635434557,19.157711352818296,25.287635205285916
30,300,-654912.019401675,19.38055379301659,25.940949803321566
31,310,-655175.8342595198,19.59054902603384,26.57993563039927
32,320,-655445.9671904215,19.78912528585647,27.205117310184868
33,330,-655722.2831033595,19.976783354545464,27.817000928451307
34,340,-656004.6513857754,20.154160357330657,28.416064175263454
35,350,-656292.9462300532,20.32244134676878,29.002769477068796
36,360,-656587.0463580203,20.48281506355852,29.577573610286343
37,370,-656886.8350040003,20.635740149617725,30.14091850620898
38,380,-657192.2000136691,20.78125937852896,30.69321748298389
39,390,-657503.0326862173,20.920180088561068,31.234862543418423
40,400,-657819.22867919,21.05324760801153,31.766235575551402
41,410,-658140.686963397,21.181062235790932,32.28770680767339
42,420,-658467.310592319,21.303737003722986,32.799628361406214
43,430,-658799.0056915383,21.4215040133392,33.302331534086264
44,440,-659135.6817787848,21.53498785214036,33.79613456110238
45,450,-659477.2514001572,21.644331132891335,34.281342900292664
