,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-659049.0535768754,-0.0,0.0
1,10,-659049.0320885939,0.11479549196956214,0.05739774598478107
2,20,-659049.485733799,0.7921431582421066,0.31283128153008877
3,30,-659053.5809317098,2.3492921881290387,0.9024157691121218
4,40,-659065.7607538876,4.455770598258823,1.850935791915981
5,50,-659089.4536706675,6.579391641804251,3.065846280878759
6,60,-659126.5934799587,8.430799630447291,4.426352080929792
7,70,-659177.9615427596,9.94511823399225,5.839284304942703
8,80,-659243.6315368995,11.162874107807873,7.247329524822998
9,90,-659323.298661903,12.153084554328233,8.620180520690337
10,100,-659416.4839643793,12.980432518495943,9.94437351074448
11,110,-659522.6494901768,13.6952237613732,11.215905307640787
12,120,-659641.2581219331,14.332830117316917,12.4356167335005
13,130,-659771.8011321283,14.916441345989007,13.606527270926744
14,140,-659913.8083798779,15.460395506484199,14.732393535839218
15,150,-660066.8495166829,15.973067456652657,15.816986100102076
16,160,-660230.5311964127,16.45909084649756,16.863768270943545
17,170,-660404.4927477886,16.920918570941996,17.875788935512535
18,180,-660588.4017400638,17.359821804467362,18.855680283474793
19,190,-660781.9499049435,17.77649767783006,19.805700126290322
20,200,-660984.8496655026,18.17145718389657,20.72778912635695
21,210,-661196.8312677359,18.54520594453495,21.62362807844329
22,220,-661417.6405053091,18.898292126873283,22.49468724017934
23,230,-661647.0368323275,19.23136697150767,23.342267074459233
24,240,-661884.7918762554,19.54520317835265,24.167532002374355
25,250,-662130.6882525217,19.840644310315845,24.971536621463017
26,260,-662384.5185858323,20.118580115237283,25.755245279116203
27,270,-662646.0847036124,20.379936782328905,26.519547287272868
28,280,-662915.196957125,20.625655938102874,27.265268808591642
29,290,-663191.6736536399,20.85666721961459,27.993181803883633
30,300,-663475.3405511864,21.073889118415536,28.704010999873567
31,310,-663766.030420522,21.278204953845115,29.39843933927477
32,320,-664063.5826640723,21.47045713607224,30.077112086120177
33,330,-664367.8429357316,21.65145815174037,30.7406403751098
34,340,-664678.6628483783,21.8219640425348,31.38960400726792
35,350,-664995.8996426404,21.982697002880755,32.02455377180013
36,360,-665319.4159315579,22.13433080149116,32.646013561544535
37,370,-665649.0794318381,22.277484527984026,33.25448191089236
38,380,-665984.762715628,22.412753503723124,33.850433650473136
39,390,-666326.3429880932,22.540680387377506,34.434321383727365
40,400,-666673.7018718073,22.661764248856286,35.00657651872753
41,410,-667026.7251908993,22.776477358993812,35.56761049085035
42,420,-667385.3027922355,22.885253806837106,36.117815907562914
43,430,-667749.3283472265,22.988500506078708,36.65756755068288
44,440,-668118.6991924797,23.086584802519127,37.18722325067648
45,450,-668493.3161551872,23.17984682670785,37.70712465888065
46,460,-668873.0833970899,23.268615823617438,38.21759824972397
47,470,-669257.9082714383,23.353186777155564,38.71895614414099
48,480,-669647.701180677,23.43382355128415,39.211496630003964
49,490,-670042.3754402658,23.510777281486558,39.695504849290586
50,500,-670441.847150557,23.584300206421105,40.17125374198221
51,510,-670846.0350803434,23.654595137498145,40.639004539512094
52,520,-671254.860560602,23.721860535116903,41.09900714781543
53,530,-671668.2473440582,23.786304734461122,41.55150106192159
54,540,-672086.1215556741,23.848063904157684,41.99671556971007
55,550,-672508.4115358746,23.907320034573747,42.434870249271626
56,560,-672935.0477832678,23.964257443742667,42.86617610663234
57,570,-673365.9628695343,24.018975538862247,43.29083545883623
58,580,-673801.091337607,24.07154046299992,43.70904150657443
59,590,-674240.3696246247,24.122178329390632,44.12098002650746
60,600,-674683.7359543345,24.171026043884964,44.52683048361942
61,610,-675131.1303989216,24.218034578891864,44.92676418080665
62,620,-675582.4945884246,24.26343554485934,45.320945528258754
63,630,-676037.7718516308,24.30731580099664,45.70953360032582
64,640,-676496.9070518984,24.349681822024195,46.09268069433019
65,650,-676959.8465207216,24.390591553324978,46.47053251859033
66,660,-677426.538066511,24.430185160751133,46.84322961392463
67,670,-677896.9307846144,24.468694798357323,47.21090897422109
68,680,-678370.9752539484,24.505914836469938,47.57370172447699
69,690,-678848.6232245063,24.541841308615403,47.93173170451773
70,700,-679329.8276854071,24.576809317804877,48.285119772274626
71,710,-679814.5428187799,24.610929093285968,48.63398481232434
72,720,-680302.7240079046,24.643912748736483,48.97843949736708
73,730,-680794.3277252188,24.675911557406494,49.31859087320336
74,740,-681289.3113930403,24.707275038270588,49.65454501361819
75,750,-681787.6336790865,24.737572569210897,49.986403211635476
76,760,-682289.2540619805,24.76714879019424,50.31426213045342
77,770,-682794.133004991,24.79606770912382,50.63821732549258
78,780,-683302.2320723892,24.824020480038598,50.95835908858571
79,790,-683813.5134050301,24.851483492832575,51.274775295204016
80,800,-684327.9403497108,24.878339294111242,51.58755278600002
81,810,-684845.4768346859,24.90441344636772,51.896773353788014
82,820,-685366.0877966793,24.929702470731165,52.202514681906905
83,830,-685889.7387401176,24.95485216459789,52.50485549755249
84,840,-686416.3960741215,24.979475200292654,52.80387328466168
85,850,-686946.0270803275,25.00280026801926,53.0996359327386
86,860,-687478.5993397542,25.026210874336478,53.392212454446415
87,870,-688014.0814441929,25.049614589963916,53.68167698270117
88,880,-688552.442703468,25.071538545586975,53.96809220849682
89,890,-689093.6528722376,25.093191137514204,54.25151711596991
90,900,-689637.6822210662,25.115143377624918,54.53201867420867
91,910,-690184.5021389958,25.13599825382983,54.80965712904436
92,920,-690734.08402461,25.156555781304036,55.08448742141482
93,930,-691286.4001961952,25.176905882614797,55.35656754231605
94,940,-691841.4234611022,25.196711694163902,55.625952313565364
95,950,-692399.1270301184,25.21663424999847,55.89269650339993
96,960,-692959.4849025706,25.235905042011495,56.156852636458645
97,970,-693522.471394252,25.254268453174223,56.418466283396995
98,980,-694088.0613044732,25.27308169110308,56.67758721925057
99,990,-694656.2298897066,25.291619118044107,56.93426696368407
100,1000,-695226.9532499232,25.308612250955775,57.188545475029976
101,1010,-695800.2072211684,25.326448487408925,57.440466994143215
102,1020,-696375.9686402736,25.34462466122357,57.69008380818414
103,1030,-696954.214829259,25.36112958354628,57.93743444389839
104,1040,-697534.9230991185,25.377732332679443,58.18255505195266
105,1050,-698118.071419712,25.394258217318715,58.42548841960525
106,1060,-698703.6382242453,25.410265151748824,58.66627320001717
107,1070,-699291.6020132955,25.42697731268977,58.904950592292884
108,1080,-699881.9421286746,25.44312293267599,59.14156047908619
109,1090,-700474.6380189585,25.45814764710667,59.37613320867968
110,1100,-701069.6694119679,25.4732561074486,59.60870123023488
111,1110,-701667.016464125,25.488529238672424,59.8393019527648
112,1120,-702266.659697482,25.503057812713166,60.06796808419749
113,1130,-702868.579964873,25.518596547376525,60.29473516487633
114,1140,-703472.7582179293,25.532446673791775,60.519633724127196
115,1150,-704079.1765971422,25.545645872160012,60.74268616489426
116,1160,-704687.8154915954,25.562270891817917,60.96393639254529
117,1170,-705298.658671454,25.575049137405585,61.18341367644898
118,1180,-705911.6873414312,25.58792219209726,61.40113215735182
119,1190,-706526.8843523083,25.60400671313683,61.617135416610104
120,1200,-707144.2330631964,25.616888585616664,61.83145231252274
121,1210,-707763.7164219739,25.62652924437134,62.044084097239825
122,1220,-708385.3177478235,25.63888493325794,62.25505624345096
123,1230,-709009.0200715549,25.656512049658428,62.46442840514791
124,1240,-709634.8086242321,25.668877548200456,62.67222670807823
125,1250,-710262.6673022903,25.67812634406419,62.87844275195529
126,1260,-710892.5797837207,25.693947150337223,63.08311536507098
127,1270,-711524.5315334558,25.707273628131862,63.286285211503845
128,1280,-712158.5077518284,25.713474888726978,63.48793821148138
129,1290,-712794.4925437168,25.72495315407587,63.6880905935177
130,1300,-713432.4711808389,25.742511391493824,63.88680937346798
131,1310,-714072.430283638,25.75311611918451,64.0841133689988
132,1320,-714714.3553825852,25.761009371560814,64.27998728628444
133,1330,-715358.2315704657,25.77511789688471,64.4744658066993
134,1340,-716004.0459508077,25.7871704571118,64.667585531449
135,1350,-716651.7847724505,25.797337900366983,64.85935201266402
136,1360,-717301.4341818533,25.809323659772243,65.0497849279287
137,1370,-717952.9816301094,25.81803412863732,65.23889854919544
138,1380,-718606.4133904459,25.82952375745478,65.42671018213004
139,1390,-719261.7165999226,25.842192839292693,65.61325294133421
140,1400,-719918.8794175189,25.849484637787295,65.7985300575252
141,1410,-720577.8881719918,25.85808023819449,65.9825449655109
142,1420,-721238.7310116312,25.87073026503846,66.16533440615603
143,1430,-721901.3953696605,25.8815975026373,66.34692362297065
144,1440,-722565.8701353957,25.8926242807878,66.52732366455312
145,1450,-723232.1421750222,25.900304944734675,66.70654000633368
146,1460,-723900.2016547937,25.90632860976621,66.88457170615294
147,1470,-724570.0338920928,25.92381191411654,67.06146824061143
148,1480,-725241.6307984684,25.932439197565174,67.2372540634955
149,1490,-725914.9797076434,25.937125460984376,67.41190098914086
150,1500,-726590.0687094937,25.95058174221734,67.58544026204328
151,1510,-727266.888509895,25.953418321491117,67.75788067244721
152,1520,-727945.4267756504,25.96338268800173,67.92922500781569
153,1530,-728625.6723898476,25.978522300595717,68.09952800362225
154,1540,-729307.6173109354,25.984123479021946,68.2687891725931
155,1550,-729991.2480403363,25.992992805040558,68.43700157374988
156,1560,-730676.556969202,26.00059258007633,68.60418517026557
157,1570,-731363.531559936,26.011803373132047,68.770360541025
158,1580,-732052.1634460789,26.020274258574446,68.93554331921477
159,1590,-732742.4422905862,26.02324682518151,69.09972006878671
160,1600,-733434.3573341605,26.033959619700227,69.26291030211142
161,1610,-734127.8997499974,26.040138495695324,69.42513642125122
162,1620,-734823.059712147,26.04777210003323,69.5864007749129
163,1630,-735519.8268090349,26.062516215140928,69.74674150200445
164,1640,-736218.1936388002,26.072611646795878,69.90617754041742
165,1650,-736918.149577573,26.073670890212064,70.06467833398202
166,1660,-737619.6867390258,26.076682780998066,70.22223368313571
167,1670,-738322.793236024,26.093355243696003,70.37890172647458
168,1680,-739027.4633772708,26.097315709339455,70.53469612703776
169,1690,-739733.6867999225,26.098424803183057,70.68958098407165
170,1700,-740441.4536621134,26.10820931190368,70.84358410955466
171,1710,-741150.7575057863,26.112841839827162,70.99672629918496
172,1720,-741861.5870550293,26.12665593038497,71.14902921909089
173,1730,-742573.936478747,26.14252795937572,71.30053523947281
174,1740,-743287.7964144407,26.14332215964653,71.45121616762626
175,1750,-744003.159966843,26.138493908948313,71.60102206775919
176,1760,-744720.0157329693,26.144345868565892,71.74997718878149
177,1770,-745438.3579678324,26.15818843601712,71.89814408630774
178,1780,-746158.1769482861,26.17279820022472,72.04555637004815
179,1790,-746879.4674238355,26.17587305623114,72.19219242996041
180,1800,-747602.2196912884,26.171608372301165,72.33800830594991
181,1810,-748326.4262369463,26.180954101688044,72.48303029572418
182,1820,-749052.0783472623,26.189353844180005,72.62730214765034
183,1830,-749779.1708962673,26.19505556251336,72.77082211200906
184,1840,-750507.69290518,26.210501579171193,72.9136174911444
185,1850,-751237.6412507932,26.207102563363414,73.05567168714624
186,1860,-751969.0053982236,26.205528551019697,73.19694666329742
187,1870,-752701.7780058734,26.217522213846678,73.33749195929559
188,1880,-753435.9534888051,26.22062492671037,73.47732799066289
189,1890,-754171.5227870956,26.228978684329732,73.61645252775344
190,1900,-754908.4804357539,26.236508375877747,73.75488480334607
191,1910,-755646.8186749177,26.24532829941227,73.8926332943447
192,1920,-756386.5308581503,26.254430297948147,74.02970925448317
193,1930,-757127.6109665721,26.241525717688184,74.1660633939653
194,1940,-757870.0509535255,26.245314717036948,74.30168918491691
195,1950,-758613.8419164063,26.279816088019565,74.43671589243604
196,1960,-759358.9824539969,26.261699085018506,74.5710941665704
197,1970,-760105.4635977458,26.247862392640393,74.70470723697217
