,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-586291.8942305855,-0.0,0.0
1,10,-586292.4983913274,0.4187380283459788,0.2093690141729894
2,20,-586297.1408738319,1.6939011117618064,0.8422133062864303
3,30,-586310.4562339451,3.61735931156727,1.868581802821427
4,40,-586336.2655393136,5.697100476361811,3.1836125809611984
5,50,-586376.6455340503,7.57181918612332,4.652932059118757
6,60,-586432.3612095588,9.143345647479872,6.172059448354411
7,70,-586503.4093876445,10.442697985898121,7.679911917970457
8,80,-586589.4125174539,11.53750721034594,9.1469131176098
9,90,-586689.8458011581,12.48846174590872,10.561810748584683
10,100,-586804.1513614007,13.33749062611605,11.922488710218747
11,110,-586931.786489098,14.110040520611795,13.230728719734177
12,120,-587072.240167852,14.820856437238401,14.489629882828737
13,130,-587225.0364152946,15.478030553713324,15.702474435164183
14,140,-587389.7318290941,16.086386426439276,16.872297103558957
15,150,-587565.9110508873,16.649540383805288,18.001795583963393
16,160,-587753.1845944118,17.169998960522946,19.09334273093991
17,170,-587951.1844608368,17.65042804781989,20.149035435156836
18,180,-588159.5623571307,18.093689292040647,21.170768152191883
19,190,-588377.9882897224,18.50224521052441,22.16027182227699
20,200,-588606.1483182764,18.878818024415516,23.11914346263802
21,210,-588843.744213788,19.225952841431702,24.04887469518726
22,220,-589090.4919154709,19.546051105071108,24.95086391133227
23,230,-589346.1210004087,19.84159642564191,25.826431398269776
24,240,-589610.373787402,20.114756157039665,26.676827870939448
25,250,-589883.0049112479,20.36752395368242,27.503235769951424
26,260,-590163.780252928,20.601716483017626,28.30677310446772
27,270,-590452.476860413,20.81906477068549,29.088498196404544
28,280,-590748.8816668895,21.021312021650374,29.849417004713906
29,290,-591052.7918684976,21.209649992978687,30.590481197097688
30,300,-591364.0135265962,21.38523951426034,31.31258547623729
31,310,-591682.3615662277,21.549472541137916,32.01657827256859
32,320,-592007.6590389886,21.703428116347595,32.7032664746468
33,330,-592339.7370349787,21.847712683732947,33.37340848871826
34,340,-592678.4338365265,21.983309300342828,34.02771839877095
35,350,-593023.5945797099,22.11113727267371,34.666875748679736
36,360,-593375.0713508882,22.2316565722693,35.29152214623755
37,370,-593732.7219956099,22.345612452182078,35.90226289002603
38,380,-594096.4107058858,22.453447602177093,36.49967072589497
39,390,-594466.0068303772,22.555681332547184,37.08428622762294
40,400,-594841.3852688858,22.652813867898658,37.656621802671
41,410,-595222.4256972803,22.745259859945392,38.21716319382394
42,420,-595609.0126457536,22.833389744558282,38.76637048001575
43,430,-596001.0350616078,22.917418951366685,39.304678164116915
44,440,-596398.3861080924,22.997715637797924,39.83249745753273
45,450,-596800.9629551924,23.074578302694135,40.35021933859825
46,460,-597208.6665846474,23.148279753158633,40.85821527840889
47,470,-597621.4015850461,23.21889287029626,41.35683651347644
48,480,-598039.0760001182,23.286713131237775,41.84641594054701
49,490,-598461.6009747894,23.352250780831604,42.32727414227119
50,500,-598888.891009865,23.4151309031585,42.79971372457657
51,510,-599320.8634263945,23.475299848319228,43.26401503212109
52,520,-599757.4381243343,23.533807527530044,43.720451641475655
53,530,-600198.5378778807,23.590671379355012,44.16929175589611
54,540,-600644.088167671,23.645199223602035,44.6107822893231
55,550,-601094.0166096532,23.697983330843115,45.04515553126984
56,560,-601548.2531733955,23.74928184102751,45.47263890266331
57,570,-602006.7302383936,23.798801912242197,45.89344748224103
58,580,-602469.3819518636,23.847173002880382,46.30778798013489
59,590,-602936.1447807567,23.89346352537699,46.715854036774545
60,600,-603406.9570565406,23.938054140249605,47.11782480030524
61,610,-603881.758281442,23.9823034932545,47.513884842948755
62,620,-604360.4908639778,24.025547006021952,47.904215512429076
63,630,-604843.0978827786,24.067575606104175,48.288982428578315
64,640,-605329.5250243221,24.108477294445038,48.668342412251505
65,650,-605819.7184845001,24.147316620830725,49.04243848050536
66,660,-606313.6269829754,24.18452081601727,49.41140313668438
67,670,-606811.1989733728,24.222930234993648,49.77538733955443
68,680,-607312.3862269718,24.260446079925213,50.134541108577096
69,690,-607817.1409131321,24.295642529247758,50.488982122164444
70,700,-608325.4163216033,24.330530313105353,50.838827005047634
71,710,-608837.1672833432,24.36243012396725,51.18418291660781
72,720,-609352.3495764139,24.394792641350225,51.52515760816313
73,730,-609870.9189663001,24.430877723134472,51.861900669320306
74,740,-610392.8354938029,24.461983897408775,52.194519123228375
75,750,-610918.0574315711,24.49037790538569,52.52307198424677
76,760,-611446.5441051906,24.521532574039938,52.8476670424803
77,770,-611978.2574317249,24.551152185135237,53.168415980815176
78,780,-612513.158786354,24.580768183758597,53.48540807377138
79,790,-613051.2112771698,24.608192406623857,53.79872515379682
80,800,-613592.378989663,24.633202745113465,54.10843072416028
81,810,-614136.6249668711,24.66075332647597,54.414615113702894
82,820,-614683.9157943445,24.687291559553763,54.71737425169558
83,830,-615234.2168063633,24.713829505359172,55.016785008298754
84,840,-615787.4951802746,24.740611808281272,55.31292904577276
85,850,-616343.7189251352,24.763272240699674,55.60586089954886
86,860,-616902.8558099229,24.787000719911823,55.89563767614891
87,870,-617464.874348491,24.80911312319222,56.18232925535413
88,880,-618029.7452771154,24.830481786537234,56.465992648135575
89,890,-618597.436260639,24.85635731214741,56.746717387823445
90,900,-619167.9213269381,24.87826888973359,57.024572449576226
91,910,-619741.1695693318,24.898254789487627,57.29958865226363
92,920,-620317.1543851562,24.916378229565453,57.571807349081794
93,930,-620895.8471658442,24.936176205074364,57.84128791162366
94,940,-621477.2206513003,24.961834083369467,58.10812908830121
95,950,-622061.249999434,24.9810664845862,58.37238409879792
96,960,-622647.9089745011,24.997549775149537,58.63405896783078
97,970,-623237.1711768068,25.014613871937105,58.89319584819459
98,980,-623829.0129434415,25.03395203796667,59.14986140190449
99,990,-624423.407658869,25.05306078522401,59.40411625702254
100,1000,-625020.3348519893,25.06458961404867,59.655969815119164
101,1010,-625619.7665897334,25.0855320725475,59.90547856552875
102,1020,-626221.6825963827,25.107852366316365,60.15274207554612
103,1030,-626826.0603847849,25.116837207804128,60.39774617743679
104,1040,-627432.8765573903,25.129581635422,60.64048786797357
