,Temperature (K),Gibbs_free_energy(J/mole),Cp(J/mole.K),S(J/mole.K)
0,0,-708378.7674053975,-0.0,0.0
1,10,-708379.2784801391,0.39108402671117803,0.19554201335558902
2,20,-708383.5712972264,1.5474023931892589,0.7779346250084926
3,30,-708395.9439906908,3.161483798583504,1.6916991897363913
4,40,-708419.323236919,4.712270047061612,2.8076469120496768
5,50,-708454.7626185569,5.940491983201356,3.9907298662525137
6,60,-708502.1978770823,6.86738623700221,5.1570612509895
7,70,-708561.1051822886,7.599048573465552,6.272132621225319
8,80,-708630.8550921589,8.23212933964096,7.3294298887718465
9,90,-708710.8708807258,8.830233951250554,8.33450652534666
10,100,-708800.6729539337,9.428071123926207,9.296478634390223
11,110,-708899.8820633908,10.0390269685915,10.224201598249783
12,120,-709008.2031002042,10.66290268460288,11.124808617771485
13,130,-709125.3987986689,11.294701372782583,12.003507820890807
14,140,-709251.2762554234,11.926033983146777,12.86384919726406
15,150,-709385.6684612478,12.548523673307495,13.708063104820027
16,160,-709528.4237934516,13.156022060196847,14.537472916644766
17,170,-709679.4008536222,13.742511607453354,15.352790123892193
18,180,-709838.4613866303,14.304130302218239,16.154318594597864
19,190,-710005.468567426,14.839011205159458,16.942155842309877
20,200,-710180.2859360361,15.345681506383713,17.716298174842088
21,210,-710362.7763048195,15.82346128148203,18.476689290632205
22,220,-710552.8018484548,16.27302860963391,19.223279928072593
23,230,-710750.2239684635,16.695244733936836,19.956061590294127
24,240,-710954.9050856181,17.090684134396724,20.67505761267239
25,250,-711166.7068403404,17.461304007883882,21.380339612296666
26,260,-711385.4927963389,17.808228380803484,22.07203162285441
27,270,-711611.1277986299,18.13260374018284,22.75028651140601
28,280,-711843.4777814916,18.436629933980313,23.415301004092907
29,290,-712082.4118735716,18.720982174071853,24.067302093353646
30,300,-712327.8008094071,18.987288046104336,24.70653244884743
31,310,-712579.5179928913,19.237402277838555,25.333267931516456
32,320,-712837.4402213842,19.472093684319418,25.947800077234568
33,330,-713101.446566763,19.6923698411352,26.55042078106926
34,340,-713371.4197504666,19.899329549644584,27.14142722034594
35,350,-713647.2446798361,20.09410102662514,27.721123005700065
36,360,-713928.8102554898,20.277810563903806,28.289817849626708
37,370,-714216.0074797968,20.451278301313895,28.847822733152135
38,380,-714508.7316611395,20.614885354874396,29.39543985035707
39,390,-714806.8797698129,20.77005604704608,29.9329711117025
40,400,-715110.3529461102,20.916866465355284,30.460714712353365
41,410,-715419.0546814158,21.055526741885085,30.97895025953476
42,420,-715732.8910975462,21.187490877101723,31.487957010150424
43,430,-716051.7715703278,21.313424113902133,31.988019557353986
44,440,-716375.6078117223,21.432919786672542,32.47940597697307
45,450,-716704.314900276,21.546264802920696,32.962364825894475
46,460,-717037.8089984318,21.655567306477977,33.43715436930652
47,470,-717376.0104656046,21.759802548814232,33.90402823162149
48,480,-717718.8411132338,21.858168228529394,34.36320474515961
49,490,-718066.2250118258,21.953574288915878,34.81491006171273
50,500,-718418.0883682263,22.04590157300128,35.259385141615354
51,510,-718774.3608431808,22.133320269745273,35.69683749332326
52,520,-719134.9723444772,22.2173736915108,36.127459422488755
53,530,-719499.856141414,22.298757164948658,36.55145364930795
54,540,-719868.9466081831,22.3770352055203,36.96901405336103
55,550,-720242.1806903378,22.45223187105152,37.380320022610256
56,560,-720619.4964535227,22.525464606052225,37.785551441134885
57,570,-721000.8341351678,22.59651901020548,38.18488673986867
58,580,-721386.1359164381,22.66438863901991,38.57848447958677
59,590,-721775.3447863207,22.730374439785457,38.966497432130566
60,600,-722168.4059922079,22.79479347303294,39.34908433626843
61,610,-722565.2658608226,22.857342213476702,39.7263962125886
62,620,-722965.8725969598,22.91801688947581,40.0985741934841
63,630,-723370.1753564482,22.977017044756078,40.46575418846769
64,640,-723778.1250190597,23.034516465477736,40.82806862648722
65,650,-724189.6734343243,23.09080298854683,41.18564734782413
66,660,-724604.7740139506,23.14551805104124,41.5386137429945
67,670,-725023.3812371165,23.1986573871603,41.88708288557392
68,680,-725445.4505955391,23.251206211955335,42.23117194599182
69,690,-725870.9389846175,23.30269555676501,42.57099681028049
70,700,-726299.8043572522,23.35270836635022,42.906661982770316
71,710,-726732.0055411368,23.401639742133607,43.23826732240414
72,720,-727167.5025237461,23.449570917547728,43.56591184476129
73,730,-727606.2561200461,23.49709489462839,43.88969509337185
74,740,-728048.2282296387,23.543884746299696,44.20971440183931
75,750,-728493.3818194456,23.589296338468557,44.526056679768956
76,760,-728941.6803597184,23.6341538069303,44.83880650935171
77,770,-729393.0884768923,23.678569776003023,45.1480513099421
78,780,-729847.5715181176,23.72216719542037,45.45387343086914
